GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,LIIE001,LIIE002,LIIE003,LIIE004,LIIE005,LIIE006,LIIE007,LIIE008,LIIE009,LIIE010,LIIE011,LIIE012,LIIE013,LIIE014,LIIE015,LIIE016,LIIE017,LIIE018,LIIE019,LIIE020,LIIE021,LIIE022,LIIE023,LIIE024,LIIE025,LIIE026,LIIE027,LIIE028,LIIE029,LIIE030,LIIE031,LIIE032,LIIE033,LIIE034,LIIE035,LIIE036,LIIE037,LIIE038,LIIE039,LIIE040,LIIE041,LIIE042,LIIE043,LIIE044,LIIE045,LIIE046,LIIE047,LIIE048,LIIE049,NAME_M,LIIM001,LIIM002,LIIM003,LIIM004,LIIM005,LIIM006,LIIM007,LIIM008,LIIM009,LIIM010,LIIM011,LIIM012,LIIM013,LIIM014,LIIM015,LIIM016,LIIM017,LIIM018,LIIM019,LIIM020,LIIM021,LIIM022,LIIM023,LIIM024,LIIM025,LIIM026,LIIM027,LIIM028,LIIM029,LIIM030,LIIM031,LIIM032,LIIM033,LIIM034,LIIM035,LIIM036,LIIM037,LIIM038,LIIM039,LIIM040,LIIM041,LIIM042,LIIM043,LIIM044,LIIM045,LIIM046,LIIM047,LIIM048,LIIM049
"G01007000","2011","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",211458,96988,7131,5765,6600,3353,3431,884,2093,5241,7134,7527,6042,5536,6518,7440,7420,1919,3145,1687,1840,2493,1702,780,1307,114470,8057,5194,6008,2934,3744,1004,3121,6313,9129,7267,6005,6627,6987,8746,8605,2899,3817,1849,2172,3936,2880,3369,3807,"Birmingham city, Alabama",468,2521,1196,1261,1349,772,632,363,892,1502,1441,1347,1568,1209,979,1044,1174,568,835,562,519,641,577,333,525,2523,1291,1262,1071,771,764,571,923,1237,1460,1298,1206,1304,933,1035,1360,858,829,568,548,698,653,728,629
"G01021184","2011","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",66384,31562,2144,2439,2178,1240,729,508,289,1319,2206,2008,2400,1887,1957,2251,1930,869,938,617,776,1202,732,512,431,34822,2305,2239,2099,1186,763,335,446,1426,2252,2331,2743,1718,1996,2656,2213,1165,1140,779,917,1200,1135,1022,756,"Dothan city, Alabama",742,589,337,378,365,142,163,161,120,256,224,264,420,278,266,255,310,290,256,196,178,246,162,124,161,706,260,374,372,167,134,158,229,226,314,352,377,273,345,271,316,344,238,217,225,179,194,202,173
"G01035896","2011","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",80553,38826,2806,2967,1772,896,1079,137,237,1460,2729,2870,3999,2583,2264,2610,2641,2119,749,398,1652,994,487,958,419,41727,3134,3828,2902,654,0,0,272,2207,3096,2856,4173,2416,2664,2620,2999,826,2294,483,1192,1225,603,860,423,"Hoover city, Alabama",2772,2449,1047,1203,768,488,706,242,219,758,949,1016,1088,1084,893,1038,1031,989,421,317,897,512,345,699,338,2393,975,1242,1043,384,190,190,261,1004,1186,863,1460,1020,973,967,937,537,909,419,711,517,367,505,353
"G01037000","2011","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",182354,87509,5803,4674,5073,3305,3122,1511,1247,4792,7506,5298,5336,5536,6384,7045,5170,1833,2919,1778,1873,3051,1962,1008,1283,94845,6299,5579,4754,3548,3252,1572,1810,4449,6333,5931,4875,5838,7214,7448,4898,2807,3453,1462,2861,3854,2350,1856,2402,"Huntsville city, Alabama",766,2370,827,1121,1035,822,727,581,502,864,1061,1032,1037,1093,1046,1022,1014,946,635,558,566,603,480,358,400,2049,833,1191,1004,598,470,620,763,996,1219,806,977,1052,1146,994,893,727,757,472,713,952,587,460,664
"G01050000","2011","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",194887,93181,6377,6170,5763,3983,2840,829,2008,5491,7228,6440,6327,5694,6471,5440,5752,2439,3345,1744,1684,2679,1701,1304,1472,101706,6359,6488,6825,3886,2488,1815,2107,4856,7775,5919,6080,6378,5628,6989,6353,2641,3478,2083,3142,2507,2713,2182,3014,"Mobile city, Alabama",96,2241,993,1230,988,671,747,398,588,1036,1107,876,1450,1139,1011,922,959,659,641,542,501,593,426,395,446,2239,971,1189,1395,699,581,732,757,974,1045,855,1064,1124,866,1066,833,606,694,597,717,663,548,520,683
"G01051000","2011","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",213132,99465,8025,6298,7990,4325,4019,2383,1357,4817,7778,7411,6271,5677,5612,6841,5076,2580,3059,1766,2097,1902,1959,1450,772,113667,7497,8147,6314,5148,3744,2544,1539,5623,8735,7797,7694,5828,7061,7760,6312,3096,3414,2716,1626,3727,3156,2105,2084,"Montgomery city, Alabama",3100,2547,266,1079,1125,544,445,641,604,950,708,422,1200,1286,505,547,793,786,769,534,549,521,429,506,297,1742,460,1319,1220,479,231,812,693,938,467,554,1240,1238,444,301,826,738,800,766,540,665,689,629,579
"G01077256","2011","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",91604,40897,1956,1398,1605,1331,3558,2718,2434,3553,5183,2326,1273,1595,2104,2554,2343,664,514,443,670,895,874,213,693,50707,2910,1629,2463,1154,5116,2239,3463,4667,3552,2188,2165,3675,1702,2785,2547,941,954,579,879,1220,1635,1031,1213,"Tuscaloosa city, Alabama",27,1524,689,620,679,385,1427,1022,1209,1237,1036,622,521,528,579,571,640,332,294,276,254,363,400,132,358,1530,621,733,802,331,775,1172,1334,1309,895,597,706,901,676,494,574,473,379,270,374,420,564,651,329
"G02003000","2011","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",295570,148299,10857,9941,10987,5716,3957,3318,3840,6733,13380,11203,8696,10865,10443,10374,9834,3521,3944,1438,2637,2729,1640,1596,650,147271,11313,10144,10113,6781,3180,2062,3247,7055,12559,10147,10742,9457,10459,10780,10146,2660,4351,2160,2800,2449,1869,1418,1379,"Anchorage municipality, Alaska",0,740,423,1098,1083,566,651,942,1267,1147,610,698,1221,1300,618,427,1077,826,874,558,598,716,523,529,306,740,423,1266,1334,726,542,922,948,1060,520,871,1431,1000,494,462,1035,656,860,672,588,613,494,393,520
"G04004720","2011","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",77526,36926,4030,2698,3511,2056,1065,430,679,1398,4738,3229,1417,3710,2182,1490,1081,355,590,650,530,684,282,49,72,40600,5151,2419,2876,2497,904,878,67,3919,3350,1993,3918,2551,2662,1553,2145,324,920,126,532,955,231,265,364,"Avondale city, Arizona",35,2421,1416,1218,1264,1162,818,489,663,857,1915,1309,1240,1700,975,1110,748,458,330,961,478,549,306,83,121,2423,1835,1078,1304,1967,574,877,112,1923,1373,1176,1660,1213,1109,743,1465,272,536,149,424,980,202,244,416
"G04010670","2011","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",67496,31751,2021,1689,1462,1799,721,178,312,1280,2357,2485,2013,1428,1466,2288,2822,552,1728,924,1022,1009,695,632,868,35745,1224,2131,2684,1200,507,471,739,1422,2313,2748,1313,1658,2335,2588,3094,1268,1526,933,847,1473,676,1187,1408,"Casas Adobes CDP, Arizona",5518,3221,829,632,681,653,360,236,298,752,883,1040,792,569,516,758,766,277,593,400,432,396,308,324,358,3016,620,1049,1007,564,359,458,471,542,744,733,526,602,723,713,687,618,441,372,380,556,298,538,421
