GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OILE001,OILE002,OILE003,OILE004,OILE005,OILE006,OILE007,OILE008,OILE009,OILE010,OILE011,OILE012,OILE013,OILE014,OILE015,OILE016,OILE017,OILE018,OILE019,OILE020,OILE021,OILE022,OILE023,OILE024,OILE025,OILE026,OILE027,OILE028,OILE029,OILE030,OILE031,OILE032,OILE033,OILE034,OILE035,OILE036,OILE037,OILE038,OILE039,OILE040,OILE041,OILE042,OILE043,OILE044,OILE045,OILE046,OILE047,OILE048,OILE049,NAME_M,OILM001,OILM002,OILM003,OILM004,OILM005,OILM006,OILM007,OILM008,OILM009,OILM010,OILM011,OILM012,OILM013,OILM014,OILM015,OILM016,OILM017,OILM018,OILM019,OILM020,OILM021,OILM022,OILM023,OILM024,OILM025,OILM026,OILM027,OILM028,OILM029,OILM030,OILM031,OILM032,OILM033,OILM034,OILM035,OILM036,OILM037,OILM038,OILM039,OILM040,OILM041,OILM042,OILM043,OILM044,OILM045,OILM046,OILM047,OILM048,OILM049
"G01007000","2012","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",212835,97165,7857,6590,7084,2718,2212,2152,1773,4858,7520,6615,6340,6572,6157,7320,6548,2251,2697,1660,1924,2099,1916,1144,1158,115670,8271,5158,5493,3614,4388,1964,2600,5004,10896,8404,6779,6444,7556,9014,7269,3216,3943,2043,2498,2992,2990,2282,2852,"Birmingham city, Alabama",1168,2458,1304,1229,1180,713,832,856,656,1091,1275,1274,967,1144,827,1027,755,615,708,488,528,520,530,395,474,2542,1367,906,1040,697,832,728,797,954,1257,1168,1334,1250,1199,986,943,654,795,503,518,610,691,541,716
"G01021184","2012","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",68104,32389,2777,2642,1838,1480,944,247,392,1415,2155,2387,1615,2287,2285,2263,1999,800,907,756,586,994,945,404,271,35715,2365,2305,2201,1392,731,307,501,1370,2457,2527,1867,2514,2415,2208,2776,926,945,808,872,1287,1311,891,739,"Dothan city, Alabama",974,705,335,302,337,342,366,132,188,302,328,280,367,516,276,266,288,198,200,234,162,212,226,120,88,781,367,422,394,193,157,146,199,302,331,253,380,547,259,285,351,224,178,197,190,212,254,186,176
"G01035896","2012","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",81627,39770,3527,3685,2528,1704,1051,90,345,1319,3591,3153,3219,2691,2700,2734,1487,849,1406,581,694,488,730,726,472,41857,2430,3688,3521,1602,455,83,150,786,3322,3591,2650,3495,1957,2508,2519,1204,1330,1199,991,1247,900,967,1262,"Hoover city, Alabama",2503,2036,1102,1446,843,561,494,99,270,664,918,965,970,964,737,775,548,324,408,303,306,269,358,366,239,2362,959,1142,943,680,368,99,134,461,991,958,919,859,652,727,594,482,427,456,408,457,359,373,453
"G01037000","2012","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",183076,91227,4787,7002,5513,3851,3359,1482,1818,3993,7420,6244,6695,5108,5859,6944,5504,1819,2416,1350,2039,2933,2684,1445,962,91849,5179,5992,4646,3370,2198,2329,1467,3519,7214,5980,6033,5255,6585,7414,5437,2284,2299,1162,2521,3639,2888,1785,2653,"Huntsville city, Alabama",681,1879,749,1231,1126,673,672,561,566,887,1146,1151,1392,952,1083,878,936,629,601,452,611,566,544,447,361,1908,984,1542,1045,647,647,710,508,840,949,1028,1313,948,991,1116,851,634,521,408,685,692,585,458,604
"G01050000","2012","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",194823,92531,7178,5585,6122,4405,2911,1864,2084,4516,6641,6596,3689,6514,6968,6413,5452,2685,2772,1664,1831,2368,2274,1086,913,102292,6341,5374,6730,3492,2689,2174,989,5218,7647,6606,5781,6047,7060,6632,6984,2006,3688,2435,2484,3804,3288,2634,2189,"Mobile city, Alabama",35,1942,818,1008,1179,611,666,840,684,963,800,852,845,1102,734,969,793,641,683,513,500,562,642,350,318,1942,899,1081,1141,664,487,704,371,876,878,919,1080,980,852,893,947,630,779,549,703,696,598,543,468
"G01051000","2012","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",205285,96393,8210,5960,7497,3921,3794,1543,1740,4706,7495,6431,6100,6229,5991,6370,5446,2538,2670,1786,2040,2221,1577,1186,942,108892,6596,6828,7549,3980,3364,2429,1943,4699,7775,7683,8073,6063,7174,6533,8177,2769,2357,2155,2698,2916,2938,1713,2480,"Montgomery city, Alabama",36,1061,436,895,1005,331,349,485,599,743,466,684,951,836,439,407,885,732,724,508,585,548,404,369,312,1058,587,1019,1010,392,206,783,675,809,528,620,1155,1070,496,541,856,684,638,564,571,503,608,524,561
"G01077256","2012","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",93351,45060,2265,2589,1788,1581,5325,2350,1718,4325,3610,2429,2188,3089,1925,1876,2603,939,614,466,723,794,940,497,426,48291,2267,1546,2386,2041,5287,1190,2316,3660,3356,2899,2713,2844,2431,2441,3062,832,1431,787,820,1374,886,817,905,"Tuscaloosa city, Alabama",33,1376,673,808,537,478,1635,926,1017,1419,801,607,1045,1025,646,509,691,428,345,265,351,307,528,328,252,1373,825,607,865,555,1316,535,885,1153,663,629,726,805,605,557,701,370,476,365,335,571,314,363,360
"G02003000","2012","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",298610,151752,11241,10806,9680,6288,4586,2707,3508,8633,12965,10662,9794,10998,9902,10750,10367,3466,4730,2048,1836,2766,1539,1565,915,146858,10818,10243,9913,5817,3551,1908,2395,6711,13433,11190,8753,11544,9204,10645,9335,3817,4306,2548,2380,3293,2070,1832,1152,"Anchorage municipality, Alaska",0,1068,510,1326,1242,648,932,1036,1237,1526,887,677,1344,1344,632,592,1126,986,832,747,637,693,452,585,450,1068,510,1254,1131,737,795,727,862,1115,841,471,1389,1604,1002,848,1292,989,985,707,651,729,570,570,458
"G04004720","2012","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",78274,37383,3280,3961,2873,2359,1761,678,323,1427,3381,2911,3551,2141,2257,1820,1327,409,486,765,484,633,278,168,110,40891,3988,3689,3844,2570,1595,368,737,1959,3073,3310,2962,2966,1879,2161,1574,471,1205,833,612,385,243,283,184,"Avondale city, Arizona",69,1573,991,956,803,642,1536,459,251,526,824,897,1252,602,676,585,455,228,339,425,250,328,180,124,94,1570,970,1029,893,1096,736,249,437,761,914,1021,563,863,713,699,626,280,615,460,359,187,152,185,160
"G04010670","2012","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",71976,34718,2584,2243,2899,1230,594,55,489,1097,2622,2192,2202,2941,1878,2975,1495,625,673,1350,801,1420,1011,553,789,37258,1695,1637,3612,1954,705,198,301,888,2043,2162,2097,1972,2759,3288,1877,1332,1029,1087,938,1473,1165,1587,1459,"Casas Adobes CDP, Arizona",5133,3185,894,801,1211,459,392,94,301,785,692,1067,743,983,725,659,426,285,318,403,290,553,357,280,394,2801,684,647,998,919,384,150,213,396,573,662,821,662,808,775,488,466,384,448,421,445,384,508,461
"G04012000","2012","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",245642,122484,8577,9834,8693,5419,3118,2504,2063,5516,10016,8635,9312,10453,8680,7636,5608,2743,3406,1582,1865,3152,1286,1413,973,123158,9560,9022,9862,4591,2352,1628,1132,4910,8091,9561,10336,9353,8417,8857,7734,2739,3361,2221,2136,2876,957,1632,1830,"Chandler city, Arizona",62,3578,1625,1730,1528,1162,795,1173,929,1306,1815,1418,1494,1740,1273,1245,1097,828,771,606,525,799,419,520,471,3589,1754,1658,1813,1072,739,751,482,1273,1164,1464,1725,1373,1203,1505,1161,852,759,779,578,678,374,625,637
"G04023620","2012","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",67472,33773,3105,2351,1577,1086,2674,1794,1194,3627,2392,2267,2209,2058,1873,1285,1568,351,602,249,440,487,230,200,154,33699,1413,1168,2350,1171,4287,1165,2838,1855,2109,2275,2027,2307,1142,1777,1910,739,866,534,500,372,303,352,239,"Flagstaff city, Arizona",26,1262,725,771,648,327,849,638,543,1007,682,566,677,630,405,451,509,195,346,168,237,290,136,167,169,1264,387,437,890,395,814,590,1039,626,571,588,664,807,442,636,576,413,487,303,340,240,183,208,190
"G04027400","2012","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",221136,107354,7366,10521,11199,4879,2474,1603,852,2492,6816,7071,9264,9292,7685,7333,5067,1679,2709,1989,2097,2725,1080,991,170,113782,10893,8937,10621,5991,2649,1549,1293,2593,8508,9667,7863,9862,8273,7452,4257,2387,3319,1477,1862,1725,1086,892,626,"Gilbert town, Arizona",55,2576,1160,2031,1441,1015,632,692,442,814,1475,1412,1541,1908,1300,1325,878,726,708,643,741,959,429,451,150,2569,1703,1394,1521,1179,766,636,640,755,1823,1845,1208,1723,1312,1270,904,723,1131,507,463,606,431,524,369
"G04027820","2012","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",232118,114099,9411,8641,8609,5313,4450,2884,1957,5565,7898,7367,7406,7548,6898,8714,6973,2521,3401,1758,2037,1893,1441,806,608,118019,7439,6600,7666,6508,3268,1797,2443,5323,9036,7667,7545,8059,9346,8910,6950,2697,3590,2132,2352,2743,2359,1751,1838,"Glendale city, Arizona",101,3128,1580,1619,1373,936,1112,1020,862,1230,1481,1484,1514,1111,1276,1298,1145,629,793,574,659,419,375,310,355,3136,1475,1444,1261,1332,1077,810,896,1158,1634,1420,1176,1293,1396,1306,1266,769,733,791,638,782,646,557,494
"G04028380","2012","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",69631,32540,2502,2340,2558,1406,1053,420,425,892,1043,2023,2274,2914,2580,2184,2390,544,901,602,704,1436,761,451,137,37091,2331,3626,3240,746,529,355,141,974,2821,2598,2720,3656,1950,2365,2230,711,1115,639,1234,1708,721,377,304,"Goodyear city, Arizona",59,2047,1082,965,1078,939,568,295,404,882,596,975,983,1088,805,677,854,300,420,329,367,688,433,309,165,2047,960,1304,972,461,374,377,157,435,1079,759,997,1099,663,768,762,460,558,323,627,665,422,262,270
"G04046000","2012","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",452068,220768,15190,17426,15435,9598,5469,2705,3211,8976,18289,15972,13922,12974,12785,15334,11465,4882,6331,4753,5224,6323,6081,5575,2848,231300,15830,17232,15037,7370,6224,3710,3986,10351,15358,15285,10803,14076,13079,15510,13080,5753,7908,5015,7020,8146,7278,6441,6808,"Mesa city, Arizona",71,4276,2025,2728,2227,1734,1025,926,1126,2390,2782,2032,1926,1603,1724,1741,1859,1097,1077,1071,1007,1040,908,1105,628,4284,2155,1915,2011,1153,1400,1242,1135,1568,1854,1859,1589,1607,1534,1795,1707,867,1151,789,1159,1112,1076,1094,1190
"G04054050","2012","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",159761,76732,5455,6151,6652,4509,1612,1120,927,2522,4572,4530,6153,5042,5080,4414,4799,1787,2007,1208,1637,2014,2152,1041,1348,83029,4237,6364,6158,3785,1719,577,1080,2748,3615,5343,5361,5428,5738,6692,6064,2334,2252,1649,2671,3420,2151,1875,1768,"Peoria city, Arizona",90,2681,1079,1221,1786,1082,685,729,530,734,1230,1189,1340,1213,1064,941,1219,624,649,354,396,652,689,344,577,2680,1178,1326,1138,1257,587,411,565,991,815,1601,1300,1152,895,1391,1277,702,594,487,570,840,525,659,606
"G04055000","2012","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",1488759,743172,60116,59163,54365,32176,21428,12783,12205,34519,58629,60544,51128,56002,51326,45357,39744,14767,18543,11958,10604,14292,10137,7019,6367,745587,57370,55445,54409,31069,20259,10650,11803,33643,56998,52714,51732,57358,51601,48019,43224,13731,19361,11694,14146,17545,12392,10297,10127,"Phoenix city, Arizona",90,6003,3615,3424,3146,2187,2112,2064,2015,3580,3399,3041,3413,3513,3027,2724,2431,1757,1663,1491,1323,1618,1185,1024,1262,6019,3255,3448,3649,2142,2050,2052,1923,2898,2893,3108,3280,3305,2839,2760,3017,1502,2000,1615,1393,1825,1539,1310,1293
