GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SASE001,SASE002,SASE003,SASE004,SASE005,SASE006,SASE007,SASE008,SASE009,SASE010,SASE011,SASE012,SASE013,SASE014,SASE015,SASE016,SASE017,SASE018,SASE019,SASE020,SASE021,SASE022,SASE023,SASE024,SASE025,SASE026,SASE027,SASE028,SASE029,SASE030,SASE031,SASE032,SASE033,SASE034,SASE035,SASE036,SASE037,SASE038,SASE039,SASE040,SASE041,SASE042,SASE043,SASE044,SASE045,SASE046,SASE047,SASE048,SASE049,NAME_M,SASM001,SASM002,SASM003,SASM004,SASM005,SASM006,SASM007,SASM008,SASM009,SASM010,SASM011,SASM012,SASM013,SASM014,SASM015,SASM016,SASM017,SASM018,SASM019,SASM020,SASM021,SASM022,SASM023,SASM024,SASM025,SASM026,SASM027,SASM028,SASM029,SASM030,SASM031,SASM032,SASM033,SASM034,SASM035,SASM036,SASM037,SASM038,SASM039,SASM040,SASM041,SASM042,SASM043,SASM044,SASM045,SASM046,SASM047,SASM048,SASM049
"G01007000","2013","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",211933,102318,6746,6407,4620,3034,3324,3178,1343,5781,9106,8852,7873,5017,5504,6776,7494,2860,3151,1560,1991,3247,1733,1431,1290,109615,7526,4804,5699,2931,3513,1429,1824,6976,9112,6962,6948,6547,6132,8051,7682,2528,4731,2209,2798,3343,2607,2729,2534,"Birmingham city, Alabama",903,2425,1256,1396,1046,614,746,1247,534,1092,1508,1206,1554,1105,867,877,1099,792,744,599,613,693,556,516,485,2456,1208,1157,1327,585,915,703,667,1354,1637,1072,1280,1130,895,998,1259,704,898,688,683,724,672,638,693
"G01021184","2013","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",67296,32208,2407,2236,2244,1481,874,531,610,1182,2226,2206,1795,2045,2104,2172,2031,825,844,860,771,1035,677,754,298,35088,2008,1764,2395,1215,747,235,576,1255,2646,2523,1865,2750,2430,2640,2032,805,1417,800,975,1314,963,854,879,"Dothan city, Alabama",389,722,403,409,418,176,126,193,275,224,366,322,362,350,326,302,405,236,221,260,201,216,151,163,118,696,245,345,431,216,159,127,271,317,293,284,354,384,249,342,260,193,258,197,214,228,197,189,193
"G01035896","2013","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",84128,38013,2300,2704,2698,1446,469,364,58,1373,3196,2283,2494,2587,2819,2524,3010,872,1568,1368,1324,1131,539,272,614,46115,2316,3874,3647,2457,604,418,232,2377,4467,3029,3584,3146,2176,2698,2078,1577,1268,1242,1252,981,1294,528,870,"Hoover city, Alabama",36,1893,837,933,808,649,366,287,99,757,1050,757,866,896,749,782,847,401,540,625,533,474,311,196,429,1894,769,1007,1092,790,394,362,175,1007,1115,874,997,950,708,715,659,564,589,542,672,406,512,294,596
"G01037000","2013","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",186416,91771,5703,5217,5489,3826,3068,1038,1814,4740,6811,7225,5035,5033,6202,7601,6386,2432,2777,1897,2667,2539,1742,1619,910,94645,6059,4285,6014,2567,2918,958,1410,4889,7826,6465,5848,6031,5692,6819,6086,2278,3210,2312,1994,3216,3406,2256,2106,"Huntsville city, Alabama",1101,2510,1083,1148,1082,827,754,450,823,1019,1200,1152,1356,955,1070,943,1062,883,664,779,677,749,478,587,390,2338,912,1014,1031,616,393,490,621,968,1055,940,1213,1108,992,1041,1076,650,747,851,636,651,747,488,549
"G01050000","2013","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",194879,93792,5363,6721,6449,3742,3133,1302,1289,4700,7144,6805,6540,5338,6039,5674,7189,1868,3040,1941,2044,3067,1777,944,1683,101087,7078,6088,6343,3097,1635,1477,1179,5396,6832,6728,5663,6921,5338,6452,6489,2398,3877,2221,2745,4306,3112,2859,2853,"Mobile city, Alabama",67,2068,1028,1341,1409,595,644,541,559,1161,1078,1029,1060,1049,1118,971,992,503,841,526,589,703,476,370,571,2072,1218,1096,1264,826,597,607,506,1067,1021,940,889,1287,801,948,1067,605,671,645,735,937,667,657,680
"G01051000","2013","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",201335,95755,7596,6396,8356,3914,3374,2015,2158,3949,6851,6854,4701,6806,5265,6482,6753,1472,2537,1876,2134,2251,1879,1041,1095,105580,6685,7625,5801,3721,3141,1563,1406,5396,7794,7926,6993,5813,6109,7077,7223,2319,3608,2272,2744,3309,2499,1548,3008,"Montgomery city, Alabama",22,1319,513,1014,983,359,370,858,877,1044,632,559,953,1024,576,530,729,479,595,546,577,703,407,374,400,1320,557,1251,1223,440,722,592,681,1096,739,470,900,887,538,544,860,552,823,607,702,655,560,491,621
"G01077256","2013","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",95334,46928,2442,2303,2960,2012,3538,2645,2175,4245,3517,2959,2773,2475,1983,2376,2827,927,1153,556,978,740,561,322,461,48406,2337,1873,3130,1356,5178,2233,1234,3693,2966,2879,2720,2562,2154,3514,3406,768,1018,1098,676,853,681,1095,982,"Tuscaloosa city, Alabama",27,1786,921,761,729,326,679,1152,1102,2011,788,561,848,828,355,475,748,429,529,308,464,351,383,280,336,1784,670,516,712,561,1174,1209,736,1374,746,675,732,763,392,715,621,433,477,422,295,387,276,446,405
"G02003000","2013","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",300950,153776,10790,10359,11234,5107,4487,3422,2448,9645,15107,11867,11347,8024,8793,10903,10994,2985,4335,3142,2569,2091,1868,756,1503,147174,11197,9544,11337,6020,3660,2062,2042,8160,12611,10910,9753,9013,9865,10871,10667,2323,3804,3042,2226,2784,2210,1756,1317,"Anchorage municipality, Alaska",0,904,402,1356,1309,721,930,888,967,1281,834,601,1424,1238,729,800,1124,766,1006,751,653,517,675,457,710,904,419,1556,1599,1042,874,876,794,1226,648,394,1164,1100,734,687,1200,676,916,767,628,613,692,632,521
"G04004720","2013","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",78817,38195,3170,3450,3520,1725,1526,637,825,2035,1508,2934,3708,2763,2385,2042,1621,747,1025,561,616,609,477,219,92,40622,1993,3760,3353,1580,857,751,859,2002,2321,4433,2961,3315,2980,2539,1776,709,974,380,611,1253,488,297,430,"Avondale city, Arizona",40,1572,864,892,898,652,617,429,459,782,568,854,801,854,664,635,590,395,470,313,390,341,294,194,109,1566,657,980,937,560,428,443,689,794,797,881,814,899,669,712,652,317,411,328,279,559,309,228,444
"G04010670","2013","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",69653,34226,2883,3424,2251,1474,472,956,450,1498,1526,2045,1825,2364,2484,1839,1701,895,1070,865,899,1157,915,617,616,35427,2040,2933,1612,1153,583,509,753,1152,1692,2501,2286,1938,2532,2232,2517,689,1393,895,940,1449,1357,861,1410,"Casas Adobes CDP, Arizona",6178,3522,957,1644,964,553,273,614,421,609,661,800,678,790,699,594,565,556,416,380,386,413,428,325,351,3362,694,1085,640,724,457,408,509,526,575,999,871,666,918,683,705,323,460,307,310,664,475,358,497
