GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAACE001,AAACE002,AAACE003,AAACE004,AAACE005,AAACE006,AAACE007,AAACE008,AAACE009,AAACE010,AAACE011,AAACE012,AAACE013,AAACE014,AAACE015,AAACE016,AAACE017,AAACE018,AAACE019,AAACE020,AAACE021,AAACE022,AAACE023,AAACE024,AAACE025,AAACE026,AAACE027,AAACE028,AAACE029,AAACE030,AAACE031,AAACE032,AAACE033,AAACE034,AAACE035,AAACE036,AAACE037,AAACE038,AAACE039,AAACE040,AAACE041,AAACE042,AAACE043,AAACE044,AAACE045,AAACE046,AAACE047,AAACE048,AAACE049,NAME_M,AAACM001,AAACM002,AAACM003,AAACM004,AAACM005,AAACM006,AAACM007,AAACM008,AAACM009,AAACM010,AAACM011,AAACM012,AAACM013,AAACM014,AAACM015,AAACM016,AAACM017,AAACM018,AAACM019,AAACM020,AAACM021,AAACM022,AAACM023,AAACM024,AAACM025,AAACM026,AAACM027,AAACM028,AAACM029,AAACM030,AAACM031,AAACM032,AAACM033,AAACM034,AAACM035,AAACM036,AAACM037,AAACM038,AAACM039,AAACM040,AAACM041,AAACM042,AAACM043,AAACM044,AAACM045,AAACM046,AAACM047,AAACM048,AAACM049
"G01007000","2014","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",212653,98257,8169,6243,4771,3338,3043,2244,2733,3969,10154,6825,6676,4912,5559,6636,6257,2958,3065,1604,2125,2617,2063,1201,1095,114396,6819,6320,5935,2384,2977,2391,2076,5979,11511,8467,6332,6840,6155,8107,8338,3324,4249,2620,2804,3123,3193,2107,2345,"Birmingham city, Alabama",923,3003,1365,1221,979,753,807,828,940,1291,1432,998,1067,1025,1067,907,1022,730,692,715,494,592,545,353,384,3145,1698,1275,1287,612,1266,959,798,1148,1761,1334,1110,1294,861,980,979,836,831,600,648,587,695,553,507
"G01021184","2014","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",69400,32542,2446,2777,2102,1355,744,369,304,1551,2295,2332,1659,2356,1675,2044,1992,915,1097,723,1005,1006,724,544,527,36858,2455,2340,2257,1443,784,272,564,1483,2240,2568,2340,2179,2009,2446,2641,1135,1176,845,1092,1550,1512,746,781,"Dothan city, Alabama",1142,756,313,340,319,211,142,133,133,531,311,314,326,353,267,270,292,220,235,207,228,235,206,133,200,953,205,358,517,171,98,122,292,326,286,488,352,313,205,239,409,286,249,176,247,279,321,199,209
"G01035896","2014","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",84352,40334,1890,2206,3108,1638,326,322,212,1026,2675,3822,2492,3530,2524,3141,2787,548,1373,1336,1023,1709,1413,554,679,44018,2735,3110,1906,1569,1089,143,55,924,3413,2736,3066,3549,3219,2784,2413,1122,1836,1173,1461,1763,1642,977,1333,"Hoover city, Alabama",35,2178,694,801,1240,617,271,338,231,670,1133,851,831,1126,928,824,671,285,502,802,568,747,580,360,365,2177,987,728,624,543,610,174,88,455,1014,882,745,1012,932,663,632,478,738,505,710,518,726,517,647
"G01037000","2014","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",187592,90041,7449,4940,5108,3230,2319,1056,993,4847,8108,6854,3964,4657,5519,6713,7105,2309,2607,1378,1461,3280,2434,2551,1159,97551,5706,6075,4065,2955,2825,1383,1608,5739,8862,6076,5170,5302,6232,6985,6763,1599,3037,1763,1933,4287,3858,2684,2644,"Huntsville city, Alabama",678,2132,874,804,1069,736,566,462,553,1063,1110,894,937,975,929,1085,1193,806,912,457,518,681,546,623,411,2196,948,1105,1041,827,555,576,655,1046,943,827,1153,1047,929,1038,1092,489,765,523,550,751,737,595,666
"G01050000","2014","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",194670,92585,6428,6283,6028,3781,3016,1687,1820,4262,6963,6542,6248,4239,5504,6740,6411,1901,3262,1507,2238,3161,1743,1552,1269,102085,7350,5518,5882,4071,2734,1363,1302,5124,7391,7191,6171,5294,6685,7112,6375,2307,3283,2739,2951,3081,2955,1939,3267,"Mobile city, Alabama",39,2672,1235,1340,1295,824,587,796,874,857,1095,987,962,1053,809,963,906,504,658,380,538,586,468,407,411,2668,1047,1218,1328,710,492,546,575,1305,1019,945,1071,1007,1030,855,1072,647,780,660,648,696,527,496,684
"G01051000","2014","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",200486,94746,6832,7622,6345,3888,2635,1067,1170,6165,7405,6916,6095,5767,5837,6137,5661,1611,2796,1730,2371,2350,2315,1608,423,105740,6802,7267,6120,4006,2602,1713,1920,5095,8049,7455,7403,6023,6156,6642,6442,3619,2798,2336,2750,3204,3476,1955,1907,"Montgomery city, Alabama",27,1055,628,1164,1003,392,308,479,794,891,427,395,923,893,648,532,730,509,760,515,586,541,522,386,220,1055,265,1183,1113,596,482,849,652,998,478,420,928,995,488,488,767,710,624,537,528,566,634,481,455
"G01077256","2014","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",96116,44911,3755,2968,1894,1229,3605,1633,1820,3957,4004,2734,2429,2337,1575,2355,2187,668,1361,626,977,1063,730,715,289,51205,3031,1484,3343,1012,5592,1330,1467,4105,3914,2890,2462,2615,2399,2650,2987,798,1848,947,1125,1981,977,1057,1191,"Tuscaloosa city, Alabama",32,1689,814,732,609,297,709,775,884,1243,1060,767,1044,782,435,531,844,334,622,301,384,422,315,479,191,1691,900,600,1026,307,1286,557,824,1180,888,667,814,600,558,600,712,429,764,437,436,805,447,532,561
"G02003000","2014","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",301010,153176,10282,10490,10911,5766,4691,1936,4091,9545,14739,11847,10923,8346,9459,10439,10653,3137,3722,1989,2707,3348,2205,1128,822,147834,11505,9947,10525,5538,3641,3033,1160,7960,12502,11867,9693,9574,8821,10250,10177,3165,3769,2505,2639,3440,2672,1804,1647,"Anchorage municipality, Alaska",0,1156,813,1257,1488,765,1130,789,1237,1356,665,862,1287,1410,813,619,869,770,728,573,764,815,562,547,454,1156,983,1239,1082,739,714,921,561,917,348,731,1332,1156,678,415,1050,628,775,642,772,797,752,708,736
"G04004720","2014","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",79621,40906,2440,4071,3175,1805,1575,1036,1191,1423,3235,3674,2900,2727,2584,2730,2601,292,687,544,646,859,399,286,26,38715,2560,2927,3569,2164,1558,686,214,1547,2966,2907,3543,2684,2181,2492,2148,424,903,412,732,952,656,431,59,"Avondale city, Arizona",87,1599,846,1447,951,503,606,594,558,678,800,932,792,816,659,798,779,178,369,285,286,376,336,266,43,1596,830,731,1101,750,854,428,190,542,947,897,958,695,643,808,626,228,405,190,348,363,495,398,115
"G04010670","2014","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",72867,34663,2671,2897,1782,1953,1266,750,433,959,2723,1837,1889,1535,2215,2006,2629,944,817,983,862,1450,893,585,584,38204,2457,1209,2010,1971,904,529,456,1649,2163,2137,3104,2258,2264,2385,2783,1208,1118,1172,1356,1828,1313,818,1112,"Casas Adobes CDP, Arizona",5846,3473,964,1152,922,683,611,563,345,568,1029,763,713,569,719,643,705,593,301,584,355,555,425,306,251,3124,991,548,719,795,473,484,401,598,607,767,972,781,757,608,798,531,389,551,487,628,438,292,312
