GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACJ9E001,ACJ9E002,ACJ9E003,ACJ9E004,ACJ9E005,ACJ9E006,ACJ9E007,ACJ9E008,ACJ9E009,ACJ9E010,ACJ9E011,ACJ9E012,ACJ9E013,ACJ9E014,ACJ9E015,ACJ9E016,ACJ9E017,ACJ9E018,ACJ9E019,ACJ9E020,ACJ9E021,ACJ9E022,ACJ9E023,ACJ9E024,ACJ9E025,ACJ9E026,ACJ9E027,ACJ9E028,ACJ9E029,ACJ9E030,ACJ9E031,ACJ9E032,ACJ9E033,ACJ9E034,ACJ9E035,ACJ9E036,ACJ9E037,ACJ9E038,ACJ9E039,ACJ9E040,ACJ9E041,ACJ9E042,ACJ9E043,ACJ9E044,ACJ9E045,ACJ9E046,ACJ9E047,ACJ9E048,ACJ9E049,NAME_M,ACJ9M001,ACJ9M002,ACJ9M003,ACJ9M004,ACJ9M005,ACJ9M006,ACJ9M007,ACJ9M008,ACJ9M009,ACJ9M010,ACJ9M011,ACJ9M012,ACJ9M013,ACJ9M014,ACJ9M015,ACJ9M016,ACJ9M017,ACJ9M018,ACJ9M019,ACJ9M020,ACJ9M021,ACJ9M022,ACJ9M023,ACJ9M024,ACJ9M025,ACJ9M026,ACJ9M027,ACJ9M028,ACJ9M029,ACJ9M030,ACJ9M031,ACJ9M032,ACJ9M033,ACJ9M034,ACJ9M035,ACJ9M036,ACJ9M037,ACJ9M038,ACJ9M039,ACJ9M040,ACJ9M041,ACJ9M042,ACJ9M043,ACJ9M044,ACJ9M045,ACJ9M046,ACJ9M047,ACJ9M048,ACJ9M049
"G01007000","2015","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",214911,102122,7289,6829,5149,3770,3056,1695,1678,5215,9990,7558,6188,5794,5483,6856,7516,2500,3965,1938,2838,2497,1353,2210,755,112789,6473,6623,5442,3162,2228,1292,2205,6510,11578,8045,6524,5371,6406,7399,8689,2631,4073,2175,2518,3988,3485,2461,3511,"Birmingham city, Alabama",2144,3432,1195,1435,1212,691,782,626,869,1342,1676,1278,1200,1158,990,1163,1179,890,1022,520,720,661,454,699,316,3271,1285,1386,1138,688,543,539,784,1314,1384,1161,1171,1073,895,1187,1205,763,890,633,716,772,812,601,848
"G01021184","2015","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",67536,32172,2081,2119,2586,1607,757,550,445,929,2153,1963,1867,1920,2150,2458,1994,796,857,858,938,1200,884,695,365,35364,1951,2254,2038,1417,724,173,471,1284,2495,2606,1795,2925,2090,1953,2634,842,1213,954,1227,1449,1136,871,862,"Dothan city, Alabama",296,754,327,433,578,184,146,200,202,296,348,338,379,290,256,230,333,227,196,242,182,254,184,177,110,702,293,444,437,213,97,99,195,239,282,254,354,436,357,356,315,175,253,194,264,271,223,253,235
"G01035896","2015","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",84839,38040,2938,2070,2664,2159,286,194,595,1417,2110,2208,2738,3092,2516,2310,2389,1192,1864,982,1104,1100,963,718,431,46799,3758,3380,2959,1935,772,491,686,937,2998,2983,3762,2723,2888,2951,2953,1240,1495,950,1159,2372,1121,1233,1053,"Hoover city, Alabama",44,1866,914,736,704,632,256,236,323,576,645,784,861,891,699,740,691,451,545,472,442,584,469,341,245,1867,1304,910,839,662,426,606,479,455,909,925,1238,799,790,793,771,542,510,408,385,666,507,515,479
"G01037000","2015","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",189114,91764,5423,5629,4898,2956,2399,876,2241,4081,8204,7050,6126,4803,5790,6478,6964,2298,2668,2345,1790,3182,2707,1490,1366,97350,6040,5425,5370,2686,1834,1495,1728,4700,7851,6460,5330,6201,5663,6482,6318,3344,3423,2377,2567,3593,3419,3089,1955,"Huntsville city, Alabama",348,2627,837,1223,955,648,802,422,829,1557,1173,916,1019,906,895,959,1040,682,597,622,519,694,595,442,433,2610,1069,1141,1225,617,1161,618,708,1116,930,972,1083,1097,1125,960,999,903,848,778,708,894,718,648,579
"G01050000","2015","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",194305,91275,5394,5797,5069,3580,2441,1664,2250,3729,7175,6758,5138,5929,5482,6716,5240,3365,3502,2349,2306,2551,2359,1563,918,103030,6134,4893,6078,3978,2760,928,991,4794,8291,7489,6673,5305,5887,6549,6653,3361,4301,1648,3018,4789,3684,2101,2725,"Mobile city, Alabama",64,2901,1093,1146,1064,607,502,646,896,975,1256,1054,1052,1016,972,831,958,976,767,787,601,764,557,406,342,2898,1034,1268,1488,838,729,656,488,952,1343,997,1192,1083,901,990,1203,784,968,482,655,961,697,455,685
"G01051000","2015","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",200586,94582,6465,6857,6121,4139,3165,2051,1850,3950,8260,6324,6351,5596,5342,5832,5574,1719,3821,2082,2743,2210,1920,1544,666,106004,5825,7219,6480,3953,2465,1495,1583,5559,8414,6883,5976,7215,6211,7097,7174,2359,4183,2135,2205,4358,2963,2251,2001,"Montgomery city, Alabama",59,871,520,1233,1195,366,344,736,768,898,422,567,998,1089,596,447,819,677,774,555,617,514,393,418,304,872,599,1063,1044,308,255,704,765,1182,309,571,1193,1106,500,397,948,676,758,635,553,697,601,565,550
"G01077256","2015","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",98338,47293,2528,2245,1933,1746,4092,1680,2002,5330,4030,3582,1995,1584,2179,2718,2985,622,1505,609,997,1212,765,236,718,51045,1996,2329,2108,1635,4932,2319,3337,3348,3078,3303,1848,3337,2846,3144,2027,1463,1872,877,993,1579,742,1243,689,"Tuscaloosa city, Alabama",39,1520,700,703,622,387,928,725,1293,1328,1584,747,663,607,756,649,677,357,610,259,410,427,359,186,346,1514,644,732,728,503,634,853,961,1055,864,720,758,809,504,526,553,476,565,391,377,478,273,466,347
"G02003000","2015","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",298695,152945,11423,10928,9490,5505,3690,3400,2936,10164,14697,12834,10090,8631,8912,9450,9582,3959,4465,1875,3089,3916,1657,1229,1023,145750,11494,10814,8246,6056,3044,2086,2507,6906,13565,11738,9414,9229,8755,9280,10450,3411,4092,2166,2645,4074,1935,2080,1763,"Anchorage municipality, Alaska",0,982,302,1243,1292,576,809,1219,1099,1423,660,872,1341,1225,843,587,1218,823,1015,508,639,699,510,425,571,982,615,1338,1207,492,455,744,897,1173,626,798,1344,1295,526,392,1018,882,842,649,554,776,609,649,575
"G04004720","2015","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",80683,38712,3592,3419,2979,2199,1456,543,677,1127,4140,2522,2823,2270,2253,2633,1722,680,928,297,517,798,698,268,171,41971,4752,3715,3165,2133,1375,995,315,1585,4290,2889,2603,2699,2566,2039,1977,378,954,417,772,659,798,650,245,"Avondale city, Arizona",34,1714,964,887,788,638,570,327,444,507,1171,723,714,664,621,722,473,558,378,205,250,374,301,209,138,1718,1071,820,870,729,530,492,310,591,995,685,660,740,610,697,562,219,395,218,443,291,325,374,188
"G04010670","2015","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",65265,30890,1826,1525,1946,1010,399,318,712,1151,1909,2021,2095,1892,1581,2411,1578,798,1539,679,975,2077,1040,813,595,34375,1741,1559,949,1282,873,625,660,1263,1918,1962,1774,1346,1875,2740,2696,848,1594,1246,1838,1851,1101,790,1844,"Casas Adobes CDP, Arizona",4808,2781,706,661,654,343,227,252,452,545,654,736,628,703,470,666,510,317,560,444,358,586,387,388,384,2742,756,726,421,564,472,414,377,506,687,750,561,465,607,718,753,411,541,502,530,487,434,326,761
