GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AE1IE001,AE1IE002,AE1IE003,AE1IE004,AE1IE005,AE1IE006,AE1IE007,AE1IE008,AE1IE009,AE1IE010,AE1IE011,AE1IE012,AE1IE013,AE1IE014,AE1IE015,AE1IE016,AE1IE017,AE1IE018,AE1IE019,AE1IE020,AE1IE021,AE1IE022,AE1IE023,AE1IE024,AE1IE025,AE1IE026,AE1IE027,AE1IE028,AE1IE029,AE1IE030,AE1IE031,AE1IE032,AE1IE033,AE1IE034,AE1IE035,AE1IE036,AE1IE037,AE1IE038,AE1IE039,AE1IE040,AE1IE041,AE1IE042,AE1IE043,AE1IE044,AE1IE045,AE1IE046,AE1IE047,AE1IE048,AE1IE049,NAME_M,AE1IM001,AE1IM002,AE1IM003,AE1IM004,AE1IM005,AE1IM006,AE1IM007,AE1IM008,AE1IM009,AE1IM010,AE1IM011,AE1IM012,AE1IM013,AE1IM014,AE1IM015,AE1IM016,AE1IM017,AE1IM018,AE1IM019,AE1IM020,AE1IM021,AE1IM022,AE1IM023,AE1IM024,AE1IM025,AE1IM026,AE1IM027,AE1IM028,AE1IM029,AE1IM030,AE1IM031,AE1IM032,AE1IM033,AE1IM034,AE1IM035,AE1IM036,AE1IM037,AE1IM038,AE1IM039,AE1IM040,AE1IM041,AE1IM042,AE1IM043,AE1IM044,AE1IM045,AE1IM046,AE1IM047,AE1IM048,AE1IM049
"G01007000","2016","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",213434,100602,6418,7478,5135,3769,2995,1975,1493,4692,9554,8294,6103,6943,4686,6716,7067,1728,3375,2356,2216,2769,1445,1914,1481,112832,6598,6264,6017,3539,3065,1859,1944,3968,11478,7386,7646,5893,6946,7018,8741,2647,3975,2974,2725,3676,2769,2699,3005,"Birmingham city, Alabama",1446,2705,1139,1354,1133,696,914,847,672,1061,1470,1532,1136,1308,843,988,1042,532,911,697,650,652,493,618,465,2666,1107,1106,1073,879,1040,759,773,761,1627,1300,1464,1080,871,1172,1217,633,754,825,762,962,734,694,705
"G01021184","2016","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",67714,32089,2445,2454,2369,1208,733,358,363,1413,2365,2033,2056,1982,1881,1908,2066,886,892,644,1004,1089,928,560,452,35625,2013,2153,1930,1320,733,356,554,1109,2544,2257,1963,2228,2370,2506,2520,944,1347,972,1066,1665,1191,902,982,"Dothan city, Alabama",288,632,234,347,371,238,200,181,173,342,313,280,414,321,306,324,390,249,240,194,204,190,232,168,163,651,225,318,333,239,129,201,296,290,310,317,250,278,269,317,381,283,308,389,182,278,274,245,317
"G01035896","2016","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",84943,40646,2966,2918,2825,2110,834,335,471,1236,2407,3590,2734,3157,3052,2379,2161,710,917,882,1162,1463,1199,527,611,44297,2848,3195,2679,2080,373,355,430,1446,2956,4003,3560,2710,3322,2902,2513,1241,968,730,1590,1516,1127,550,1203,"Hoover city, Alabama",123,2025,874,844,960,697,578,275,531,791,909,1115,899,829,880,625,603,395,389,359,372,464,401,318,340,2030,918,895,946,680,278,305,244,737,953,1083,1019,808,1032,820,646,591,391,341,645,490,467,320,467
"G01037000","2016","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",196225,96482,6932,6490,6937,4136,3546,1739,1219,4615,7423,6737,5477,4840,6227,5184,7318,2216,2391,1892,2463,2973,2315,1946,1466,99743,6128,6570,5519,3392,3046,2094,2447,3745,7655,6239,6169,7030,5782,6604,6570,1859,3321,2206,2609,3383,2539,2623,2213,"Huntsville city, Alabama",2817,2233,1031,1364,1499,932,695,631,752,1030,1390,1039,1234,1127,983,838,1097,806,638,603,732,865,492,552,448,2439,1187,1333,1129,746,521,682,956,827,1453,945,1084,1383,1056,1103,1057,590,871,703,617,649,659,803,562
"G01050000","2016","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",192895,92787,5064,4621,6253,3407,2362,2354,969,5735,8679,6453,6623,5194,5325,5410,5508,1806,3571,1995,3489,3153,2327,1500,989,100108,5313,6373,4622,3139,2752,1083,1358,5263,7625,7719,6632,5684,5330,5698,6815,2672,3422,2791,3443,4128,3190,1938,3118,"Mobile city, Alabama",44,2155,1204,1140,1543,780,530,1069,519,916,1066,1372,1116,1030,712,880,1099,652,790,543,907,656,592,432,420,2156,1060,1455,980,763,625,535,813,1391,1177,1118,1150,1202,845,758,1135,796,833,816,742,821,675,607,591
"G01051000","2016","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",200024,94034,7166,8021,4923,3745,3507,1109,1308,4413,7307,7399,5522,6221,5651,5884,5765,2518,2613,1809,2360,2557,2129,983,1124,105990,7041,6860,5501,3721,2528,1517,1646,5103,8265,7663,6541,6555,6477,6709,7306,2471,3923,2134,2595,3919,3073,2190,2252,"Montgomery city, Alabama",22,997,734,1159,1111,376,565,640,983,1127,452,573,944,932,457,404,920,702,670,496,542,535,453,338,428,998,677,923,956,287,340,683,617,850,482,438,1050,1015,703,454,918,628,824,557,660,674,601,537,519
"G01077256","2016","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",99556,46721,2776,2683,2232,1420,3927,1821,2078,4459,5058,2520,2539,1883,2010,2200,2364,543,1688,594,885,1283,472,582,704,52835,3258,2257,2242,1329,5018,1462,1591,5483,4283,2789,2805,2324,3124,3130,1856,1692,1585,1156,1163,766,959,1152,1411,"Tuscaloosa city, Alabama",48,1780,796,916,623,510,739,666,902,956,1039,657,836,603,708,534,682,281,595,324,335,471,238,264,298,1784,739,947,780,351,704,675,755,1353,747,697,707,833,689,709,645,586,475,459,462,301,354,390,464
"G02003000","2016","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",298192,152882,11310,10133,11099,6197,3836,1919,2825,8735,14439,12988,10970,8223,9104,9447,10066,2837,5159,2613,3271,3751,1989,1024,947,145310,10351,10522,8369,5987,3392,1959,1812,6217,13584,11798,10968,9107,8439,9170,9523,4175,4447,2396,2886,4370,2215,1424,2199,"Anchorage municipality, Alaska",0,920,643,1104,1180,789,616,724,783,1050,257,995,1397,1451,941,818,1244,733,1053,615,568,690,493,431,342,920,642,1448,1353,900,743,709,599,918,857,756,1269,1317,629,275,1046,950,960,676,594,562,593,647,607
"G04004720","2016","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",82875,41915,3367,2580,3973,1471,588,1182,688,1891,4238,2548,3609,2869,2767,2801,1634,284,1296,1385,790,1291,167,299,197,40960,2231,3754,3164,2771,417,266,227,1620,3451,2635,3200,3355,2482,2734,1870,891,1828,448,1374,985,518,565,174,"Avondale city, Arizona",36,2217,1261,948,1206,618,349,984,523,811,1297,804,1018,1017,917,905,755,156,570,1008,401,788,128,211,176,2213,847,1127,1034,931,284,203,226,622,1000,618,911,744,985,789,804,523,983,342,736,476,307,275,178
"G04010670","2016","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",70589,33958,2240,1646,1686,622,900,312,577,1025,2363,2758,2390,2135,1754,2597,2676,1354,1485,588,813,1292,1196,943,606,36631,2293,1201,1663,1026,706,0,886,1564,2607,3109,2263,1695,1723,3225,2038,852,1281,1215,1435,1687,1219,1003,1940,"Casas Adobes CDP, Arizona",5147,3152,864,668,780,303,511,334,486,616,925,1016,879,865,639,719,768,528,543,239,294,449,469,480,267,2918,808,602,764,464,515,204,493,734,955,830,802,583,683,890,513,293,557,449,407,507,447,511,749
