GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGWME001,AGWME002,AGWME003,AGWME004,AGWME005,AGWME006,AGWME007,AGWME008,AGWME009,AGWME010,AGWME011,AGWME012,AGWME013,AGWME014,AGWME015,AGWME016,AGWME017,AGWME018,AGWME019,AGWME020,AGWME021,AGWME022,AGWME023,AGWME024,AGWME025,AGWME026,AGWME027,AGWME028,AGWME029,AGWME030,AGWME031,AGWME032,AGWME033,AGWME034,AGWME035,AGWME036,AGWME037,AGWME038,AGWME039,AGWME040,AGWME041,AGWME042,AGWME043,AGWME044,AGWME045,AGWME046,AGWME047,AGWME048,AGWME049,NAME_M,AGWMM001,AGWMM002,AGWMM003,AGWMM004,AGWMM005,AGWMM006,AGWMM007,AGWMM008,AGWMM009,AGWMM010,AGWMM011,AGWMM012,AGWMM013,AGWMM014,AGWMM015,AGWMM016,AGWMM017,AGWMM018,AGWMM019,AGWMM020,AGWMM021,AGWMM022,AGWMM023,AGWMM024,AGWMM025,AGWMM026,AGWMM027,AGWMM028,AGWMM029,AGWMM030,AGWMM031,AGWMM032,AGWMM033,AGWMM034,AGWMM035,AGWMM036,AGWMM037,AGWMM038,AGWMM039,AGWMM040,AGWMM041,AGWMM042,AGWMM043,AGWMM044,AGWMM045,AGWMM046,AGWMM047,AGWMM048,AGWMM049
"G01007000","2017","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",212744,101498,6735,5456,7466,2596,2376,1327,2203,5660,11880,8026,5541,6107,5106,5306,6071,3581,3303,2177,2575,3441,2164,1210,1191,111246,7037,5673,3504,2776,2386,2558,1789,5976,9804,9090,6824,5195,6246,7396,7434,3146,5492,2988,2711,5018,3413,2510,2280,"Birmingham city, Alabama",1671,2971,1258,1187,1711,746,727,809,907,1232,1423,1513,1081,1607,1041,948,1179,889,832,677,727,895,593,416,569,3169,1354,1299,1089,865,1106,935,861,1487,1336,1349,1195,1103,909,1204,1398,821,966,824,647,1130,675,666,616
"G01021184","2017","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",67526,31708,2342,2516,2312,1433,452,372,311,1037,2228,2469,1922,1937,1779,2050,2419,722,857,713,1006,1087,717,618,409,35818,2355,2683,2097,1213,633,456,516,1025,2626,2725,2043,2127,2249,1810,2793,836,1108,880,1191,1584,929,898,1041,"Dothan city, Alabama",580,636,263,401,385,216,189,225,201,298,400,283,390,356,305,284,369,190,211,192,246,216,203,196,159,634,264,363,382,245,135,189,252,290,330,328,389,338,340,334,379,243,219,204,245,275,201,209,288
"G01035896","2017","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",84937,40322,2483,2644,2619,1671,648,253,156,745,2909,3129,3072,2404,2428,2436,3090,1614,1548,1013,849,1724,1005,905,977,44615,2432,2210,3078,1578,1254,604,191,1447,3059,2210,3179,3280,3084,2639,3666,765,1414,1426,1509,1771,1550,1090,1179,"Hoover city, Alabama",66,1840,771,825,864,564,381,253,268,464,1061,895,954,993,657,757,864,801,685,409,423,746,391,447,461,1843,907,838,938,746,814,497,224,771,918,791,839,983,945,930,1081,440,474,580,533,643,600,496,493
"G01037000","2017","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",195369,92699,6533,5712,5268,2752,2899,550,1629,4269,7874,6355,7061,5416,5154,5974,6305,3109,2820,1367,3050,3762,2090,1415,1335,102670,5761,5856,6375,3230,2042,1395,1920,5938,7850,6906,6460,5446,5211,6921,7221,2350,3693,2426,3914,4031,2753,2310,2661,"Huntsville city, Alabama",1502,2263,1074,1130,1086,720,872,343,653,1240,1150,1076,1250,1156,893,1068,990,950,741,443,642,684,530,470,405,1835,1057,1081,1326,642,887,770,909,1259,1147,948,1490,1068,1026,1312,1252,668,1011,928,1068,862,578,675,634
"G01050000","2017","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",190273,91603,6335,5093,5025,3163,2718,1291,2125,4302,8648,7081,4717,6044,5253,6199,5595,2218,3878,2040,2886,3177,1895,1198,722,98670,6003,5170,4596,3290,2647,2029,2141,3127,7636,7604,5944,5354,5167,7039,6503,2978,4053,2191,3563,4301,2739,1820,2775,"Mobile city, Alabama",44,2282,1106,1120,1047,732,770,625,788,971,1022,1001,1096,1236,657,876,975,671,791,538,605,714,539,399,320,2279,1072,1190,965,676,755,770,937,617,1169,1036,1258,1143,1045,1035,1008,891,1001,536,758,757,597,509,802
"G01051000","2017","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",199525,93275,6349,6181,7204,4104,3221,1129,1008,5155,7424,6399,5645,6539,5056,5531,6039,1289,3040,2523,2311,2552,2153,1471,952,106250,7159,6114,6589,4157,2777,1802,512,5202,8519,6742,5939,7481,6662,6551,7067,2270,4214,1961,3084,3917,3425,1628,2478,"Montgomery city, Alabama",34,1132,524,1178,1154,423,510,679,703,826,599,494,1286,1307,575,508,919,492,803,701,563,612,592,454,423,1136,438,1606,1663,415,659,819,320,1109,467,671,1205,1177,396,461,1043,706,836,587,655,727,657,494,691
"G01077256","2017","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",100296,47818,3011,2909,2534,1108,4645,1265,1145,3964,4486,4061,2520,2943,2408,1756,2124,547,1775,715,1250,1309,598,491,254,52478,2143,3003,1550,1835,6484,1774,2857,3193,4606,2957,3576,2018,2470,2131,2295,1322,2118,1035,1033,1400,1254,832,592,"Tuscaloosa city, Alabama",38,1702,740,784,645,439,1024,766,619,1416,895,881,941,994,601,655,593,345,787,378,517,467,334,228,187,1703,813,777,665,436,1214,925,1278,1307,938,518,784,838,651,489,800,614,937,471,587,514,633,449,376
"G02003000","2017","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",294356,149386,9966,11141,9376,5722,4742,2251,2662,6632,14458,12444,11997,8622,8833,8241,8714,4095,4514,2849,3697,4186,2227,1227,790,144970,11591,10434,8816,4996,3163,2417,1765,6216,12268,10848,12592,8285,7569,9783,9999,3203,5040,2114,3924,4138,2268,1571,1970,"Anchorage municipality, Alaska",0,1234,866,1104,1067,1036,900,985,781,1298,732,846,1637,1416,703,524,1147,855,874,654,901,782,551,361,354,1234,836,1495,1334,778,778,884,853,1147,947,1003,1545,1268,557,987,1067,907,950,757,838,747,720,445,652
"G04004720","2017","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",84034,39677,3478,3703,2730,1488,1359,709,473,1263,3820,3467,2464,4317,1957,1798,1465,931,586,753,971,795,365,172,613,44357,3790,3425,3080,1980,1269,609,760,2252,4022,3300,3664,2525,2763,1803,2233,1608,1235,801,924,834,720,395,365,"Avondale city, Arizona",49,2020,1530,1075,802,614,666,387,275,584,1140,1131,710,1237,605,819,598,384,358,532,473,486,277,206,470,2018,1108,1057,1008,755,769,629,542,887,956,1013,937,766,986,760,825,699,660,428,441,583,540,287,298
"G04007940","2017","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",68431,37366,1986,2002,2818,1592,879,830,1013,1891,3636,2946,3061,3196,2368,2679,1446,427,772,286,890,1439,502,281,426,31065,2531,2801,2648,1439,841,650,158,1041,1818,2033,1789,1646,3253,1665,884,870,955,408,915,936,555,627,602,"Buckeye city, Arizona",80,2176,786,624,820,747,647,591,862,874,970,1019,912,936,603,718,643,494,375,219,528,507,307,225,466,2177,1072,1085,1044,620,574,551,153,539,751,764,752,575,892,617,404,421,532,213,410,387,306,409,596
