GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIT3E001,AIT3E002,AIT3E003,AIT3E004,AIT3E005,AIT3E006,AIT3E007,AIT3E008,AIT3E009,AIT3E010,AIT3E011,AIT3E012,AIT3E013,AIT3E014,AIT3E015,AIT3E016,AIT3E017,AIT3E018,AIT3E019,AIT3E020,AIT3E021,AIT3E022,AIT3E023,AIT3E024,AIT3E025,AIT3E026,AIT3E027,AIT3E028,AIT3E029,AIT3E030,AIT3E031,AIT3E032,AIT3E033,AIT3E034,AIT3E035,AIT3E036,AIT3E037,AIT3E038,AIT3E039,AIT3E040,AIT3E041,AIT3E042,AIT3E043,AIT3E044,AIT3E045,AIT3E046,AIT3E047,AIT3E048,AIT3E049,NAME_M,AIT3M001,AIT3M002,AIT3M003,AIT3M004,AIT3M005,AIT3M006,AIT3M007,AIT3M008,AIT3M009,AIT3M010,AIT3M011,AIT3M012,AIT3M013,AIT3M014,AIT3M015,AIT3M016,AIT3M017,AIT3M018,AIT3M019,AIT3M020,AIT3M021,AIT3M022,AIT3M023,AIT3M024,AIT3M025,AIT3M026,AIT3M027,AIT3M028,AIT3M029,AIT3M030,AIT3M031,AIT3M032,AIT3M033,AIT3M034,AIT3M035,AIT3M036,AIT3M037,AIT3M038,AIT3M039,AIT3M040,AIT3M041,AIT3M042,AIT3M043,AIT3M044,AIT3M045,AIT3M046,AIT3M047,AIT3M048,AIT3M049
"G01003076","2018","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",65737,31482,2060,1290,1811,490,2903,2938,1463,3257,2261,2334,2478,1248,1013,1290,1120,438,689,596,679,486,338,154,146,34255,1447,1658,1950,1108,2886,2271,1576,2113,3133,2845,2173,1963,1882,1161,989,749,1498,664,588,653,297,446,205,"Auburn city, Alabama",21,1471,983,708,676,286,650,1772,873,1058,929,827,1006,663,407,487,536,378,398,437,416,276,226,188,177,1470,688,655,714,579,784,1097,737,892,848,687,929,913,973,465,505,433,727,466,296,335,256,321,192
"G01007000","2018","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",209294,96634,6689,7272,4968,3123,2584,1314,966,4316,9928,5849,7778,5528,4905,6089,5267,3685,3370,1770,3949,2885,1914,1315,1170,112660,7665,5519,4942,3266,3279,2056,1670,5419,11561,8053,5398,6489,5758,6307,7694,3385,4841,2534,3754,4529,3689,2404,2448,"Birmingham city, Alabama",935,2790,1404,1812,1106,943,836,554,512,1432,1365,1410,1579,1338,1011,1081,1265,997,1038,601,838,878,604,559,520,3013,1381,1680,1331,964,849,989,684,1514,1610,1310,1310,1541,1115,1025,1442,989,1116,734,892,782,779,609,687
"G01021184","2018","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",67814,32283,2337,2213,2011,1299,663,633,411,1017,2204,2405,1942,1597,1799,2066,1916,914,1175,663,1158,1425,1068,763,604,35531,2203,2067,2273,980,790,331,298,1243,2211,2662,1887,2580,2002,1954,2071,825,1531,1035,1353,1934,1456,840,1005,"Dothan city, Alabama",636,885,285,378,393,203,207,249,233,251,472,416,432,291,277,298,338,261,311,199,239,228,180,212,178,742,230,358,392,266,265,206,203,274,353,339,368,399,415,313,342,193,288,235,215,315,253,196,275
"G01035896","2018","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",85115,39998,2778,2782,4321,2205,758,546,165,1558,2828,2079,2470,2548,2324,2242,1814,1138,1118,735,1393,1922,679,1115,480,45117,3335,2797,3202,1606,503,327,294,816,2759,1967,3962,3817,3246,2699,2578,923,1458,1732,1425,2326,1431,743,1171,"Hoover city, Alabama",42,1607,925,798,1154,932,499,383,237,688,810,613,820,864,546,740,647,869,441,323,473,695,342,530,272,1607,1003,845,1036,542,372,282,261,394,858,697,1036,1161,895,759,869,350,538,693,521,669,575,392,572
"G01037000","2018","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",199808,95202,6453,7063,5162,2745,2916,2268,2084,4054,8254,7418,5601,5932,4167,6986,6075,1712,2444,1789,2237,3951,2644,1839,1408,104606,5626,6190,6805,2859,3343,1964,1187,5177,7763,8072,6156,6363,5132,6656,7141,2035,2671,2691,2582,5287,3512,3183,2211,"Huntsville city, Alabama",2075,2722,1220,1142,1121,893,863,694,669,953,954,1044,1369,1399,898,1126,1239,484,668,627,648,935,594,552,456,2917,1153,1106,1281,900,921,800,741,1186,1199,841,1173,1162,1007,1015,970,578,862,837,705,1170,687,666,620
"G01050000","2018","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",189570,89005,6210,5576,5294,3298,1871,1871,885,3337,6972,6022,5665,5966,4222,6161,6667,2452,2681,2844,2621,2980,3014,1278,1118,100565,5764,3865,5520,3737,2892,1060,1869,4712,7934,6581,6355,5914,5203,6438,7190,3078,3155,2187,3107,5174,2924,2680,3226,"Mobile city, Alabama",33,2356,750,1223,1044,942,449,645,351,823,1198,1047,1064,1113,974,802,927,709,695,704,617,609,874,434,433,2357,1122,930,1098,928,540,626,837,885,1390,1037,1450,1223,1013,990,1141,829,671,722,802,885,690,593,811
"G01051000","2018","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",198218,93079,6958,6677,6725,3830,2995,1470,1296,3653,8042,6109,4470,7484,5444,5702,5292,2365,2895,1663,2904,2724,1473,1504,1404,105139,6700,6548,6148,3719,2952,1406,1864,4170,8205,7373,6633,6912,6822,5804,7495,2622,3510,2703,2635,4062,2665,2158,2033,"Montgomery city, Alabama",21,947,564,1270,1107,395,318,667,583,880,517,463,1053,1131,395,398,834,651,754,534,623,558,466,497,469,948,617,1320,1305,383,181,564,537,795,565,415,1211,1127,499,646,1136,774,949,618,624,808,629,623,606
"G01077256","2018","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",101111,47889,2795,2122,2009,2270,5539,1862,1718,2338,4015,3454,2296,2924,1974,1710,2309,1514,1507,1391,759,1224,1329,379,451,53222,2931,2164,2623,1530,6527,1647,2012,2842,4217,3360,2473,2413,2344,2732,3597,1038,1830,1109,1050,1717,1530,654,882,"Tuscaloosa city, Alabama",34,1723,783,892,717,746,1465,843,749,938,814,787,743,1121,563,645,747,691,689,555,420,450,387,292,335,1731,826,876,964,725,1047,830,832,1233,882,875,842,713,764,611,995,552,786,478,436,579,436,370,349
"G02003000","2018","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",291538,148668,10762,9809,10157,5968,3969,2695,2058,7003,13709,11503,10525,8550,9187,9885,8972,4587,3626,3160,3917,3868,1893,1559,1306,142870,10182,10642,8650,5168,3558,1303,1732,6053,12112,11285,10579,9325,8456,9118,9931,3622,4048,2862,3465,4520,1999,2510,1750,"Anchorage municipality, Alaska",0,751,372,1394,1416,626,721,1028,878,1265,811,704,1377,1373,689,1051,1442,1117,1021,780,883,729,656,434,761,751,372,1359,1295,428,883,627,847,895,667,557,1246,1352,977,815,1184,887,992,615,750,859,574,833,684
"G04004720","2018","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",85828,42328,3254,3508,3651,1651,1536,365,708,2140,3028,3166,4331,2129,2113,2938,2216,576,1310,544,1033,1252,455,321,103,43500,3584,3018,2800,2818,990,810,480,1448,3762,2944,4161,3353,2859,2493,2010,1283,733,591,854,924,932,228,425,"Avondale city, Arizona",47,2233,994,858,916,551,660,284,379,889,797,941,935,809,820,746,634,418,550,341,548,504,308,291,117,2231,1282,790,969,982,535,471,350,535,1082,760,1139,953,1019,788,648,648,359,369,371,390,400,202,318
