GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKRSE001,AKRSE002,AKRSE003,AKRSE004,AKRSE005,AKRSE006,AKRSE007,AKRSE008,AKRSE009,AKRSE010,AKRSE011,AKRSE012,AKRSE013,AKRSE014,AKRSE015,AKRSE016,AKRSE017,AKRSE018,AKRSE019,AKRSE020,AKRSE021,AKRSE022,AKRSE023,AKRSE024,AKRSE025,AKRSE026,AKRSE027,AKRSE028,AKRSE029,AKRSE030,AKRSE031,AKRSE032,AKRSE033,AKRSE034,AKRSE035,AKRSE036,AKRSE037,AKRSE038,AKRSE039,AKRSE040,AKRSE041,AKRSE042,AKRSE043,AKRSE044,AKRSE045,AKRSE046,AKRSE047,AKRSE048,AKRSE049,NAME_M,AKRSM001,AKRSM002,AKRSM003,AKRSM004,AKRSM005,AKRSM006,AKRSM007,AKRSM008,AKRSM009,AKRSM010,AKRSM011,AKRSM012,AKRSM013,AKRSM014,AKRSM015,AKRSM016,AKRSM017,AKRSM018,AKRSM019,AKRSM020,AKRSM021,AKRSM022,AKRSM023,AKRSM024,AKRSM025,AKRSM026,AKRSM027,AKRSM028,AKRSM029,AKRSM030,AKRSM031,AKRSM032,AKRSM033,AKRSM034,AKRSM035,AKRSM036,AKRSM037,AKRSM038,AKRSM039,AKRSM040,AKRSM041,AKRSM042,AKRSM043,AKRSM044,AKRSM045,AKRSM046,AKRSM047,AKRSM048,AKRSM049
"G01003076","2019","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",66254,33634,2871,2016,1206,1375,2464,2415,2581,1831,2716,2284,2651,1465,2023,1249,785,386,567,528,292,634,646,410,239,32620,844,2234,1555,750,3820,2715,1394,2739,2545,1432,2212,2723,1574,1306,1360,481,421,153,353,777,397,305,530,"Auburn city, Alabama",30,2005,2027,975,526,905,1183,855,1158,814,1234,1048,1263,945,704,663,430,298,411,397,287,416,381,295,242,2010,584,951,784,501,742,896,729,1015,859,745,939,1221,804,625,641,381,274,202,271,416,276,222,343
"G01007000","2019","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",210080,98939,7746,5607,5906,3454,2223,1863,1346,4297,10890,9117,6540,4385,5210,4516,5768,3077,4304,2424,2809,3015,2241,1525,676,111141,5533,5183,4660,1922,3824,1616,1365,4258,11908,8014,6074,7989,6048,7138,6900,3741,5137,3224,2538,5967,2956,1972,3174,"Birmingham city, Alabama",1405,3045,1475,1384,1665,1039,830,725,716,1402,1518,1599,1315,1049,1121,960,1182,895,1015,701,728,762,636,616,340,3058,1311,1359,1416,706,1315,900,724,1257,1678,1135,1568,1550,1332,1027,1283,1071,1254,1014,744,1253,730,652,803
"G01021184","2019","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",68522,33029,2459,1965,2518,1305,501,467,344,1141,2507,1908,2066,2186,1692,2263,2270,767,1140,656,1084,1738,843,633,576,35493,1698,1826,1831,1323,692,292,599,1003,2600,1828,2509,2323,2020,2362,2725,948,1280,1233,891,2377,986,1014,1133,"Dothan city, Alabama",688,980,362,357,362,264,260,231,191,430,403,321,514,364,344,303,386,223,304,220,362,327,205,213,179,906,322,380,352,237,165,144,225,299,299,288,448,362,304,382,494,233,362,335,208,250,240,258,313
"G01035896","2019","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",85772,40719,2882,2548,2348,1498,462,389,391,1489,3270,3372,4039,2789,2293,2882,2249,769,598,1326,1511,1343,668,1172,431,45053,3706,3527,2943,1792,430,281,164,2460,2968,2545,3607,2196,3141,3266,2885,825,667,1289,1502,1991,1299,782,787,"Hoover city, Alabama",38,1528,1080,860,838,497,405,415,460,1032,1120,971,1060,1010,616,965,790,388,301,434,485,440,358,481,349,1536,1055,1036,820,737,295,227,202,1401,1089,764,1076,738,1010,864,783,355,328,688,535,684,549,393,369
"G01037000","2019","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",201594,96741,6099,5812,5837,2578,3112,1994,1663,5063,8158,7993,8274,3420,4494,5878,5281,1864,4637,2475,2498,3584,2085,1646,2296,104853,5715,5048,6409,2595,3592,1560,2344,4899,8932,8021,5987,4257,5366,7073,6567,2503,4640,2226,2678,5436,3593,2540,2872,"Huntsville city, Alabama",1872,1903,1354,1326,1500,708,546,827,714,974,1295,963,1412,954,927,943,1037,747,1242,630,712,830,615,448,639,2340,1081,1266,1230,669,1098,673,1100,1242,988,1442,1214,1234,974,1036,1324,668,1196,864,880,1255,728,722,709
"G01050000","2019","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",188710,87907,5540,5240,6986,3310,3201,861,1164,4077,6944,5583,5518,5032,4154,5441,4918,2325,3828,2734,2286,3622,2395,1178,1570,100803,4326,6051,5512,3986,2848,1834,1888,4323,7393,6897,5339,6599,6016,5874,6882,3106,4184,2190,2853,4504,3040,2404,2754,"Mobile city, Alabama",45,2196,1300,1410,1476,576,732,641,814,1128,1354,966,1158,1210,943,815,984,782,785,840,598,698,625,504,566,2201,1037,1369,1311,694,534,833,750,901,1115,1286,1240,1183,948,939,994,789,934,631,961,869,703,657,688
"G01051000","2019","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",198525,93708,6660,6154,8641,3561,2965,1371,1395,3912,7449,7569,5362,6022,5130,5007,4495,2258,3237,2064,2389,3473,2958,1021,615,104817,6443,7307,5739,3836,3059,1142,871,4621,7640,7039,6381,7956,6608,5365,6941,2692,3549,2852,3252,3433,3742,2261,2088,"Montgomery city, Alabama",23,1047,899,1309,1461,614,531,593,665,745,634,502,1125,1089,502,455,1025,694,852,572,600,629,498,412,320,1048,361,1153,1087,519,562,698,754,1219,519,716,1232,1234,781,565,986,747,812,749,830,768,619,590,577
"G01077256","2019","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",101133,49893,2422,2253,3661,1329,4945,1194,2286,2867,5942,1865,3552,1936,3522,1725,2124,1047,1728,779,868,1832,1099,597,320,51240,926,2854,1693,929,6465,2850,1552,1939,3386,3054,2397,2548,3510,2740,3192,1118,1836,898,1510,1812,2117,955,959,"Tuscaloosa city, Alabama",28,2338,768,823,1489,633,1343,867,1568,1306,1050,763,961,775,789,726,726,491,637,419,395,643,364,307,247,2337,995,933,725,710,1341,1385,921,764,906,810,949,981,898,862,912,533,564,574,726,560,863,540,422
"G02003000","2019","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",288000,144557,8778,11758,8241,5739,4619,1384,2721,6973,12139,12698,10030,9004,7928,9550,9682,3574,4812,2363,3261,4718,1827,1737,1021,143443,10950,9144,10332,4255,3612,1465,1190,6378,12634,12260,10373,8421,7803,8603,8827,3313,5994,2445,2939,5831,3850,1838,986,"Anchorage municipality, Alaska",0,1509,985,1143,1327,628,925,742,888,927,746,1736,1552,1351,777,1213,1366,911,971,653,981,1031,462,448,456,1509,988,1512,1547,753,862,645,552,1286,1410,666,1508,1423,619,995,1499,969,1159,910,881,1122,776,700,360
"G04004720","2019","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",87917,42552,3996,2326,3801,2465,1414,914,507,2198,4868,4283,2595,1482,2132,3167,1889,479,1391,593,578,455,496,206,317,45365,3105,4122,3861,2226,1750,828,420,1692,4195,3682,2948,2907,1836,2881,2536,894,986,397,980,1542,591,452,534,"Avondale city, Arizona",55,1942,1253,920,1212,1061,657,530,275,1320,1263,1166,938,643,777,993,666,266,740,398,279,276,435,141,313,1938,967,1026,821,743,791,564,376,766,1164,903,822,1105,487,881,847,514,551,239,420,605,578,314,477
