GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANK8E001,ANK8E002,ANK8E003,ANK8E004,ANK8E005,ANK8E006,ANK8E007,ANK8E008,ANK8E009,ANK8E010,ANK8E011,ANK8E012,ANK8E013,ANK8E014,ANK8E015,ANK8E016,ANK8E017,ANK8E018,ANK8E019,ANK8E020,ANK8E021,ANK8E022,ANK8E023,ANK8E024,ANK8E025,ANK8E026,ANK8E027,ANK8E028,ANK8E029,ANK8E030,ANK8E031,ANK8E032,ANK8E033,ANK8E034,ANK8E035,ANK8E036,ANK8E037,ANK8E038,ANK8E039,ANK8E040,ANK8E041,ANK8E042,ANK8E043,ANK8E044,ANK8E045,ANK8E046,ANK8E047,ANK8E048,ANK8E049,NAME_M,ANK8M001,ANK8M002,ANK8M003,ANK8M004,ANK8M005,ANK8M006,ANK8M007,ANK8M008,ANK8M009,ANK8M010,ANK8M011,ANK8M012,ANK8M013,ANK8M014,ANK8M015,ANK8M016,ANK8M017,ANK8M018,ANK8M019,ANK8M020,ANK8M021,ANK8M022,ANK8M023,ANK8M024,ANK8M025,ANK8M026,ANK8M027,ANK8M028,ANK8M029,ANK8M030,ANK8M031,ANK8M032,ANK8M033,ANK8M034,ANK8M035,ANK8M036,ANK8M037,ANK8M038,ANK8M039,ANK8M040,ANK8M041,ANK8M042,ANK8M043,ANK8M044,ANK8M045,ANK8M046,ANK8M047,ANK8M048,ANK8M049
"G01003076","2021","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",78552,37961,2987,2083,2663,1107,2486,2009,1472,3011,3192,2320,1890,2025,2051,1469,1212,967,999,264,360,1329,1432,381,252,40591,1514,1701,2600,1628,3263,1323,1390,4416,3140,2831,3623,1845,1762,1639,1818,184,957,403,1820,1160,1079,213,282,"Auburn city, Alabama",41,1804,1074,983,1037,595,852,969,1001,982,935,968,866,807,1262,602,586,589,569,235,329,579,682,284,260,1802,691,872,1491,704,1060,710,952,902,1026,1318,1445,1057,705,562,857,224,585,298,745,584,491,250,332
"G01007000","2021","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",196410,94696,5315,7403,5517,3812,2531,1978,2807,4308,7906,7442,4883,6838,4576,5085,5580,2226,3046,2758,3292,3963,2220,620,590,101714,4288,3502,5023,4171,2561,2272,1301,5440,6513,9909,5584,7772,5645,5179,4756,2661,5086,2631,4789,4708,2557,2541,2825,"Birmingham city, Alabama",428,3580,1766,1917,1506,982,986,840,1002,1087,1394,1405,1203,1480,1021,1184,1175,757,848,852,749,1019,754,397,338,3530,1423,954,1348,940,919,968,654,1341,1393,1688,1289,1462,1213,1005,1136,811,1069,946,1142,957,735,823,756
"G01021184","2021","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",71283,33706,2359,1948,2737,1545,603,568,470,1190,1900,1995,2105,2158,1674,2130,2178,1098,1068,420,1128,2152,964,790,526,37577,1975,2186,2118,1128,776,904,258,982,2544,2507,2436,2393,2375,2451,2138,1287,1520,998,1187,2174,1299,830,1111,"Dothan city, Alabama",967,826,383,432,478,292,267,256,222,286,368,348,525,500,342,360,564,356,290,156,335,368,199,194,172,696,241,411,345,244,182,294,142,285,322,348,439,358,370,373,467,304,449,305,261,399,331,267,479
"G01035896","2021","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",92588,46671,3081,4226,2423,2188,617,362,380,1031,3408,3955,3246,3759,2891,3014,2093,832,1861,989,1028,1912,993,1342,1040,45917,2793,2571,2804,1911,608,730,206,961,3110,2918,3816,3631,3661,2032,3361,1341,1948,441,1127,1921,1543,1575,908,"Hoover city, Alabama",36,2412,1370,1452,899,689,400,285,309,636,1232,1403,1279,1094,1033,1055,801,402,604,436,472,783,408,650,594,2407,1092,825,917,816,465,548,340,495,1091,1029,933,1069,927,672,1226,542,660,240,420,668,551,698,351
"G01037000","2021","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",215482,106904,6873,6130,5303,2450,2772,1646,2043,5247,9065,8121,8670,7542,4981,6087,7481,3802,2900,2873,2531,4365,2930,966,2126,108578,5755,5941,6065,3247,2960,2013,1715,5262,9278,7034,5925,8188,5243,5317,7855,2142,4150,2879,2613,5550,4245,2403,2798,"Huntsville city, Alabama",1705,2823,1511,1409,1409,700,1083,732,856,1160,1689,1142,1829,1807,1096,1104,1866,1013,808,958,868,1109,977,404,816,2644,1083,1249,1508,927,838,1203,763,1140,1546,1407,1447,2100,1243,1083,1291,608,1107,1018,927,1533,1165,695,862
"G01050000","2021","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",184960,88077,6484,6747,5238,3062,1865,1560,989,4892,6555,5768,5189,4916,4891,4670,6003,2208,2642,2868,2737,3400,2486,1509,1398,96883,5969,4796,5957,3381,1570,1441,1878,3319,7972,7646,5607,5011,5951,5409,6268,2569,4300,2059,3582,4685,2132,2651,2730,"Mobile city, Alabama",43,2256,944,1237,1106,815,599,701,559,985,1008,1104,1192,1173,822,842,1160,691,647,668,717,735,671,466,516,2256,1344,1158,1154,857,510,805,697,704,1305,1024,1260,959,951,969,1134,873,1023,580,765,857,532,671,800
"G01051000","2021","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",198659,92976,7027,5995,7288,3720,3154,1256,1086,4425,7185,6524,6019,5650,5135,4586,5506,2636,2510,2333,2916,3147,2510,981,1387,105683,6652,5243,8404,4131,2715,1737,1608,3770,7317,7229,6922,7221,6158,5875,7658,2127,2695,3638,3922,3223,3175,2111,2152,"Montgomery city, Alabama",36,1048,491,1191,1200,390,740,733,659,991,681,653,1086,1197,400,523,953,742,843,676,738,721,558,433,451,1052,599,1369,1371,424,439,915,957,1206,917,467,1461,1497,561,591,925,748,634,796,899,633,699,606,588
"G01077256","2021","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",100606,47802,2473,1793,2327,1570,3702,2732,2609,3597,3621,4134,2302,2687,2158,1975,2197,1448,1343,825,1642,910,906,464,387,52804,3739,2336,2968,1433,4352,1934,1609,4470,4346,4198,1895,2679,2586,2541,2474,1160,1267,1387,1313,1451,1192,653,821,"Tuscaloosa city, Alabama",45,2028,833,764,1041,603,969,966,1089,1060,1168,938,859,918,795,667,766,658,539,416,593,433,410,370,407,2024,640,941,946,656,2343,1351,714,1448,1103,952,778,925,867,816,674,605,527,655,541,609,392,365,399
"G02003000","2021","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",288121,147647,9810,10334,9664,5738,5600,2073,2257,6288,11533,12800,12055,9106,7861,8496,7989,4657,3540,3440,3902,4970,2850,1533,1151,140474,8548,10911,8963,4810,2756,2137,1358,4875,11751,10967,10672,11089,7719,8687,7856,2948,5662,4041,3477,4440,3649,1889,1269,"Anchorage municipality, Alaska",,1345,1086,1811,1667,655,1468,547,922,891,936,987,1432,1280,791,721,1141,1192,948,1027,866,877,839,693,450,1345,903,1640,1528,685,536,708,521,751,778,806,1716,1519,625,607,1264,845,1203,830,876,847,735,528,563
"G04004720","2021","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",90562,42419,3175,4136,3755,2265,1526,568,732,2288,3673,2418,3093,2520,3140,1679,2038,800,998,813,962,781,677,248,134,48143,4156,4451,4066,2355,1561,572,572,2628,2498,4141,3196,3548,3991,2135,2189,765,1870,519,443,1292,565,449,181,"Avondale city, Arizona",41,2430,1026,1346,1126,858,782,383,515,1121,962,963,920,967,862,697,817,493,494,414,521,407,370,235,129,2431,1350,1580,1402,1145,957,430,503,1261,977,1051,996,1089,1159,895,817,390,843,301,298,475,353,306,178
