GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APJME001,APJME002,APJME003,APJME004,APJME005,APJME006,APJME007,APJME008,APJME009,APJME010,APJME011,APJME012,APJME013,APJME014,APJME015,APJME016,APJME017,APJME018,APJME019,APJME020,APJME021,APJME022,APJME023,APJME024,APJME025,APJME026,APJME027,APJME028,APJME029,APJME030,APJME031,APJME032,APJME033,APJME034,APJME035,APJME036,APJME037,APJME038,APJME039,APJME040,APJME041,APJME042,APJME043,APJME044,APJME045,APJME046,APJME047,APJME048,APJME049,NAME_M,APJMM001,APJMM002,APJMM003,APJMM004,APJMM005,APJMM006,APJMM007,APJMM008,APJMM009,APJMM010,APJMM011,APJMM012,APJMM013,APJMM014,APJMM015,APJMM016,APJMM017,APJMM018,APJMM019,APJMM020,APJMM021,APJMM022,APJMM023,APJMM024,APJMM025,APJMM026,APJMM027,APJMM028,APJMM029,APJMM030,APJMM031,APJMM032,APJMM033,APJMM034,APJMM035,APJMM036,APJMM037,APJMM038,APJMM039,APJMM040,APJMM041,APJMM042,APJMM043,APJMM044,APJMM045,APJMM046,APJMM047,APJMM048,APJMM049
"G01003076","2022","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",80009,39138,1661,1703,2265,1316,3769,4169,3333,2288,2967,1742,2090,2735,1343,2214,1003,865,706,521,387,1059,533,338,131,40871,1996,2106,2083,1655,4002,1981,1761,4312,2993,2249,2519,1541,2735,1972,1949,826,620,361,401,1080,1079,301,349,"Auburn city, Alabama",20,1579,704,789,837,460,1089,1544,1465,1046,892,709,633,932,483,784,539,424,465,357,215,469,349,269,183,1582,915,788,780,770,659,778,762,1411,961,780,718,503,613,674,779,442,368,327,309,652,430,219,265
"G01007000","2022","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",196353,91868,6486,5352,5151,2484,2650,1336,1996,3491,9457,8207,4804,6072,5569,4696,5010,2284,4496,2211,2639,3566,2323,644,944,104485,5009,6279,4253,3071,4364,2114,2399,5744,10026,7766,4811,6344,5429,5444,6691,2231,4023,2847,4220,4355,2836,1645,2584,"Birmingham city, Alabama",868,2302,1312,1331,1545,903,718,795,1262,1304,1885,1371,1312,1576,1318,1085,1186,759,1186,760,845,931,742,338,404,2421,1373,1378,1375,891,855,1115,1133,1492,1470,1270,1269,1344,1338,961,1251,734,941,936,1193,921,650,715,679
"G01021184","2022","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",70524,33526,2108,2823,2144,1287,824,344,359,1401,2589,2489,2021,1963,1375,2129,2170,713,1227,798,1354,1348,989,721,350,36998,2441,2236,2002,1185,675,742,149,1279,2308,2639,2265,2050,1682,2780,2137,1196,1328,586,1886,2187,1354,930,961,"Dothan city, Alabama",678,969,391,504,471,349,290,228,204,455,268,459,485,356,365,323,337,242,321,280,362,341,259,213,121,913,334,435,392,367,213,324,100,346,349,303,453,494,297,312,380,371,302,219,540,362,320,236,278
"G01035896","2022","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",92427,44454,3420,3266,3934,1751,731,1791,194,1611,1670,2284,2856,2420,3370,2294,2392,1471,1807,1013,1404,1521,1022,1074,1158,47973,2358,2539,3443,1971,438,478,544,1547,1480,3294,4017,3219,3610,2924,1674,1780,2206,1377,1626,2197,1894,1241,2116,"Hoover city, Alabama",45,2273,1088,988,1595,609,622,1283,263,877,740,999,836,859,944,948,824,576,630,612,545,609,420,509,736,2274,1004,926,1292,787,382,555,437,790,771,925,1275,1188,1145,943,574,823,798,639,775,725,701,567,969
"G01037000","2022","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",222363,110883,5840,7728,5611,3905,2861,2493,1460,5955,8752,8192,8264,7446,6044,7478,5896,2887,4345,2681,3284,3361,3447,2079,874,111480,6340,6155,4883,4086,4995,1983,1031,5733,8195,9274,6107,7002,7053,5178,5746,4191,3496,1580,4071,4610,4260,3058,2453,"Huntsville city, Alabama",2301,2770,1043,1309,1093,978,874,1136,651,1344,1242,1267,1475,1449,1130,966,992,724,1165,768,891,769,727,609,455,2681,1228,1231,1280,912,1189,1212,652,1483,1311,907,1499,1336,1083,894,1030,1008,907,568,838,1001,881,787,563
"G01050000","2022","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",183282,84992,5021,4797,5583,3491,1805,2109,1311,3896,7183,5523,5460,4409,5655,4479,6225,1539,3435,2295,1916,3871,2534,1168,1287,98290,5603,6845,4824,3439,1762,1540,1176,3838,7944,7740,6084,5447,5503,5067,5274,3035,4577,3319,2916,3913,4008,1957,2479,"Mobile city, Alabama",41,2167,1335,1279,1335,914,696,772,640,889,1100,1051,1201,897,976,983,1022,604,717,736,535,850,692,513,556,2171,1296,1556,1204,1184,563,772,612,1120,1069,1177,1414,1506,1170,792,1083,982,1028,757,719,860,803,589,766
"G01051000","2022","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",196986,92024,6311,6605,6261,4561,2865,1451,1419,4179,6710,7806,6194,4141,4332,5314,6338,2306,2286,2100,1980,4001,2678,1336,850,104962,6016,5939,5881,3652,3238,1068,1021,4869,7532,8697,4570,7500,5883,6421,5582,2789,4884,2636,4417,4319,3595,2081,2372,"Montgomery city, Alabama",20,1236,753,1357,1435,644,420,748,767,881,824,726,1398,1284,544,343,981,569,694,625,631,936,830,622,522,1236,478,1504,1496,443,1193,697,796,1551,308,801,953,1124,414,569,1051,867,1077,965,1031,1001,669,637,831
"G01077256","2022","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",110598,51649,2408,2182,2715,1490,5352,1465,3008,4007,4225,3464,2767,3354,1653,2372,2827,1366,1559,1120,1000,1599,990,451,275,58949,2629,2442,2247,2137,8410,3967,2446,3271,3114,2836,3647,2739,1640,2547,1868,1145,2135,1951,1897,2122,2179,680,900,"Tuscaloosa city, Alabama",27,2260,620,748,975,672,1758,1116,1414,1664,872,883,925,1114,642,622,891,649,721,591,499,660,348,354,245,2260,630,922,887,810,3102,1822,1125,1268,899,956,1120,1041,606,746,663,583,891,801,645,776,781,369,405
"G02003000","2022","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",287145,145797,8682,10219,9523,4588,3499,2166,1720,7872,12708,12223,12590,9430,8401,8305,9434,3984,3449,3112,3829,4688,3328,1134,913,141348,9633,9698,9344,5822,2855,2469,1065,5317,10272,12351,11006,10233,7833,8097,8126,2572,5059,2633,4903,5193,3051,2480,1336,"Anchorage municipality, Alaska",,1151,523,1537,1385,749,754,906,659,1134,751,687,1852,1494,883,928,1214,1063,800,874,999,911,442,495,395,1151,552,1553,1489,853,697,822,572,931,1049,770,1525,1383,832,655,1080,759,1243,703,1074,1005,761,772,635
"G04004720","2022","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",91618,44890,2291,2764,2883,2763,1237,767,33,2266,3393,3573,4752,3955,2910,2870,2541,1084,1719,506,819,601,551,59,553,46728,3980,3542,2611,2460,971,1313,559,1540,3300,4352,3622,2752,2459,4555,1862,1115,1617,620,1171,1013,578,142,594,"Avondale city, Arizona",37,3186,917,1033,1372,969,758,666,56,1225,1384,1154,1670,1372,1186,1188,987,807,709,325,618,471,260,70,408,3181,1290,1287,1233,1056,618,848,553,867,1186,1450,1136,1072,1095,1372,906,584,798,397,651,447,375,138,517
