GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MGZE001,MGZE002,MGZE003,MGZE004,MGZE005,MGZE006,MGZE007,MGZE008,MGZE009,MGZE010,MGZE011,MGZE012,MGZE013,MGZE014,MGZE015,MGZE016,MGZE017,MGZE018,MGZE019,MGZE020,MGZE021,MGZE022,MGZE023,MGZE024,MGZE025,NAME_M,MGZM001,MGZM002,MGZM003,MGZM004,MGZM005,MGZM006,MGZM007,MGZM008,MGZM009,MGZM010,MGZM011,MGZM012,MGZM013,MGZM014,MGZM015,MGZM016,MGZM017,MGZM018,MGZM019,MGZM020,MGZM021,MGZM022,MGZM023,MGZM024,MGZM025
"G01007000","2011","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",42868,590,171,171,980,383,939,713,2725,4073,4345,3877,4176,1997,4290,3312,2040,1816,2533,1221,860,554,684,165,253,"Birmingham city, Alabama",2365,375,150,163,521,232,458,322,807,920,796,908,1022,743,902,843,513,631,875,497,354,475,314,157,164
"G01021184","2011","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",15375,276,173,211,69,86,148,122,326,543,536,680,853,713,1715,1855,1602,1030,1259,1403,861,434,291,55,134,"Dothan city, Alabama",740,175,90,110,40,79,89,72,116,149,153,167,209,173,237,314,252,230,232,496,209,187,145,41,58
"G01035896","2011","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2011","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",44925,391,86,131,106,225,242,74,972,537,2125,2501,2645,2955,4794,3388,5262,2629,4177,3057,4017,2380,1592,354,285,"Huntsville city, Alabama",2419,320,100,141,108,200,153,90,358,240,889,712,769,674,1161,807,1148,595,1099,754,895,837,503,225,218
"G01050000","2011","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",46309,209,345,266,284,246,487,438,1397,1377,2380,3331,3187,3506,5243,5141,4506,2331,2795,3161,2479,1068,990,750,392,"Mobile city, Alabama",2479,156,201,168,204,168,229,312,468,439,583,650,758,804,978,950,717,525,653,730,741,469,333,430,290
"G01051000","2011","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",48110,922,280,149,199,267,567,496,1732,2015,2318,3766,2893,3571,7240,4045,3455,3984,4205,2243,1460,827,1203,194,79,"Montgomery city, Alabama",2943,488,242,175,143,195,388,274,682,675,760,889,848,863,1438,1104,897,1092,895,706,640,431,655,234,128
"G01077256","2011","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",15029,33,117,165,81,26,0,0,148,628,378,518,469,927,1939,1573,1282,1309,1968,612,1188,642,733,140,153,"Tuscaloosa city, Alabama",1594,60,150,166,130,42,190,190,134,516,284,315,285,446,550,604,466,437,782,323,464,305,316,135,153
"G02003000","2011","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",63309,272,298,501,88,649,491,0,474,61,55,228,109,635,1418,1539,3101,4244,9961,10875,15290,6855,4925,915,325,"Anchorage municipality, Alaska",2667,176,298,315,113,489,320,149,606,106,96,293,110,380,596,686,844,1249,1432,1525,1882,1314,983,570,226
"G04004720","2011","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2011","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
