        MU0E001:     Total
        MU0E002:     Less than $10,000
        MU0E003:     $10,000 to $14,999
        MU0E004:     $15,000 to $19,999
        MU0E005:     $20,000 to $24,999
        MU0E006:     $25,000 to $29,999
        MU0E007:     $30,000 to $34,999
        MU0E008:     $35,000 to $39,999
        MU0E009:     $40,000 to $49,999
        MU0E010:     $50,000 to $59,999
        MU0E011:     $60,000 to $69,999
        MU0E012:     $70,000 to $79,999
        MU0E013:     $80,000 to $89,999
        MU0E014:     $90,000 to $99,999
        MU0E015:     $100,000 to $124,999
        MU0E016:     $125,000 to $149,999
        MU0E017:     $150,000 to $174,999
        MU0E018:     $175,000 to $199,999
        MU0E019:     $200,000 to $249,999
        MU0E020:     $250,000 to $299,999
        MU0E021:     $300,000 to $399,999
        MU0E022:     $400,000 to $499,999
        MU0E023:     $500,000 to $749,999
        MU0E024:     $750,000 to $999,999
        MU0E025:     $1,000,000 or more
