GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G01007000","2012","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",42303,496,360,499,479,728,1176,637,2190,3522,3984,4008,4006,3008,4571,2877,2620,1767,1852,1047,806,625,628,200,217,"Birmingham city, Alabama",2740,270,225,222,281,313,490,338,607,823,901,893,875,913,1063,736,632,579,591,452,453,370,274,152,182
"G01021184","2012","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",15036,237,182,299,123,122,112,160,256,460,536,709,798,627,1687,1758,1537,991,1446,1170,966,349,282,120,109,"Dothan city, Alabama",751,113,156,132,68,77,71,73,95,151,166,196,185,158,367,254,260,192,230,369,238,148,93,66,120
"G01035896","2012","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2012","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",45355,114,318,722,179,62,299,194,1312,1323,2033,2359,2237,2387,3905,3738,4538,4229,4932,3141,3866,932,1445,374,716,"Huntsville city, Alabama",1998,122,194,671,137,103,289,153,538,500,477,636,585,669,804,707,834,783,971,847,763,387,544,205,313
"G01050000","2012","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",41767,320,397,497,241,722,474,694,1002,1622,2370,1963,4744,2485,4655,3445,4160,2172,2595,2738,2098,1006,784,285,298,"Mobile city, Alabama",1999,155,169,304,263,493,224,361,420,506,554,472,1143,656,1030,647,835,746,678,711,535,338,304,166,202
"G01051000","2012","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",46379,866,544,257,789,620,749,719,1032,947,3209,2710,3881,3231,5674,5440,3680,2595,3239,1504,2849,831,659,182,172,"Montgomery city, Alabama",2210,363,275,162,431,289,325,311,397,335,705,718,827,963,1191,1035,916,694,733,476,897,387,410,153,145
"G01077256","2012","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",15569,39,193,353,0,0,38,60,136,234,423,167,955,623,1762,1579,2494,773,1453,1299,1620,580,358,342,88,"Tuscaloosa city, Alabama",1518,67,177,497,184,184,64,73,138,206,308,140,515,367,576,649,654,318,575,490,476,302,216,209,103
"G02003000","2012","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",63354,161,686,592,498,343,367,409,235,312,237,105,95,367,1866,1309,2825,2735,10807,12147,15179,6074,4011,1281,713,"Anchorage municipality, Alaska",2779,152,575,312,344,260,275,508,203,213,263,126,112,294,769,571,830,676,1552,1733,1724,1196,923,652,428
"G04004720","2012","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",12719,60,93,102,56,371,348,23,265,330,311,878,1154,850,2153,2008,1786,690,682,277,251,0,0,0,31,"Avondale city, Arizona",1510,71,92,102,67,253,211,38,197,211,175,479,400,379,672,844,571,292,404,175,218,198,198,198,52
"G04010670","2012","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",18054,174,225,140,242,0,106,44,78,36,0,80,187,845,1749,2435,3969,1584,1883,2054,1202,470,293,88,170,"Casas Adobes CDP, Arizona",1327,170,176,135,183,198,130,73,93,56,198,93,157,451,513,684,918,565,506,519,418,240,172,104,173
