        QZ4E001:     Total
        QZ4E002:     Less than $10,000
        QZ4E003:     $10,000 to $14,999
        QZ4E004:     $15,000 to $19,999
        QZ4E005:     $20,000 to $24,999
        QZ4E006:     $25,000 to $29,999
        QZ4E007:     $30,000 to $34,999
        QZ4E008:     $35,000 to $39,999
        QZ4E009:     $40,000 to $49,999
        QZ4E010:     $50,000 to $59,999
        QZ4E011:     $60,000 to $69,999
        QZ4E012:     $70,000 to $79,999
        QZ4E013:     $80,000 to $89,999
        QZ4E014:     $90,000 to $99,999
        QZ4E015:     $100,000 to $124,999
        QZ4E016:     $125,000 to $149,999
        QZ4E017:     $150,000 to $174,999
        QZ4E018:     $175,000 to $199,999
        QZ4E019:     $200,000 to $249,999
        QZ4E020:     $250,000 to $299,999
        QZ4E021:     $300,000 to $399,999
        QZ4E022:     $400,000 to $499,999
        QZ4E023:     $500,000 to $749,999
        QZ4E024:     $750,000 to $999,999
        QZ4E025:     $1,000,000 or more
