GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S50E001,S50E002,S50E003,S50E004,S50E005,S50E006,S50E007,S50E008,S50E009,S50E010,S50E011,S50E012,S50E013,S50E014,S50E015,S50E016,S50E017,S50E018,S50E019,S50E020,S50E021,S50E022,S50E023,S50E024,S50E025,NAME_M,S50M001,S50M002,S50M003,S50M004,S50M005,S50M006,S50M007,S50M008,S50M009,S50M010,S50M011,S50M012,S50M013,S50M014,S50M015,S50M016,S50M017,S50M018,S50M019,S50M020,S50M021,S50M022,S50M023,S50M024,S50M025
"G01007000","2013","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",41041,1349,364,593,408,326,571,650,2619,3568,4747,4061,3360,2678,3746,2857,2567,1697,1770,869,977,543,534,74,113,"Birmingham city, Alabama",2536,508,263,326,218,214,262,386,688,867,1348,925,758,792,844,684,629,446,514,409,441,286,447,66,135
"G01021184","2013","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",15617,415,119,271,42,55,315,133,294,311,748,908,826,690,1822,2129,1470,1184,1426,880,774,387,305,42,71,"Dothan city, Alabama",848,137,58,123,35,43,297,81,100,110,182,245,212,177,310,429,218,235,262,171,207,200,173,30,43
"G01035896","2013","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",21797,262,118,143,0,43,38,0,132,127,0,95,158,69,484,733,1232,2174,4480,3755,4056,1409,1850,243,196,"Hoover city, Alabama",1856,234,194,171,192,71,62,192,220,149,192,154,116,112,302,591,438,1007,1136,890,951,526,605,205,163
"G01037000","2013","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",44875,862,525,276,0,224,154,85,609,1201,1716,2093,3313,1957,4722,3489,4222,2945,4484,4393,3423,1766,1357,512,547,"Huntsville city, Alabama",2157,460,497,198,192,254,156,70,282,534,622,888,853,758,866,813,853,633,966,1078,847,561,475,316,272
"G01050000","2013","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",41279,850,719,267,329,612,447,405,1643,1982,2148,1984,2691,2330,5476,5444,3658,1374,2642,1358,2502,873,875,401,269,"Mobile city, Alabama",2414,364,444,183,230,301,268,239,473,643,743,611,687,715,1199,969,675,433,613,513,585,441,351,267,200
"G01051000","2013","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",44222,779,648,218,807,597,277,457,1192,2174,2388,2680,2159,2435,8120,4248,4406,2453,2642,1393,1503,1084,850,207,505,"Montgomery city, Alabama",2264,334,403,199,424,378,213,307,449,699,732,743,639,824,1413,901,953,694,716,383,498,399,486,155,310
"G01077256","2013","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",15937,363,41,0,332,0,320,84,106,278,150,570,567,324,1979,1924,1678,1299,1578,1353,1428,498,825,129,111,"Tuscaloosa city, Alabama",1596,258,70,192,340,192,271,136,132,250,152,320,326,291,782,730,593,528,515,568,497,310,296,191,132
"G02003000","2013","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",61373,531,81,149,180,693,269,343,96,290,469,43,100,394,1050,1602,1736,2660,8737,12381,16839,6294,4485,1524,427,"Anchorage municipality, Alaska",2310,348,124,164,177,370,231,445,114,325,499,72,124,284,493,550,801,769,1537,1750,1912,1221,800,521,296
"G04004720","2013","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",13342,390,209,119,29,73,0,66,310,358,223,427,623,446,2030,2299,1842,1501,1623,625,71,32,0,0,46,"Avondale city, Arizona",1187,210,160,115,49,89,203,109,258,252,172,258,299,294,609,554,585,550,525,310,70,53,203,203,77
"G04010670","2013","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",16806,237,0,0,0,149,77,0,174,122,0,187,51,391,2016,2170,3509,1727,1863,1556,1451,354,704,26,42,"Casas Adobes CDP, Arizona",1462,165,203,203,203,244,126,203,128,105,203,184,86,193,684,564,842,481,520,624,433,235,411,43,67
"G04012000","2013","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",52932,1361,94,339,112,0,0,0,106,249,116,420,483,480,2552,3436,5500,5264,9016,6784,9912,3322,2942,198,246,"Chandler city, Arizona",2636,499,120,218,85,203,203,203,172,211,110,217,232,283,855,709,1199,1182,1272,1060,1372,709,710,118,231
"G04023620","2013","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
"G04027400","2013","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",53215,1234,137,134,114,47,0,0,0,0,39,173,124,276,1371,2833,4630,6706,11145,8035,9863,3632,2282,360,80,"Gilbert town, Arizona",2307,414,225,141,137,78,203,203,203,203,64,144,148,212,538,725,851,1165,1351,1181,1370,956,645,262,94
"G04027820","2013","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",42890,1677,757,341,305,0,83,327,1231,1660,1190,1508,1389,1640,6061,4665,4865,2858,3653,3896,2713,1440,307,224,100,"Glendale city, Arizona",2360,414,366,231,271,203,95,205,590,730,512,455,522,612,988,1073,1231,796,857,728,686,459,291,171,118
