        UMKE001:     Total
        UMKE002:     Less than $10,000
        UMKE003:     $10,000 to $14,999
        UMKE004:     $15,000 to $19,999
        UMKE005:     $20,000 to $24,999
        UMKE006:     $25,000 to $29,999
        UMKE007:     $30,000 to $34,999
        UMKE008:     $35,000 to $39,999
        UMKE009:     $40,000 to $49,999
        UMKE010:     $50,000 to $59,999
        UMKE011:     $60,000 to $69,999
        UMKE012:     $70,000 to $79,999
        UMKE013:     $80,000 to $89,999
        UMKE014:     $90,000 to $99,999
        UMKE015:     $100,000 to $124,999
        UMKE016:     $125,000 to $149,999
        UMKE017:     $150,000 to $174,999
        UMKE018:     $175,000 to $199,999
        UMKE019:     $200,000 to $249,999
        UMKE020:     $250,000 to $299,999
        UMKE021:     $300,000 to $399,999
        UMKE022:     $400,000 to $499,999
        UMKE023:     $500,000 to $749,999
        UMKE024:     $750,000 to $999,999
        UMKE025:     $1,000,000 or more
