GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3VE001,AA3VE002,AA3VE003,AA3VE004,AA3VE005,AA3VE006,AA3VE007,AA3VE008,AA3VE009,AA3VE010,AA3VE011,AA3VE012,AA3VE013,AA3VE014,AA3VE015,AA3VE016,AA3VE017,AA3VE018,AA3VE019,AA3VE020,AA3VE021,AA3VE022,AA3VE023,AA3VE024,AA3VE025,NAME_M,AA3VM001,AA3VM002,AA3VM003,AA3VM004,AA3VM005,AA3VM006,AA3VM007,AA3VM008,AA3VM009,AA3VM010,AA3VM011,AA3VM012,AA3VM013,AA3VM014,AA3VM015,AA3VM016,AA3VM017,AA3VM018,AA3VM019,AA3VM020,AA3VM021,AA3VM022,AA3VM023,AA3VM024,AA3VM025
"G01007000","2014","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",39496,712,454,221,740,855,761,1036,2764,3095,3392,4139,3582,1659,3276,2331,2328,1887,2561,1501,929,383,580,193,117,"Birmingham city, Alabama",2328,324,305,205,447,460,374,461,804,613,758,1109,904,563,776,594,653,680,751,666,405,271,274,205,113
"G01021184","2014","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",15149,538,160,179,83,75,79,140,370,475,449,625,939,938,1620,1586,1692,1171,1452,936,1183,187,112,108,52,"Dothan city, Alabama",764,160,92,92,71,48,44,96,114,144,147,220,183,223,307,278,327,266,279,207,284,74,70,52,40
"G01035896","2014","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2014","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",46188,1029,316,68,164,194,421,276,525,705,2008,2400,2339,2593,4606,3656,3709,3780,5194,3531,5275,1591,1030,364,414,"Huntsville city, Alabama",1887,437,211,80,165,173,323,177,318,258,684,812,700,807,916,885,743,781,1115,881,1094,657,433,223,331
"G01050000","2014","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",41330,656,371,182,243,286,609,418,1568,1871,3600,2448,2780,2005,5350,4089,3768,1576,3635,2128,1532,810,768,256,381,"Mobile city, Alabama",2186,228,271,155,155,230,318,310,472,573,986,611,642,574,1115,768,845,465,834,598,521,336,369,230,176
"G01051000","2014","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",43476,1374,157,218,351,203,815,892,2078,952,2336,2631,3156,2781,4201,6014,3188,2443,3962,1673,1814,1058,899,120,160,"Montgomery city, Alabama",2156,537,141,132,263,165,388,486,661,395,751,925,815,919,897,1229,815,879,932,516,635,349,476,140,117
"G01077256","2014","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",16575,380,262,139,114,0,77,74,803,25,84,621,165,524,1614,2929,1186,1339,2350,919,1110,497,923,192,248,"Tuscaloosa city, Alabama",1644,254,265,148,120,189,97,121,455,41,79,364,185,335,536,1025,404,556,758,554,431,258,436,167,274
"G02003000","2014","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",61152,1716,299,258,738,520,151,328,629,292,240,239,718,364,946,769,2009,3380,8509,10749,16012,6080,4715,1142,349,"Anchorage municipality, Alaska",2579,601,357,220,492,366,148,295,459,294,205,237,393,256,416,432,835,937,1384,1519,1559,1035,933,494,299
"G04004720","2014","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2014","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",17826,673,0,40,0,48,0,0,90,40,84,145,442,430,1668,2501,2272,2393,2437,1339,1872,919,361,72,0,"Casas Adobes CDP, Arizona",1337,388,200,66,200,79,200,200,150,66,97,142,402,296,420,802,639,701,661,602,573,544,231,120,200
