        ABIRE001:    Total
        ABIRE002:    Less than $10,000
        ABIRE003:    $10,000 to $14,999
        ABIRE004:    $15,000 to $19,999
        ABIRE005:    $20,000 to $24,999
        ABIRE006:    $25,000 to $29,999
        ABIRE007:    $30,000 to $34,999
        ABIRE008:    $35,000 to $39,999
        ABIRE009:    $40,000 to $49,999
        ABIRE010:    $50,000 to $59,999
        ABIRE011:    $60,000 to $69,999
        ABIRE012:    $70,000 to $79,999
        ABIRE013:    $80,000 to $89,999
        ABIRE014:    $90,000 to $99,999
        ABIRE015:    $100,000 to $124,999
        ABIRE016:    $125,000 to $149,999
        ABIRE017:    $150,000 to $174,999
        ABIRE018:    $175,000 to $199,999
        ABIRE019:    $200,000 to $249,999
        ABIRE020:    $250,000 to $299,999
        ABIRE021:    $300,000 to $399,999
        ABIRE022:    $400,000 to $499,999
        ABIRE023:    $500,000 to $749,999
        ABIRE024:    $750,000 to $999,999
        ABIRE025:    $1,000,000 or more
