GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADDPE001,ADDPE002,ADDPE003,ADDPE004,ADDPE005,ADDPE006,ADDPE007,ADDPE008,ADDPE009,ADDPE010,ADDPE011,ADDPE012,ADDPE013,ADDPE014,ADDPE015,ADDPE016,ADDPE017,ADDPE018,ADDPE019,ADDPE020,ADDPE021,ADDPE022,ADDPE023,ADDPE024,ADDPE025,ADDPE026,ADDPE027,NAME_M,ADDPM001,ADDPM002,ADDPM003,ADDPM004,ADDPM005,ADDPM006,ADDPM007,ADDPM008,ADDPM009,ADDPM010,ADDPM011,ADDPM012,ADDPM013,ADDPM014,ADDPM015,ADDPM016,ADDPM017,ADDPM018,ADDPM019,ADDPM020,ADDPM021,ADDPM022,ADDPM023,ADDPM024,ADDPM025,ADDPM026,ADDPM027
"G01007000","2015","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",41091,355,187,458,601,330,958,1384,2380,3519,3665,3518,2302,2947,3669,2496,2722,2419,2606,1082,1291,676,570,543,166,0,247,"Birmingham city, Alabama",2699,238,200,386,365,266,462,583,573,888,851,953,583,746,997,652,855,697,631,478,594,450,410,365,163,192,193
"G01021184","2015","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",14914,183,51,177,122,108,92,223,319,495,400,791,651,763,1666,2059,1428,1360,1135,1019,940,244,396,187,43,10,52,"Dothan city, Alabama",778,93,39,97,58,64,47,102,126,188,152,192,154,152,269,280,242,304,223,298,173,154,175,150,29,18,34
"G01035896","2015","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2015","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",48037,1049,126,113,177,25,455,126,848,1302,1631,2003,2832,2139,3009,3682,4493,3235,6725,4268,4929,1944,1749,502,675,0,0,"Huntsville city, Alabama",2113,674,118,87,195,42,264,159,404,512,597,531,823,660,736,852,1048,863,1261,1020,873,689,605,255,470,192,192
"G01050000","2015","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",42719,844,143,472,709,181,434,320,1527,1529,1872,4099,3391,2561,5928,4548,3024,2847,2247,1616,1891,826,775,764,127,0,44,"Mobile city, Alabama",2345,449,121,286,399,118,262,228,530,488,533,911,826,705,1063,969,744,914,586,521,510,459,329,390,123,192,72
"G01051000","2015","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",44023,1077,466,371,642,817,358,333,2294,1222,2514,3105,2867,1961,5980,5263,3383,2244,2832,1748,2587,1098,352,238,229,42,0,"Montgomery city, Alabama",2424,373,295,226,338,432,199,237,678,414,705,883,720,696,1252,1149,836,673,622,498,741,527,247,211,166,71,192
"G01077256","2015","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",15882,0,0,319,34,81,318,0,29,170,252,310,571,896,1176,1911,1636,1234,1703,1446,1693,793,701,328,181,0,100,"Tuscaloosa city, Alabama",1401,192,192,276,40,132,218,192,49,222,227,213,273,390,412,693,555,440,627,458,530,328,355,194,197,192,116
"G02003000","2015","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",64401,224,165,137,1068,924,474,250,155,271,360,109,269,124,2387,1575,2129,2373,8382,10435,15328,9702,4935,2016,127,275,207,"Anchorage municipality, Alaska",2446,176,197,163,743,547,464,273,180,331,311,142,205,150,892,759,711,885,1422,1598,1733,1328,807,723,150,187,199
"G04004720","2015","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2015","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04012000","2015","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",58810,642,216,37,0,116,99,0,42,153,67,161,194,265,1420,2180,4960,3998,10786,8632,14194,5841,3958,501,227,63,58,"Chandler city, Arizona",2571,530,157,59,201,152,84,201,68,198,110,194,216,208,706,692,1077,792,1156,1343,1677,1013,885,188,145,78,96
"G04023620","2015","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027400","2015","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",55759,226,73,71,0,26,93,0,0,0,79,193,49,317,628,990,1756,4367,12266,9705,15567,4316,3832,845,274,0,86,"Gilbert town, Arizona",3096,190,120,83,201,43,108,201,201,201,68,278,81,269,284,463,565,1142,1562,1350,1890,776,805,400,255,201,101
"G04027820","2015","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",43503,1046,507,264,251,0,43,43,593,398,748,1001,1521,1562,3530,4150,4965,4695,6620,4174,5015,1549,735,27,66,0,0,"Glendale city, Arizona",2434,451,298,232,237,201,72,71,237,177,461,539,545,616,947,892,975,974,1070,720,804,456,375,44,81,201,201
"G04028380","2015","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2015","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",102128,2679,2151,2047,1607,1250,699,625,1352,1376,1356,2614,2103,2019,6494,6600,10666,10330,15706,11567,10094,4340,2602,1044,456,181,170,"Mesa city, Arizona",3381,657,642,591,637,412,304,323,385,388,442,691,547,544,1051,965,1264,1239,1573,1470,1328,862,648,451,401,245,183
"G04054050","2015","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",40993,707,371,722,417,169,392,34,160,349,277,338,782,507,1238,2657,4280,4163,6369,6070,6710,2016,1689,406,87,43,40,"Peoria city, Arizona",2172,260,278,346,277,168,413,56,141,303,188,219,480,318,464,587,809,913,1153,1095,941,520,551,264,87,69,65
"G04055000","2015","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",268992,3581,1352,1496,1255,722,1882,1023,2008,5380,5440,5897,8027,5791,22959,19730,27584,19832,32169,25157,36041,16564,16491,4496,2528,916,671,"Phoenix city, Arizona",5657,972,432,553,509,330,724,481,522,915,862,1107,1243,1017,2045,1837,2435,1860,2678,2341,2741,1651,1510,890,618,387,296
"G04064210","2015","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2015","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",70199,403,124,125,43,76,87,137,112,265,311,503,465,435,1383,1126,1447,1583,4400,5323,13722,8741,15358,7609,4292,855,1274,"Scottsdale city, Arizona",3706,277,154,155,71,127,144,168,151,252,269,338,548,346,577,457,475,559,808,1180,1541,1438,1590,1390,902,652,678
"G04071510","2015","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",32500,238,275,42,53,109,0,72,284,0,37,254,121,494,1679,1838,4636,4108,7236,5334,3860,730,881,134,44,0,41,"Surprise city, Arizona",1937,171,206,70,88,130,201,84,239,201,60,364,120,337,620,680,1027,908,1248,966,744,342,305,157,73,201,66
"G04073000","2015","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",27238,195,118,45,257,211,126,63,59,59,85,116,301,346,1596,2300,2058,1806,4201,4962,4600,1295,1693,402,98,24,222,"Tempe city, Arizona",2072,143,140,73,214,166,148,104,98,96,138,140,256,260,758,943,581,607,944,981,897,337,616,228,117,39,189
"G04077000","2015","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",98020,3191,1413,682,1266,931,537,601,2096,2515,3279,3426,4373,4302,13392,12166,14568,7569,10064,4734,3260,1523,1145,589,46,0,352,"Tucson city, Arizona",3753,719,527,320,597,463,349,327,616,644,760,894,1153,971,1429,1365,2102,1275,1561,880,719,555,545,301,83,201,370
"G04085540","2015","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",20640,632,222,169,202,210,0,200,133,137,1034,470,1021,1754,4070,3178,2297,1139,1482,883,759,246,261,83,19,0,39,"Yuma city, Arizona",1903,443,157,133,184,189,201,139,131,120,402,351,648,641,1114,863,1006,457,651,397,340,235,191,76,31,201,63
"G05023290","2015","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05024550","2015","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",18112,130,195,0,143,26,114,107,481,1369,667,1611,1356,1096,2694,1900,1780,851,1248,1574,144,193,433,0,0,0,0,"Fort Smith city, Arkansas",1438,159,220,190,180,45,113,124,376,654,301,682,547,524,849,620,671,408,469,649,168,192,271,190,190,190,190
"G05035710","2015","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",15057,103,161,57,0,74,115,226,45,341,305,408,1021,1396,1987,2308,1859,847,957,1333,648,219,272,0,153,150,72,"Jonesboro city, Arkansas",1551,122,154,95,190,118,111,268,79,379,242,264,585,991,700,581,717,491,568,513,416,207,366,190,175,186,123
"G05041000","2015","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",44976,488,102,38,106,89,59,369,1503,2488,1588,1341,3058,2311,3382,3562,4175,3613,4469,2134,4242,1836,2125,939,475,409,75,"Little Rock city, Arkansas",2673,316,119,62,126,113,73,256,464,845,656,543,907,637,760,864,839,959,811,628,974,515,672,413,327,386,126
"G05050450","2015","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",11872,97,131,73,168,211,180,0,370,651,561,234,604,449,1857,1547,1628,1155,936,260,239,255,172,0,54,0,40,"North Little Rock city, Arkansas",1476,123,148,121,186,173,161,190,384,346,263,141,352,340,688,588,737,535,337,211,180,339,147,190,88,190,66
"G05066080","2015","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000562","2015","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
