        ADRUE001:    Total
        ADRUE002:    Less than $10,000
        ADRUE003:    $10,000 to $14,999
        ADRUE004:    $15,000 to $19,999
        ADRUE005:    $20,000 to $24,999
        ADRUE006:    $25,000 to $29,999
        ADRUE007:    $30,000 to $34,999
        ADRUE008:    $35,000 to $39,999
        ADRUE009:    $40,000 to $49,999
        ADRUE010:    $50,000 to $59,999
        ADRUE011:    $60,000 to $69,999
        ADRUE012:    $70,000 to $79,999
        ADRUE013:    $80,000 to $89,999
        ADRUE014:    $90,000 to $99,999
        ADRUE015:    $100,000 to $124,999
        ADRUE016:    $125,000 to $149,999
        ADRUE017:    $150,000 to $174,999
        ADRUE018:    $175,000 to $199,999
        ADRUE019:    $200,000 to $249,999
        ADRUE020:    $250,000 to $299,999
        ADRUE021:    $300,000 to $399,999
        ADRUE022:    $400,000 to $499,999
        ADRUE023:    $500,000 to $749,999
        ADRUE024:    $750,000 to $999,999
        ADRUE025:    $1,000,000 to $1,499,999
        ADRUE026:    $1,500,000 to $1,999,999
        ADRUE027:    $2,000,000 or more
