GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUZE001,AFUZE002,AFUZE003,AFUZE004,AFUZE005,AFUZE006,AFUZE007,AFUZE008,AFUZE009,AFUZE010,AFUZE011,AFUZE012,AFUZE013,AFUZE014,AFUZE015,AFUZE016,AFUZE017,AFUZE018,AFUZE019,AFUZE020,AFUZE021,AFUZE022,AFUZE023,AFUZE024,AFUZE025,AFUZE026,AFUZE027,NAME_M,AFUZM001,AFUZM002,AFUZM003,AFUZM004,AFUZM005,AFUZM006,AFUZM007,AFUZM008,AFUZM009,AFUZM010,AFUZM011,AFUZM012,AFUZM013,AFUZM014,AFUZM015,AFUZM016,AFUZM017,AFUZM018,AFUZM019,AFUZM020,AFUZM021,AFUZM022,AFUZM023,AFUZM024,AFUZM025,AFUZM026,AFUZM027
"G01007000","2016","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",41404,410,217,257,178,765,888,682,2658,2967,3675,5166,3338,1975,3413,2432,3304,1277,3033,1597,1324,553,656,461,106,46,26,"Birmingham city, Alabama",2443,309,171,242,135,486,454,419,864,770,966,1053,920,586,785,786,801,424,747,569,423,297,329,271,106,74,44
"G01021184","2016","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",15129,211,160,48,48,138,154,105,272,495,465,714,775,800,1975,1774,1428,1036,1606,1513,614,293,266,146,50,18,25,"Dothan city, Alabama",770,95,96,37,42,96,91,79,131,168,138,180,194,227,326,324,225,233,319,486,131,151,150,80,42,21,28
"G01035896","2016","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2016","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",45705,394,57,169,182,273,109,123,718,673,1683,2766,2412,1271,4070,3103,4020,2884,5976,4765,4934,2203,1783,485,382,128,142,"Huntsville city, Alabama",2620,331,66,231,177,241,117,97,374,280,605,1016,772,593,1098,725,947,692,1144,905,1195,723,788,220,239,92,121
"G01050000","2016","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",42503,610,224,245,42,489,568,941,1192,2309,1519,2731,2524,2736,5105,5927,4490,1631,2544,2283,1548,905,1010,407,408,69,46,"Mobile city, Alabama",2491,443,177,156,70,259,297,352,474,662,561,770,662,913,1052,1044,826,438,596,645,558,342,445,274,270,84,78
"G01051000","2016","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",45078,324,821,200,478,100,457,719,1161,2400,2903,2424,3474,3659,4957,4988,4231,1995,2430,2376,2501,1099,708,292,190,41,150,"Montgomery city, Alabama",2533,229,403,226,239,121,263,424,416,717,809,813,980,1138,961,1024,1126,568,700,844,620,578,304,231,188,70,130
"G01077256","2016","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",16456,151,0,48,125,0,32,45,162,84,514,847,760,417,1212,1545,2472,1370,1734,1074,1736,779,771,405,173,0,0,"Tuscaloosa city, Alabama",1531,199,195,82,135,195,61,79,143,112,301,469,454,268,555,613,791,671,609,377,606,401,357,208,132,195,195
"G02003000","2016","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",64320,433,0,695,613,506,42,343,609,353,41,282,202,0,751,2045,1978,2133,8912,8561,17624,8135,8108,1502,300,24,128,"Anchorage municipality, Alaska",2628,257,155,452,472,463,69,363,474,366,69,366,188,155,342,762,711,765,1419,1629,1870,1114,1503,541,235,39,186
"G04004720","2016","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2016","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
