        AF9JE001:    Total
        AF9JE002:    Less than $10,000
        AF9JE003:    $10,000 to $14,999
        AF9JE004:    $15,000 to $19,999
        AF9JE005:    $20,000 to $24,999
        AF9JE006:    $25,000 to $29,999
        AF9JE007:    $30,000 to $34,999
        AF9JE008:    $35,000 to $39,999
        AF9JE009:    $40,000 to $49,999
        AF9JE010:    $50,000 to $59,999
        AF9JE011:    $60,000 to $69,999
        AF9JE012:    $70,000 to $79,999
        AF9JE013:    $80,000 to $89,999
        AF9JE014:    $90,000 to $99,999
        AF9JE015:    $100,000 to $124,999
        AF9JE016:    $125,000 to $149,999
        AF9JE017:    $150,000 to $174,999
        AF9JE018:    $175,000 to $199,999
        AF9JE019:    $200,000 to $249,999
        AF9JE020:    $250,000 to $299,999
        AF9JE021:    $300,000 to $399,999
        AF9JE022:    $400,000 to $499,999
        AF9JE023:    $500,000 to $749,999
        AF9JE024:    $750,000 to $999,999
        AF9JE025:    $1,000,000 to $1,499,999
        AF9JE026:    $1,500,000 to $1,999,999
        AF9JE027:    $2,000,000 or more
