GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G01007000","2017","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",40295,410,255,208,481,748,943,543,2482,3350,4186,3431,3980,1895,2628,3019,2085,1726,2217,1357,1827,812,905,438,200,126,43,"Birmingham city, Alabama",2507,314,192,141,425,409,570,319,764,908,1012,824,1034,602,802,869,603,489,713,512,652,360,384,251,195,157,71
"G01021184","2017","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",14935,162,38,137,94,54,94,84,260,369,394,752,679,737,1375,1793,1636,1216,1692,1391,837,442,414,129,118,19,19,"Dothan city, Alabama",763,81,32,116,77,51,49,78,109,148,125,242,172,162,237,355,292,286,374,423,156,217,256,67,74,23,24
"G01035896","2017","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2017","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",46677,642,239,42,209,264,164,339,1212,1143,1323,2292,1579,1096,3698,4795,5142,3113,5881,4128,4146,2762,1590,407,171,48,252,"Huntsville city, Alabama",2948,493,176,69,166,212,137,360,501,684,726,729,583,482,809,1157,1113,869,1075,1000,963,937,562,231,146,56,249
"G01050000","2017","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",41297,344,203,495,270,222,259,728,871,2036,1590,3110,2514,2109,5934,4847,3920,1902,2690,2019,2357,1260,1044,317,155,0,101,"Mobile city, Alabama",2323,189,139,371,150,252,164,362,333,638,463,897,614,548,1020,1412,1058,622,621,703,734,370,430,186,127,200,96
"G01051000","2017","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",42766,723,381,169,726,257,1080,243,1155,1355,3540,2544,3624,1970,4627,4457,3693,2135,2795,2302,2466,940,1117,143,214,42,68,"Montgomery city, Alabama",2102,395,318,212,463,152,565,173,498,464,1042,787,1150,683,1032,1093,879,591,931,607,689,498,483,151,232,68,79
"G01077256","2017","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G02003000","2017","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",62826,385,694,348,1106,48,597,178,858,190,193,58,326,243,1059,1344,2124,2522,8104,7348,18410,8910,6079,928,492,89,193,"Anchorage municipality, Alaska",2361,263,658,341,663,83,616,158,660,181,167,101,366,219,412,553,644,722,1310,1117,1798,1324,944,384,253,102,187
"G04004720","2017","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04007940","2017","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
