        AH51E001:    Total
        AH51E002:    Less than $10,000
        AH51E003:    $10,000 to $14,999
        AH51E004:    $15,000 to $19,999
        AH51E005:    $20,000 to $24,999
        AH51E006:    $25,000 to $29,999
        AH51E007:    $30,000 to $34,999
        AH51E008:    $35,000 to $39,999
        AH51E009:    $40,000 to $49,999
        AH51E010:    $50,000 to $59,999
        AH51E011:    $60,000 to $69,999
        AH51E012:    $70,000 to $79,999
        AH51E013:    $80,000 to $89,999
        AH51E014:    $90,000 to $99,999
        AH51E015:    $100,000 to $124,999
        AH51E016:    $125,000 to $149,999
        AH51E017:    $150,000 to $174,999
        AH51E018:    $175,000 to $199,999
        AH51E019:    $200,000 to $249,999
        AH51E020:    $250,000 to $299,999
        AH51E021:    $300,000 to $399,999
        AH51E022:    $400,000 to $499,999
        AH51E023:    $500,000 to $749,999
        AH51E024:    $750,000 to $999,999
        AH51E025:    $1,000,000 to $1,499,999
        AH51E026:    $1,500,000 to $1,999,999
        AH51E027:    $2,000,000 or more
