GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJNQE001,AJNQE002,AJNQE003,AJNQE004,AJNQE005,AJNQE006,AJNQE007,AJNQE008,AJNQE009,AJNQE010,AJNQE011,AJNQE012,AJNQE013,AJNQE014,AJNQE015,AJNQE016,AJNQE017,AJNQE018,AJNQE019,AJNQE020,AJNQE021,AJNQE022,AJNQE023,AJNQE024,AJNQE025,AJNQE026,AJNQE027,NAME_M,AJNQM001,AJNQM002,AJNQM003,AJNQM004,AJNQM005,AJNQM006,AJNQM007,AJNQM008,AJNQM009,AJNQM010,AJNQM011,AJNQM012,AJNQM013,AJNQM014,AJNQM015,AJNQM016,AJNQM017,AJNQM018,AJNQM019,AJNQM020,AJNQM021,AJNQM022,AJNQM023,AJNQM024,AJNQM025,AJNQM026,AJNQM027
"G01003076","2018","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01007000","2018","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",41083,338,556,517,543,457,885,681,2919,2806,3329,3157,3376,2869,3211,2850,3478,2017,1987,1629,1485,586,665,375,172,90,105,"Birmingham city, Alabama",2940,340,382,376,302,434,597,334,792,875,795,819,1106,906,975,865,975,724,632,600,460,303,289,223,278,106,125
"G01021184","2018","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",16242,329,65,135,57,70,125,126,278,526,540,656,651,918,1903,1770,2060,1056,1579,1416,1086,310,290,80,164,10,42,"Dothan city, Alabama",781,136,47,77,44,41,97,93,126,171,161,196,221,241,346,266,273,229,275,473,261,109,116,48,157,16,36
"G01035896","2018","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2018","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",46881,542,269,97,89,170,384,288,894,1284,1708,1950,2165,1336,2652,3008,4250,4127,6368,5000,3851,3543,1851,542,307,120,86,"Huntsville city, Alabama",2618,305,272,116,103,134,293,289,457,651,674,641,678,541,799,930,756,1042,1528,983,871,1071,682,305,204,123,109
"G01050000","2018","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",39037,290,131,148,418,259,829,494,1098,1388,2822,1750,2548,2631,4693,3634,3823,1772,2509,3002,2538,754,671,505,93,214,23,"Mobile city, Alabama",2341,187,85,125,308,306,394,274,420,590,840,537,649,828,1082,852,1003,638,667,779,772,396,391,259,98,142,40
"G01051000","2018","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",40401,622,306,475,177,405,257,344,1449,2547,2622,1970,2050,2575,4247,5224,3038,1740,3826,1546,2709,1113,834,325,0,0,0,"Montgomery city, Alabama",2257,316,202,338,154,337,215,201,525,679,1026,666,669,751,1129,1324,735,560,880,406,691,507,366,209,201,201,201
"G01077256","2018","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G02003000","2018","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",67637,304,376,609,328,582,424,216,326,271,99,457,551,306,1362,1796,1805,2222,8190,9448,19504,9008,6975,1578,472,39,389,"Anchorage municipality, Alaska",2522,297,307,386,258,499,327,270,442,289,163,429,372,244,661,570,676,853,1386,1484,2145,1349,1374,550,428,63,251
"G04004720","2018","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
