        AJ3OE001:    Total
        AJ3OE002:    Less than $10,000
        AJ3OE003:    $10,000 to $14,999
        AJ3OE004:    $15,000 to $19,999
        AJ3OE005:    $20,000 to $24,999
        AJ3OE006:    $25,000 to $29,999
        AJ3OE007:    $30,000 to $34,999
        AJ3OE008:    $35,000 to $39,999
        AJ3OE009:    $40,000 to $49,999
        AJ3OE010:    $50,000 to $59,999
        AJ3OE011:    $60,000 to $69,999
        AJ3OE012:    $70,000 to $79,999
        AJ3OE013:    $80,000 to $89,999
        AJ3OE014:    $90,000 to $99,999
        AJ3OE015:    $100,000 to $124,999
        AJ3OE016:    $125,000 to $149,999
        AJ3OE017:    $150,000 to $174,999
        AJ3OE018:    $175,000 to $199,999
        AJ3OE019:    $200,000 to $249,999
        AJ3OE020:    $250,000 to $299,999
        AJ3OE021:    $300,000 to $399,999
        AJ3OE022:    $400,000 to $499,999
        AJ3OE023:    $500,000 to $749,999
        AJ3OE024:    $750,000 to $999,999
        AJ3OE025:    $1,000,000 to $1,499,999
        AJ3OE026:    $1,500,000 to $1,999,999
        AJ3OE027:    $2,000,000 or more
