GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALLGE001,ALLGE002,ALLGE003,ALLGE004,ALLGE005,ALLGE006,ALLGE007,ALLGE008,ALLGE009,ALLGE010,ALLGE011,ALLGE012,ALLGE013,ALLGE014,ALLGE015,ALLGE016,ALLGE017,ALLGE018,ALLGE019,ALLGE020,ALLGE021,ALLGE022,ALLGE023,ALLGE024,ALLGE025,ALLGE026,ALLGE027,NAME_M,ALLGM001,ALLGM002,ALLGM003,ALLGM004,ALLGM005,ALLGM006,ALLGM007,ALLGM008,ALLGM009,ALLGM010,ALLGM011,ALLGM012,ALLGM013,ALLGM014,ALLGM015,ALLGM016,ALLGM017,ALLGM018,ALLGM019,ALLGM020,ALLGM021,ALLGM022,ALLGM023,ALLGM024,ALLGM025,ALLGM026,ALLGM027
"G01003076","2019","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01007000","2019","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",37788,312,245,470,25,509,631,632,1667,3404,4577,2702,2056,1888,2672,2667,2503,2226,2387,1720,2298,1044,298,361,312,47,135,"Birmingham city, Alabama",2635,273,226,391,42,372,384,414,630,1052,1101,928,670,751,801,947,764,604,758,504,838,533,155,224,294,77,131
"G01021184","2019","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",15891,125,129,117,16,47,57,212,338,495,554,685,443,623,1309,1823,1986,1371,1515,1451,1368,422,591,61,80,0,73,"Dothan city, Alabama",824,82,69,128,20,39,42,128,124,169,222,217,145,179,262,361,327,247,300,329,292,190,374,53,50,206,70
"G01035896","2019","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2019","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",48728,464,234,166,211,334,414,134,392,759,1276,1682,2307,1881,3961,3933,4632,3872,5460,4832,6912,2381,1359,741,228,0,163,"Huntsville city, Alabama",2758,348,366,139,230,340,459,162,235,355,568,655,851,819,800,1071,1160,1005,991,1102,999,786,489,508,151,206,124
"G01050000","2019","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",40453,311,311,74,230,86,78,607,1626,1716,2054,2210,2649,3211,4247,4379,4036,2238,3084,2343,1927,1241,1331,287,88,52,37,"Mobile city, Alabama",2577,228,211,92,187,137,98,370,695,580,731,855,791,859,947,890,941,579,720,621,735,660,482,182,105,88,69
"G01051000","2019","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",42374,842,70,286,411,126,786,581,1540,1691,1324,2498,3165,2221,5654,5883,2278,2160,3111,2353,3115,1116,688,312,0,0,163,"Montgomery city, Alabama",2274,395,89,157,249,132,440,378,554,675,502,700,1080,686,1633,1248,709,709,964,645,742,501,310,227,206,206,166
"G01077256","2019","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",17107,148,22,61,105,62,276,43,322,121,169,60,271,521,2438,1081,1814,1030,2056,1493,1863,1090,943,963,25,63,67,"Tuscaloosa city, Alabama",1559,156,37,83,129,112,312,71,241,166,173,77,261,427,764,612,817,462,769,595,795,474,384,572,45,109,111
"G02003000","2019","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",64218,357,266,157,343,82,0,117,860,96,178,48,726,167,1574,2054,2422,2063,7231,10585,19120,7010,6617,1581,348,78,138,"Anchorage municipality, Alaska",2853,331,233,196,376,141,163,194,461,162,215,80,731,214,535,961,1045,816,1462,1797,1799,1120,1132,590,247,90,164
"G04004720","2019","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
