        AL1FE001:    Total
        AL1FE002:    Less than $10,000
        AL1FE003:    $10,000 to $14,999
        AL1FE004:    $15,000 to $19,999
        AL1FE005:    $20,000 to $24,999
        AL1FE006:    $25,000 to $29,999
        AL1FE007:    $30,000 to $34,999
        AL1FE008:    $35,000 to $39,999
        AL1FE009:    $40,000 to $49,999
        AL1FE010:    $50,000 to $59,999
        AL1FE011:    $60,000 to $69,999
        AL1FE012:    $70,000 to $79,999
        AL1FE013:    $80,000 to $89,999
        AL1FE014:    $90,000 to $99,999
        AL1FE015:    $100,000 to $124,999
        AL1FE016:    $125,000 to $149,999
        AL1FE017:    $150,000 to $174,999
        AL1FE018:    $175,000 to $199,999
        AL1FE019:    $200,000 to $249,999
        AL1FE020:    $250,000 to $299,999
        AL1FE021:    $300,000 to $399,999
        AL1FE022:    $400,000 to $499,999
        AL1FE023:    $500,000 to $749,999
        AL1FE024:    $750,000 to $999,999
        AL1FE025:    $1,000,000 to $1,499,999
        AL1FE026:    $1,500,000 to $1,999,999
        AL1FE027:    $2,000,000 or more
