GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AN8XE001,AN8XE002,AN8XE003,AN8XE004,AN8XE005,AN8XE006,AN8XE007,AN8XE008,AN8XE009,AN8XE010,AN8XE011,AN8XE012,AN8XE013,AN8XE014,AN8XE015,AN8XE016,AN8XE017,AN8XE018,AN8XE019,AN8XE020,AN8XE021,AN8XE022,AN8XE023,AN8XE024,AN8XE025,AN8XE026,AN8XE027,NAME_M,AN8XM001,AN8XM002,AN8XM003,AN8XM004,AN8XM005,AN8XM006,AN8XM007,AN8XM008,AN8XM009,AN8XM010,AN8XM011,AN8XM012,AN8XM013,AN8XM014,AN8XM015,AN8XM016,AN8XM017,AN8XM018,AN8XM019,AN8XM020,AN8XM021,AN8XM022,AN8XM023,AN8XM024,AN8XM025,AN8XM026,AN8XM027
"G01003076","2021","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01007000","2021","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",40665,735,373,119,176,56,391,641,1225,2337,4478,2656,2935,1818,3393,2573,3678,1980,3052,2700,2711,1299,611,346,125,197,60,"Birmingham city, Alabama",2513,353,305,119,198,101,305,582,529,1043,1088,920,933,642,878,998,1034,853,863,981,680,600,278,221,99,210,74
"G01021184","2021","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",16718,75,98,203,171,105,37,48,181,331,269,247,763,674,1825,1707,2115,1573,1537,1483,1779,597,670,114,83,17,16,"Dothan city, Alabama",987,79,84,139,106,88,44,58,94,172,120,107,261,242,400,495,440,318,328,567,447,220,415,88,116,29,27
"G01035896","2021","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2021","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",59015,514,45,60,43,188,758,261,410,309,1555,1448,2083,1702,3902,2622,5022,2996,5540,6877,10788,4733,5254,1165,534,80,126,"Huntsville city, Alabama",3018,298,74,78,72,219,625,332,232,226,704,719,883,722,1045,1121,1299,907,1388,1384,1983,1143,1805,543,595,98,96
"G01050000","2021","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",41443,338,257,563,319,206,390,273,1223,1632,2067,1660,1423,1227,3658,4180,3957,3002,5098,2573,3225,1336,1519,1026,291,0,0,"Mobile city, Alabama",2194,174,145,348,190,149,291,276,575,647,632,588,578,442,757,1096,1132,694,1154,617,910,487,559,368,266,216,216
"G01051000","2021","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",45969,507,363,497,502,194,332,743,2308,1220,1407,2067,3476,1721,4843,5918,3828,2774,3917,2424,3699,1800,684,193,438,92,22,"Montgomery city, Alabama",2357,319,235,327,396,295,264,478,767,622,598,762,952,657,1339,1583,1038,1031,1061,901,985,724,370,161,465,152,36
"G01077256","2021","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",16377,161,145,0,53,152,30,553,43,442,158,424,141,96,1316,1199,1510,1205,1631,1889,1897,1019,1848,296,70,99,0,"Tuscaloosa city, Alabama",1802,201,141,216,91,183,57,456,75,374,210,371,140,118,577,721,656,561,542,686,714,467,662,345,119,118,216
"G02003000","2021","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",69699,573,533,198,456,145,292,210,173,0,184,95,475,157,1071,1368,2417,1231,7075,9319,19225,11327,9800,2225,510,164,476,"Anchorage municipality, Alaska",2814,450,461,162,344,180,364,212,242,184,201,127,326,157,611,745,741,680,1461,1906,2092,1822,1646,725,336,181,352
"G04004720","2021","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04007940","2021","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"1600000US0407940","0407940","Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2021","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"1600000US0410670","0410670","Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casas Adobes CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04012000","2021","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"1600000US0412000","0412000","Chandler city, Arizona",71036,353,120,0,103,241,156,0,91,102,38,153,73,0,184,276,649,293,3502,5338,17897,16949,17889,5247,888,141,353,"Chandler city, Arizona",3087,284,146,224,119,213,199,224,106,118,63,254,119,224,164,334,341,184,790,1252,1912,1882,1900,1124,364,135,321
"G04023620","2021","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"1600000US0423620","0423620","Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Flagstaff city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027400","2021","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"1600000US0427400","0427400","Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gilbert town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04027820","2021","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"1600000US0427820","0427820","Glendale city, Arizona",52463,515,933,50,94,604,61,132,329,106,50,89,240,112,1129,716,2781,1323,5128,7952,15334,8038,5755,664,124,0,204,"Glendale city, Arizona",2915,395,530,83,111,365,102,161,375,124,84,105,230,135,692,461,905,635,1341,1649,1694,1466,924,436,172,224,179
"G04028380","2021","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"1600000US0428380","0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2021","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"1600000US0446000","0446000","Mesa city, Arizona",126146,2669,821,752,1677,884,344,1528,1357,986,435,1153,1008,251,1751,1438,2743,3105,8798,15172,32360,22065,17992,5248,1196,0,413,"Mesa city, Arizona",4698,799,407,362,461,448,216,602,544,440,245,574,401,176,580,569,847,867,1178,2082,2703,2379,2427,1354,609,224,325
"G04054050","2021","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"1600000US0454050","0454050","Peoria city, Arizona",58326,309,185,292,735,197,593,150,397,414,227,37,237,0,510,171,585,732,3472,4499,14591,10906,13675,3637,1379,323,73,"Peoria city, Arizona",3011,215,161,282,610,166,468,146,492,276,201,64,250,224,403,166,324,381,1060,1167,2028,1338,2035,1116,725,287,122
"G04055000","2021","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"1600000US0455000","0455000","Phoenix city, Arizona",354237,6748,1599,1555,1132,1234,1648,1034,1480,617,874,1131,1272,461,4709,5592,10009,10769,37990,42369,85343,48099,56686,19043,6420,3285,3138,"Phoenix city, Arizona",9062,1364,634,652,472,573,679,557,672,282,552,455,507,279,1148,1502,1791,1838,3231,4122,5013,3508,4056,2013,1239,880,980
"G04058150","2021","AZ",,,"Arizona","04",,,"Queen Creek town","58150",,,,,,,,,,,,,,,,"1600000US0458150","0458150","Queen Creek town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Queen Creek town, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04064210","2021","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"1600000US0464210","0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2021","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"1600000US0465000","0465000","Scottsdale city, Arizona",80132,790,76,0,0,39,0,0,130,310,99,138,360,0,616,549,712,250,2176,3395,6055,9718,20944,14553,9683,3217,6322,"Scottsdale city, Arizona",2939,478,125,224,224,63,224,224,156,240,120,179,274,224,396,562,484,224,866,1094,1388,1441,2160,2121,1250,843,1268
"G04071510","2021","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"1600000US0471510","0471510","Surprise city, Arizona",43073,561,0,164,58,90,333,187,240,269,0,102,266,165,385,276,564,319,2154,6572,16328,9358,4152,530,0,0,0,"Surprise city, Arizona",2758,361,224,189,94,110,253,239,225,253,224,119,336,273,247,250,433,300,766,1441,2215,1552,955,246,224,224,224
"G04073000","2021","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04077000","2021","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",114708,3051,1624,744,969,1525,713,429,1098,1120,552,1136,1559,1628,5266,6210,8752,9343,23438,16242,18307,5981,3073,833,874,126,115,"Tucson city, Arizona",4345,1036,638,408,378,799,352,406,514,495,383,581,506,667,1155,1317,1525,1630,2718,1902,1788,1104,758,402,391,162,191
"G04085540","2021","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",21480,713,195,543,155,579,57,185,510,149,407,173,283,394,1241,1201,2414,2755,2444,2396,3602,362,671,51,0,0,0,"Yuma city, Arizona",1791,428,238,537,208,503,100,154,329,136,385,142,196,319,534,571,879,958,800,870,990,265,334,84,224,224,224
"G05015190","2021","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"1600000US0515190","0515190","Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05023290","2021","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"1600000US0523290","0523290","Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05024550","2021","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"1600000US0524550","0524550","Fort Smith city, Arkansas",20687,30,0,616,0,234,0,88,775,453,375,764,1106,1623,2502,2094,1832,1924,2446,1215,1505,399,351,245,40,0,70,"Fort Smith city, Arkansas",1881,53,213,652,213,318,213,162,503,357,217,524,682,916,1051,827,750,891,797,605,670,303,313,331,67,213,117
"G05035710","2021","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"1600000US0535710","0535710","Jonesboro city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jonesboro city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
