        AOUJE001:    Total
        AOUJE002:    Less than $10,000
        AOUJE003:    $10,000 to $14,999
        AOUJE004:    $15,000 to $19,999
        AOUJE005:    $20,000 to $24,999
        AOUJE006:    $25,000 to $29,999
        AOUJE007:    $30,000 to $34,999
        AOUJE008:    $35,000 to $39,999
        AOUJE009:    $40,000 to $49,999
        AOUJE010:    $50,000 to $59,999
        AOUJE011:    $60,000 to $69,999
        AOUJE012:    $70,000 to $79,999
        AOUJE013:    $80,000 to $89,999
        AOUJE014:    $90,000 to $99,999
        AOUJE015:    $100,000 to $124,999
        AOUJE016:    $125,000 to $149,999
        AOUJE017:    $150,000 to $174,999
        AOUJE018:    $175,000 to $199,999
        AOUJE019:    $200,000 to $249,999
        AOUJE020:    $250,000 to $299,999
        AOUJE021:    $300,000 to $399,999
        AOUJE022:    $400,000 to $499,999
        AOUJE023:    $500,000 to $749,999
        AOUJE024:    $750,000 to $999,999
        AOUJE025:    $1,000,000 to $1,499,999
        AOUJE026:    $1,500,000 to $1,999,999
        AOUJE027:    $2,000,000 or more
