GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQDXE001,AQDXE002,AQDXE003,AQDXE004,AQDXE005,AQDXE006,AQDXE007,AQDXE008,AQDXE009,AQDXE010,AQDXE011,AQDXE012,AQDXE013,AQDXE014,AQDXE015,AQDXE016,AQDXE017,AQDXE018,AQDXE019,AQDXE020,AQDXE021,AQDXE022,AQDXE023,AQDXE024,AQDXE025,AQDXE026,AQDXE027,NAME_M,AQDXM001,AQDXM002,AQDXM003,AQDXM004,AQDXM005,AQDXM006,AQDXM007,AQDXM008,AQDXM009,AQDXM010,AQDXM011,AQDXM012,AQDXM013,AQDXM014,AQDXM015,AQDXM016,AQDXM017,AQDXM018,AQDXM019,AQDXM020,AQDXM021,AQDXM022,AQDXM023,AQDXM024,AQDXM025,AQDXM026,AQDXM027
"G01003076","2022","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Auburn city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01007000","2022","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",38260,588,130,117,562,575,306,1046,1684,2056,1933,2586,2038,2015,3445,2609,1771,2646,2881,2527,3121,1568,1275,274,421,45,41,"Birmingham city, Alabama",2811,415,121,130,295,488,245,763,834,839,868,820,880,823,991,794,609,1004,930,734,854,843,535,183,298,75,66
"G01021184","2022","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",16734,135,26,111,42,282,91,65,49,143,338,691,553,381,1245,1094,2091,1634,1878,2177,1923,927,573,167,92,26,0,"Dothan city, Alabama",1045,94,31,124,42,218,109,70,64,106,145,258,202,188,292,254,446,318,409,675,396,265,240,93,58,30,208
"G01035896","2022","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2022","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",55182,724,143,114,45,108,132,0,119,168,553,1247,150,1442,2568,1683,3046,3862,6754,5299,10370,6694,5900,1983,1320,393,365,"Huntsville city, Alabama",2675,693,145,136,77,171,210,208,143,203,368,596,181,586,1049,705,738,1418,1263,1016,1401,1279,1126,578,687,337,288
"G01050000","2022","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",41742,224,88,103,391,315,222,209,1066,1523,1221,2173,1138,1459,3617,2933,3634,3606,5316,2565,4789,1071,2062,1317,224,374,102,"Mobile city, Alabama",2610,180,114,128,320,270,138,185,512,698,522,832,524,716,1106,825,689,1003,1134,682,1073,408,671,687,172,291,89
"G01051000","2022","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",47229,928,187,812,287,125,475,483,1241,507,1802,1030,1378,2422,6837,4215,4249,3195,4996,3967,4276,1877,1702,65,147,26,0,"Montgomery city, Alabama",2768,475,200,580,191,169,331,332,617,278,672,776,670,1000,1670,1218,1371,973,1328,1018,989,845,780,111,243,42,208
"G01077256","2022","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",18632,59,274,196,75,0,77,0,137,163,0,50,59,751,696,1616,998,612,1604,2048,3003,1819,3290,946,115,0,44,"Tuscaloosa city, Alabama",1736,105,213,169,120,208,138,208,166,162,208,89,99,514,340,935,561,375,646,802,1007,687,1049,460,138,208,73
"G02003000","2022","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",71357,1062,0,0,246,525,251,167,266,202,0,284,143,153,1448,1460,1136,1813,4559,9008,19090,12987,11513,3673,1133,102,136,"Anchorage municipality, Alaska",3422,518,170,170,248,300,407,285,268,222,170,305,186,153,793,640,516,814,1182,1798,2231,2053,2008,1049,756,118,223
"G04004720","2022","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04007940","2022","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"1600000US0407940","0407940","Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buckeye city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
