        AQU2E001:    Total
        AQU2E002:    Less than $10,000
        AQU2E003:    $10,000 to $14,999
        AQU2E004:    $15,000 to $19,999
        AQU2E005:    $20,000 to $24,999
        AQU2E006:    $25,000 to $29,999
        AQU2E007:    $30,000 to $34,999
        AQU2E008:    $35,000 to $39,999
        AQU2E009:    $40,000 to $49,999
        AQU2E010:    $50,000 to $59,999
        AQU2E011:    $60,000 to $69,999
        AQU2E012:    $70,000 to $79,999
        AQU2E013:    $80,000 to $89,999
        AQU2E014:    $90,000 to $99,999
        AQU2E015:    $100,000 to $124,999
        AQU2E016:    $125,000 to $149,999
        AQU2E017:    $150,000 to $174,999
        AQU2E018:    $175,000 to $199,999
        AQU2E019:    $200,000 to $249,999
        AQU2E020:    $250,000 to $299,999
        AQU2E021:    $300,000 to $399,999
        AQU2E022:    $400,000 to $499,999
        AQU2E023:    $500,000 to $749,999
        AQU2E024:    $750,000 to $999,999
        AQU2E025:    $1,000,000 to $1,499,999
        AQU2E026:    $1,500,000 to $1,999,999
        AQU2E027:    $2,000,000 or more
