GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,L33E001,L33E002,L33E003,L33E004,L33E005,L33E006,L33E007,L33E008,L33E009,L33E010,L33E011,L33E012,L33E013,L33E014,L33E015,L33E016,L33E017,NAME_M,L33M001,L33M002,L33M003,L33M004,L33M005,L33M006,L33M007,L33M008,L33M009,L33M010,L33M011,L33M012,L33M013,L33M014,L33M015,L33M016,L33M017
"G01007000","2011","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",86653,14471,10112,7381,6975,5654,5705,4199,4256,2952,5863,6546,5374,3039,1279,1453,1394,"Birmingham city, Alabama",3073,2017,1434,1540,1213,1226,1168,1148,1147,792,1131,1260,1205,834,502,673,517
"G01021184","2011","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",25778,2399,1687,2094,1412,2003,1349,1643,1037,1161,1784,2340,2946,1482,719,774,948,"Dothan city, Alabama",874,335,284,356,246,354,243,305,249,287,265,427,530,407,298,257,270
"G01035896","2011","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",31005,975,629,508,1220,2266,853,1737,1981,864,1907,2467,4868,3832,1939,2158,2801,"Hoover city, Alabama",2196,518,573,420,623,1230,543,730,674,379,983,1004,1268,998,937,834,1044
"G01037000","2011","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",76252,6538,5271,5632,5021,4808,3409,3997,3439,2813,4784,6998,7271,6357,3586,3116,3212,"Huntsville city, Alabama",2879,1169,1178,1117,1172,971,1027,847,842,635,1109,1250,1371,1295,727,883,752
"G01050000","2011","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",77682,9034,6427,5687,4326,4432,4379,4395,3961,3798,5675,6729,7805,4461,2185,1875,2513,"Mobile city, Alabama",2431,1329,1271,1137,991,845,954,1014,866,845,1061,1152,1375,877,644,598,580
"G01051000","2011","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",79580,9207,5361,4248,5391,3641,5766,3764,3689,4006,6986,8784,6648,5409,2388,1760,2532,"Montgomery city, Alabama",3097,1850,1328,1076,1284,1070,1287,942,1029,943,1594,1658,1630,963,827,547,823
"G01077256","2011","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",30100,4317,3410,1282,2486,1857,1807,1932,1820,693,2841,1495,2626,1403,578,982,571,"Tuscaloosa city, Alabama",2026,979,915,431,693,646,756,710,694,301,735,715,861,468,244,355,269
"G02003000","2011","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",106651,2874,3376,2877,3070,3903,3691,4160,6973,4563,7661,11932,16408,11551,6932,10434,6246,"Anchorage municipality, Alaska",1720,779,1085,903,943,1208,963,1150,1403,1394,1496,1765,1788,1636,1357,1725,1212
"G04004720","2011","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",21810,940,901,729,1114,1645,1315,1694,1163,920,2446,3423,2846,994,599,460,621,"Avondale city, Arizona",2480,570,621,553,1081,1100,870,1543,569,682,1290,1712,1272,774,419,390,901
"G04010670","2011","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",27808,2171,1040,1420,1331,1603,1907,1338,1416,1227,2008,3060,3526,2760,1225,789,987,"Casas Adobes CDP, Arizona",1841,844,550,474,509,602,684,725,490,455,575,653,843,693,527,302,638
"G04012000","2011","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",85727,3331,3020,2676,3524,2389,2929,3549,3991,3016,7066,10566,12470,9863,7797,6235,3305,"Chandler city, Arizona",3140,1163,969,966,1107,729,1018,916,1059,887,1322,2056,1833,1502,2033,2006,871
"G04023620","2011","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",21534,2384,1427,814,1414,1300,1498,1035,1475,445,1589,1600,2169,1885,1004,781,714,"Flagstaff city, Arizona",1585,719,658,404,610,661,835,599,545,250,664,561,767,575,558,491,373
"G04027400","2011","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",68676,3288,1742,1609,1955,1804,1473,2105,3766,3954,5413,8950,10288,9472,4899,5143,2815,"Gilbert town, Arizona",3402,1485,721,841,788,714,564,807,1237,1986,1994,1848,2235,2022,1317,1363,1345
"G04027820","2011","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",79199,6995,3979,4513,3597,4934,5361,4158,4087,2966,6865,8568,8754,7429,2853,2457,1683,"Glendale city, Arizona",3152,1374,930,1186,900,1179,1496,1135,1085,947,1250,1587,1476,1502,754,702,627
"G04028380","2011","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",24695,1142,1065,1183,864,1067,500,2573,1538,1896,3067,2257,2540,1089,1462,1724,728,"Goodyear city, Arizona",1965,1154,1529,1026,1249,907,439,1340,1004,1516,1074,899,990,645,872,1163,575
"G04046000","2011","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",163743,11510,8885,9971,11439,9455,11215,9675,10542,6339,13231,16031,19820,10999,6352,4964,3315,"Mesa city, Arizona",4106,1695,1445,1680,1871,1992,1799,1622,1815,1134,2171,2148,2326,2067,1628,1199,827
"G04054050","2011","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",57921,2873,3077,1856,2966,2342,2374,2606,2409,1923,4550,6957,8617,5782,4738,3631,1220,"Peoria city, Arizona",2927,1054,1070,872,970,876,1174,857,1033,644,1093,1450,1647,1185,1545,1563,712
"G04055000","2011","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",519369,53046,31202,30555,32611,28097,33282,27742,27543,22321,40099,47839,58770,34915,18456,17198,15693,"Phoenix city, Arizona",6873,4610,3211,3102,3812,3280,4109,3598,3012,3013,3963,3622,4871,3284,2378,2193,1972
"G04064210","2011","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",23754,1804,203,512,2262,1130,1861,1595,778,2173,2009,4122,2348,1959,555,216,227,"San Tan Valley CDP, Arizona",2853,1360,339,563,1376,810,1396,1094,716,1302,1069,1763,1179,1324,573,324,370
"G04065000","2011","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",102238,4345,2681,5715,5576,4563,4798,4376,5202,2954,6490,11360,12132,7124,5629,9128,10165,"Scottsdale city, Arizona",3528,1420,814,1744,1952,1311,1225,1340,1607,921,1568,2148,1816,1589,1298,1658,1794
"G04071510","2011","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",41858,1467,2117,2955,1324,3071,1371,1283,2355,3717,5202,5575,6406,2197,1607,811,400,"Surprise city, Arizona",2513,1331,1266,1426,764,1528,718,642,1498,1749,2113,2085,2047,931,883,617,472
"G04073000","2011","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",61449,6714,2816,4310,2974,3636,2581,2913,4474,2823,5090,5651,6539,4275,2415,2640,1598,"Tempe city, Arizona",3322,1596,953,1278,912,1173,984,981,1300,1000,1406,1208,1233,1040,576,785,535
"G04077000","2011","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",201841,25646,17880,13403,16562,13170,13380,10672,10882,8701,16116,15571,17918,10406,5494,3855,2185,"Tucson city, Arizona",4418,2667,2202,1771,2109,1715,1861,2229,1765,1376,2139,2050,1877,1542,1305,975,953
"G04085540","2011","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",34241,2784,2235,2040,2475,2491,1897,2127,2923,1787,2996,3417,2366,2538,794,456,915,"Yuma city, Arizona",2124,1061,1055,951,1128,1025,732,1037,945,782,1081,1181,844,995,545,311,531
"G05023290","2011","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",33661,6223,3224,2130,1414,1619,2523,1857,765,1490,1874,2343,2032,2269,2055,1020,823,"Fayetteville city, Arkansas",1676,1462,991,907,543,741,978,941,423,720,700,934,842,873,831,499,394
"G05024550","2011","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",32993,3370,3551,2801,2845,2496,1865,1550,1822,930,3044,2412,2951,828,694,868,966,"Fort Smith city, Arkansas",1734,962,979,766,925,658,742,540,690,485,930,829,755,419,464,443,390
"G05035710","2011","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",26347,3253,2607,2323,1934,1820,1369,533,1218,1098,2273,1326,2331,994,1170,1232,866,"Jonesboro city, Arkansas",1271,1067,1203,874,934,908,687,340,662,579,900,705,951,569,641,799,516
"G05041000","2011","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",81700,11254,4857,6154,6589,5138,2983,3281,2498,3244,6483,5751,8726,4999,3630,2957,3156,"Little Rock city, Arkansas",2813,2248,1221,1538,1742,1254,1069,861,842,1153,1472,1177,1781,1228,928,775,934
"G05066080","2011","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",25088,2709,1164,2426,1393,2418,1684,2084,1069,1193,1300,850,2982,1630,960,1033,193,"Springdale city, Arkansas",1968,1130,623,1180,626,1035,739,968,704,699,593,385,999,625,813,577,194
"G06000562","2011","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",30335,1273,1264,838,1464,772,1405,1478,1423,1117,2461,3585,4036,2739,1467,2457,2556,"Alameda city, California",1437,587,526,479,705,403,706,547,597,543,828,753,978,936,512,780,783
"G06000884","2011","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",28816,1271,1113,2112,1400,2048,1900,1144,1154,1359,2469,3240,4051,2094,1202,1425,834,"Alhambra city, California",1724,564,435,824,638,703,578,606,590,454,715,879,914,605,575,582,492
"G06002000","2011","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",98586,4619,5373,4913,5342,4504,4733,4602,4268,4373,8243,10410,14802,8409,4885,5554,3556,"Anaheim city, California",3089,1237,1121,1213,1225,921,1184,1145,1094,1141,1474,1372,1729,1269,1108,1192,792
"G06002252","2011","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",32200,1777,1049,1260,1684,808,2031,1297,1532,1023,1850,3770,4999,4638,1872,1975,635,"Antioch city, California",1853,736,581,812,759,630,855,798,747,536,847,1051,1402,1240,804,818,426
"G06002364","2011","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",23599,1733,1628,1048,1977,1369,614,1347,879,882,1277,3138,2886,2480,660,1010,671,"Apple Valley town, California",1717,800,764,500,1044,720,343,651,594,473,558,1231,902,1096,340,638,571
"G06002553","2011","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",40255,4644,2928,2536,2730,2220,2909,2544,1513,1573,2655,3074,3479,2191,1325,1507,2427,"Arden-Arcade CDP, California",2699,1452,854,790,929,708,959,719,565,646,743,1007,924,826,528,635,788
"G06003526","2011","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",108123,8289,7508,6508,6181,5998,4531,4418,4867,4429,6897,10369,14294,8822,4918,5839,4255,"Bakersfield city, California",3091,1442,1410,1451,1481,1385,1088,939,1159,1004,1547,1578,1892,1592,1216,1253,1031
"G06003666","2011","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",16680,904,791,765,1038,612,1353,1313,663,1001,1170,2416,2632,928,602,435,57,"Baldwin Park city, California",962,414,284,323,441,288,501,431,258,489,459,769,632,394,343,222,68
"G06004982","2011","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",22358,1378,1303,1227,2026,1062,1649,1298,2044,1216,1849,2699,2362,1142,537,253,313,"Bellflower city, California",1098,670,477,579,704,419,626,577,837,492,610,921,697,450,318,193,218
"G06006000","2011","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",45338,4983,2851,1929,1920,1387,1945,1317,2262,1162,2459,4135,4460,2916,2414,3659,5539,"Berkeley city, California",2099,982,798,727,666,571,697,541,654,392,680,894,741,696,641,750,839
"G06008786","2011","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",22487,863,730,776,1003,1730,532,1238,1059,987,1377,2600,3807,2184,1488,1627,486,"Buena Park city, California",1183,428,361,378,471,648,327,554,554,458,486,769,918,620,491,585,325
"G06008954","2011","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",39445,1629,2526,1921,1910,2259,1587,1510,1357,941,2713,5016,6001,3303,2308,3077,1387,"Burbank city, California",2019,655,1096,835,809,987,558,591,559,423,972,1008,1238,812,694,885,466
"G06010046","2011","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",22101,662,573,785,654,732,1070,721,904,798,1761,2032,2602,2775,1909,2614,1509,"Camarillo city, California",1382,391,300,479,342,375,508,394,434,449,740,775,773,632,567,691,486
"G06011194","2011","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",41226,3725,1121,1539,1734,1717,1627,1128,1185,983,1827,3551,5783,3266,3519,3984,4537,"Carlsbad city, California",2030,1363,686,756,982,754,816,576,572,524,750,1005,1251,924,949,961,991
"G06011530","2011","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",24849,798,1116,704,1374,471,1148,1099,795,620,2297,2713,4469,2370,2005,2202,668,"Carson city, California",1455,476,486,342,730,245,490,509,385,292,741,768,969,693,622,760,274
"G06013014","2011","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",34688,3577,4081,1967,3574,1468,2211,2179,1202,996,2477,1786,4198,2882,1140,730,220,"Chico city, California",1669,784,1176,652,1034,718,870,772,553,492,894,587,1113,957,457,385,204
"G06013210","2011","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",22161,2047,1076,1135,238,442,1288,646,1061,795,2442,1300,3573,2352,1580,1646,540,"Chino city, California",2133,1406,655,707,322,311,793,410,638,620,1307,682,1201,843,745,1234,387
"G06013214","2011","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",22178,719,669,336,81,467,397,924,469,726,1109,2454,3319,2712,2260,3050,2486,"Chino Hills city, California",1639,515,469,205,78,348,334,587,333,547,586,776,926,821,735,1003,746
"G06013392","2011","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",76231,4630,3641,3291,3688,2571,3253,3720,2994,3762,6852,7450,10735,7395,4811,5386,2052,"Chula Vista city, California",2801,1469,1075,869,911,765,922,1122,893,1175,1873,1439,1916,1382,1235,1507,706
"G06013588","2011","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",31170,2050,1351,1932,1200,2285,1877,2148,1503,1242,1988,3126,5227,2249,1564,1233,195,"Citrus Heights city, California",1974,797,468,555,440,946,713,661,625,497,673,698,1064,731,546,481,136
"G06014218","2011","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",33627,1759,1821,1088,2112,1377,1484,1133,1723,2009,1852,3788,4566,3372,2763,1805,975,"Clovis city, California",1955,726,807,584,806,469,865,466,625,913,681,1053,1078,1011,823,870,490
"G06015044","2011","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",22578,1986,2067,1845,1397,1525,1377,1297,1362,1183,1791,2509,2418,906,339,496,80,"Compton city, California",1095,582,642,648,531,456,467,444,613,391,543,704,718,421,264,344,93
"G06016000","2011","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",44610,2132,1324,3150,2351,1693,1490,2105,1707,2833,3314,4111,5501,4136,3616,3394,1753,"Concord city, California",1676,629,696,918,931,752,576,697,764,911,1065,970,1363,1055,1043,830,616
"G06016350","2011","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",44239,1432,961,1570,1489,1937,1667,1390,1490,1885,2932,3980,5945,6506,4036,4689,2330,"Corona city, California",1692,481,386,616,559,745,623,527,711,660,777,928,1103,1115,1109,1058,660
"G06016532","2011","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",42866,2294,2355,2010,1767,1301,2061,2269,1913,1487,3338,3840,4796,5890,2486,2349,2710,"Costa Mesa city, California",2271,801,838,719,599,647,691,745,688,545,937,905,1047,1313,773,825,952
"G06017918","2011","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",30184,1420,1198,1132,1166,814,1121,946,1043,1522,3397,3256,3143,3753,1770,2204,2299,"Daly City city, California",1558,589,642,619,469,353,542,689,432,777,898,839,838,1051,493,694,827
"G06018100","2011","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",23483,2297,1408,1430,1408,889,1233,318,1126,906,1091,1025,2220,2157,1425,2343,2207,"Davis city, California",1238,763,581,686,611,520,549,224,616,610,477,494,715,659,511,685,552
"G06019766","2011","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",33642,1418,996,2469,1555,2029,1614,1520,2106,1858,3012,3593,4747,2686,1283,1492,1264,"Downey city, California",1793,687,499,687,625,813,653,582,840,975,1045,987,1124,835,495,639,656
"G06020802","2011","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",31264,2706,2938,3304,2303,2152,2814,1624,1744,2170,2194,2815,2443,1008,664,338,47,"East Los Angeles CDP, California",2007,675,674,770,576,625,760,584,586,752,625,669,565,445,354,261,56
"G06021712","2011","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",32696,1965,2432,3074,1809,1422,2175,2290,1780,1392,1854,3909,3354,2346,1383,527,984,"El Cajon city, California",2020,714,770,867,708,523,742,884,778,689,641,971,932,746,532,250,338
