GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G01007000","2012","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",88192,15948,9410,6310,6501,4792,6116,4108,5113,3520,6031,6206,6769,3418,1474,1443,1033,"Birmingham city, Alabama",3684,1832,1394,1224,1253,906,1202,962,1003,1116,1130,1137,1426,947,596,584,546
"G01021184","2012","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",25231,2578,2355,1606,1658,1206,1564,999,1249,1226,1699,2171,2366,1452,819,1243,1040,"Dothan city, Alabama",1080,421,473,310,304,262,365,204,254,397,296,309,345,291,212,468,268
"G01035896","2012","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",31087,504,928,658,1284,1444,1321,2574,1102,829,2539,2958,4224,3107,2102,2734,2779,"Hoover city, Alabama",1775,281,523,388,665,670,556,892,490,592,813,806,1121,694,629,640,818
"G01037000","2012","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",75912,7093,5126,3832,5090,4790,2692,4657,2830,3124,4912,7129,8672,5430,3409,4192,2934,"Huntsville city, Alabama",2226,1301,979,965,1055,1138,655,1029,820,735,964,1201,1160,1146,978,1011,822
"G01050000","2012","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",76617,11111,6472,5918,4580,5159,4821,4216,3296,3222,7415,5663,5752,3859,1690,1776,1667,"Mobile city, Alabama",2724,1570,1381,1298,965,1080,1178,1231,892,789,1226,849,1000,921,573,590,429
"G01051000","2012","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",81379,9537,6993,5537,5340,4137,2888,5745,4480,3237,5646,8356,8071,4288,2813,1937,2374,"Montgomery city, Alabama",1837,1651,1209,1262,1111,972,622,995,1081,1086,1064,1411,1244,947,869,498,803
"G01077256","2012","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",31769,4699,3296,2452,1316,1746,1553,1924,1521,1258,2229,2470,2725,1973,538,1109,960,"Tuscaloosa city, Alabama",2007,900,881,931,535,654,629,679,675,607,806,706,807,747,246,427,338
"G02003000","2012","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",105569,3260,3603,3513,4481,3693,3394,4591,4206,4328,7706,11120,14760,12073,8158,9128,7555,"Anchorage municipality, Alaska",1780,969,1050,1069,966,1088,847,1289,1011,1031,1582,1506,1947,1619,1120,1458,1345
"G04004720","2012","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",22706,1662,1257,755,753,690,1684,1415,1822,993,1548,2256,3672,1901,1042,583,673,"Avondale city, Arizona",1116,598,463,405,365,347,738,549,886,436,494,601,804,601,398,354,785
"G04010670","2012","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",28130,1456,1090,1805,1582,1625,1780,1761,2009,1095,2434,2902,3824,2344,1041,954,428,"Casas Adobes CDP, Arizona",1455,475,490,709,651,496,679,759,754,488,697,666,818,595,420,470,275
