        QU0E001:     Total
        QU0E002:     Less than $10,000
        QU0E003:     $10,000 to $14,999
        QU0E004:     $15,000 to $19,999
        QU0E005:     $20,000 to $24,999
        QU0E006:     $25,000 to $29,999
        QU0E007:     $30,000 to $34,999
        QU0E008:     $35,000 to $39,999
        QU0E009:     $40,000 to $44,999
        QU0E010:     $45,000 to $49,999
        QU0E011:     $50,000 to $59,999
        QU0E012:     $60,000 to $74,999
        QU0E013:     $75,000 to $99,999
        QU0E014:     $100,000 to $124,999
        QU0E015:     $125,000 to $149,999
        QU0E016:     $150,000 to $199,999
        QU0E017:     $200,000 or more
