GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SUYE001,SUYE002,SUYE003,SUYE004,SUYE005,SUYE006,SUYE007,SUYE008,SUYE009,SUYE010,SUYE011,SUYE012,SUYE013,SUYE014,SUYE015,SUYE016,SUYE017,NAME_M,SUYM001,SUYM002,SUYM003,SUYM004,SUYM005,SUYM006,SUYM007,SUYM008,SUYM009,SUYM010,SUYM011,SUYM012,SUYM013,SUYM014,SUYM015,SUYM016,SUYM017
"G01007000","2013","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",88847,15701,8318,7411,5294,5873,6130,5478,4313,3156,6130,7582,6618,3156,1608,930,1149,"Birmingham city, Alabama",3120,1941,1288,1386,997,1125,1396,1212,977,1051,1231,1357,1260,823,549,470,435
"G01021184","2013","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",26550,2637,1756,1943,1687,1633,1755,1526,1543,1243,1715,2251,3292,1270,763,650,886,"Dothan city, Alabama",903,382,291,322,331,333,306,230,401,243,368,341,516,291,198,160,214
"G01035896","2013","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",33198,868,1213,1169,1084,1327,732,1939,1420,1328,2847,2691,4503,4482,2070,3036,2489,"Hoover city, Alabama",1835,403,622,602,627,555,304,949,702,561,976,834,893,1168,654,834,751
"G01037000","2013","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",79539,7273,5048,4064,4694,5048,3192,4727,3668,3190,5714,7291,7714,7784,3432,3087,3613,"Huntsville city, Alabama",2179,1537,1254,1150,1100,1039,836,1216,907,804,1077,1359,1376,1532,980,737,912
"G01050000","2013","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",74111,9923,6704,5845,5240,4209,4361,3018,4335,2916,4960,5689,6815,4705,2001,1334,2056,"Mobile city, Alabama",2734,1643,1271,1390,1053,982,1160,876,890,801,963,1099,1107,1106,730,499,561
"G01051000","2013","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",78388,9492,5893,4201,4381,3754,4668,4118,4708,3130,5574,6398,8997,5004,3247,2679,2144,"Montgomery city, Alabama",2267,1586,1093,927,1003,1044,1195,1047,1143,919,1115,1149,1416,954,925,728,740
"G01077256","2013","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",32945,4294,2755,2202,2456,1709,1596,1726,2059,1323,2345,2625,2944,1412,1410,1106,983,"Tuscaloosa city, Alabama",1820,1130,780,764,700,694,749,745,779,678,1054,843,711,723,706,433,369
"G02003000","2013","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",103445,2501,2439,2711,2602,2213,3336,4158,5358,3519,7522,12058,15783,12305,9259,9368,8313,"Anchorage municipality, Alaska",2136,878,1007,771,755,852,1068,1228,1303,750,1414,1784,1784,1586,1714,1684,1279
"G04004720","2013","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",24013,1949,1201,680,984,1618,1325,1220,1427,1258,2403,2923,3561,1999,587,704,174,"Avondale city, Arizona",1207,603,574,408,458,564,656,446,553,516,631,656,784,582,314,294,122
"G04010670","2013","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",27323,1506,1076,704,1366,2151,1624,1497,1381,1121,2609,3739,3662,2201,1272,846,568,"Casas Adobes CDP, Arizona",1459,680,506,298,566,702,488,546,590,530,705,978,787,550,549,391,324
"G04012000","2013","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",84762,3727,2368,2664,2983,2445,3704,3190,3478,3832,6673,9578,12968,9390,5948,6155,5659,"Chandler city, Arizona",2813,984,810,842,834,795,1056,880,813,1097,1397,1477,1575,1206,1259,1155,1021
"G04023620","2013","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",25531,2316,2455,1477,584,967,1839,876,1146,556,2669,2620,3442,1654,1145,1204,581,"Flagstaff city, Arizona",1514,725,971,683,314,527,786,417,680,283,858,853,829,641,483,644,400
"G04027400","2013","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",72012,1961,1157,1984,1159,1958,2988,1879,2917,2347,4763,8279,12175,10075,6796,7256,4318,"Gilbert town, Arizona",2286,781,601,786,411,672,923,659,826,717,971,1346,1166,1314,1035,1220,919
"G04027820","2013","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",79503,7246,6040,4987,5700,5445,5718,3774,4092,2908,5759,7784,8809,5018,2014,2464,1745,"Glendale city, Arizona",2706,1358,1433,1020,1223,1349,1210,893,1152,802,994,1309,1201,1128,482,645,467
"G04028380","2013","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",23549,560,862,442,638,377,1041,1354,1620,797,1796,2402,5033,2750,1639,1334,904,"Goodyear city, Arizona",1810,482,601,299,401,279,565,661,869,527,668,777,1286,902,633,472,442
"G04046000","2013","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",166515,11214,8245,10013,12514,9857,8643,9860,9006,8664,13495,16724,19066,12909,5525,7198,3582,"Mesa city, Arizona",4446,1728,1392,1424,1809,1782,1257,1613,1384,1368,1703,2000,1741,1548,787,1049,768
"G04054050","2013","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",59438,2362,2536,1980,3103,2561,3188,2926,3162,1957,6176,6695,7699,6180,2680,3491,2742,"Peoria city, Arizona",2218,817,869,644,971,905,856,811,841,712,1330,1101,1086,1112,636,760,659
"G04055000","2013","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",517276,44169,29151,31595,33705,27718,28276,26687,29319,21934,42027,49414,56264,36499,19991,20439,20088,"Phoenix city, Arizona",6964,3344,3009,2666,2740,2787,2692,2798,2976,2351,3519,2999,4009,2737,2098,2343,1984
"G04064210","2013","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",26288,618,351,995,1503,988,942,1466,2153,1963,2961,3709,4587,2876,217,350,609,"San Tan Valley CDP, Arizona",1879,429,409,689,684,527,461,695,971,934,954,1257,976,1043,261,277,523
