GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAS5E001,AAS5E002,AAS5E003,AAS5E004,AAS5E005,AAS5E006,AAS5E007,AAS5E008,AAS5E009,AAS5E010,AAS5E011,AAS5E012,AAS5E013,AAS5E014,AAS5E015,AAS5E016,AAS5E017,NAME_M,AAS5M001,AAS5M002,AAS5M003,AAS5M004,AAS5M005,AAS5M006,AAS5M007,AAS5M008,AAS5M009,AAS5M010,AAS5M011,AAS5M012,AAS5M013,AAS5M014,AAS5M015,AAS5M016,AAS5M017
"G01007000","2014","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",88556,14241,7953,8011,6498,7519,5268,4845,4430,3596,6130,6798,6166,3565,1488,1270,778,"Birmingham city, Alabama",2920,1464,1211,1404,1086,1043,1180,1165,1146,817,1323,1454,1262,918,530,574,324
"G01021184","2014","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",25760,2759,2257,2010,1577,1389,1369,1566,1164,1275,1852,2236,2407,1407,866,953,673,"Dothan city, Alabama",932,389,555,451,340,275,310,315,252,240,317,285,353,255,187,286,136
"G01035896","2014","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",35528,1465,862,1538,1252,2257,842,1374,1754,1039,2907,3032,4762,3549,2841,3038,3016,"Hoover city, Alabama",1680,622,443,727,692,943,405,828,767,516,965,922,951,871,858,777,685
"G01037000","2014","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",79383,7882,6315,4450,3557,3580,4997,3319,3396,2476,6449,7040,8248,5430,4135,4122,3987,"Huntsville city, Alabama",2468,1275,1451,957,825,933,1384,867,1252,905,1219,1091,1423,1043,1038,937,995
"G01050000","2014","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",75594,8286,5751,6598,6516,5024,3777,3688,3146,4152,6093,5799,6274,4460,2344,2036,1650,"Mobile city, Alabama",2351,1391,990,1393,1439,921,951,989,694,1015,1138,1015,1099,972,643,670,426
"G01051000","2014","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",79190,8165,5986,5324,4228,5459,4862,3738,3710,3601,6750,6608,7799,4850,3371,2813,1926,"Montgomery city, Alabama",1829,1298,1190,1100,1038,1099,1075,919,962,842,1166,1148,1330,1046,1062,697,521
"G01077256","2014","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",33487,4456,1855,2468,2764,1856,1741,2055,1268,1122,2472,3143,2992,1551,1492,962,1290,"Tuscaloosa city, Alabama",1865,972,728,767,936,615,635,864,533,613,731,867,738,589,736,372,549
"G02003000","2014","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",104683,3148,2661,3019,3730,3433,3633,3872,4389,2973,8208,12296,14421,13149,8962,8477,8312,"Anchorage municipality, Alaska",1844,1016,787,876,1120,1111,933,1116,1082,790,1203,1758,1951,1698,1496,1245,1401
"G04004720","2014","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",24046,2078,772,918,998,961,1685,688,1505,1309,1424,4365,3003,2078,940,1207,115,"Avondale city, Arizona",1261,716,444,385,478,496,516,276,611,519,535,1021,647,576,380,398,115
"G04010670","2014","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",28789,956,714,1214,1068,1452,2029,1518,877,1261,3335,3784,3996,3153,1133,873,1426,"Casas Adobes CDP, Arizona",2028,422,410,483,548,495,778,519,447,438,876,811,994,877,477,416,642
"G04012000","2014","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",88216,3350,2535,2127,3019,2294,3649,3192,4916,3244,7727,8697,15117,10294,4849,7344,5862,"Chandler city, Arizona",2659,910,848,728,731,900,880,925,1259,857,1306,1454,1821,1464,866,1121,959
"G04023620","2014","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",22669,2112,1515,1373,1313,1376,1014,1063,771,1280,1593,1591,1771,2482,822,1023,1570,"Flagstaff city, Arizona",1558,780,641,607,548,545,422,544,395,512,653,516,558,747,380,368,514
"G04027400","2014","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",72417,1661,1242,2062,1225,1876,2001,2683,2308,2475,5375,8665,11551,9928,7402,6681,5282,"Gilbert town, Arizona",1998,664,529,725,453,703,606,801,761,782,1309,1359,1470,1289,1170,1055,1096
"G04027820","2014","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",77424,8513,3929,4289,4905,4633,4021,3859,3769,2929,5533,6960,8773,6534,3196,3651,1930,"Glendale city, Arizona",3061,1701,988,1024,1034,1057,1046,865,1033,796,1031,1143,1398,1268,804,764,662
"G04028380","2014","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",24655,1765,457,639,300,654,1173,1117,921,1179,2541,2545,4317,3355,1849,689,1154,"Goodyear city, Arizona",1748,824,433,526,251,447,625,568,424,567,1077,949,971,1237,639,348,531
"G04046000","2014","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",170193,10867,8584,11117,10561,9221,12027,8702,9369,7775,16421,16644,18056,12463,6886,6447,5053,"Mesa city, Arizona",4164,1805,1279,1558,1549,1555,1592,1324,1586,1302,1777,1701,1619,1680,1066,1161,780
"G04054050","2014","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",61466,2065,2440,1455,3183,2668,2486,3597,2355,3198,4142,6339,11358,6839,3227,3187,2927,"Peoria city, Arizona",2388,675,851,641,909,800,769,959,572,865,948,1055,1643,1062,777,747,822
"G04055000","2014","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",532210,47826,29700,29386,30954,27363,30360,27745,27913,23230,46012,52230,55133,38685,22591,20354,22728,"Phoenix city, Arizona",6473,3122,2774,2633,2452,2742,2539,2387,2981,2255,3629,3774,3475,2743,2259,1969,1752
"G04064210","2014","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",26440,1405,414,682,986,1175,1431,1209,898,1237,2405,4356,4341,3774,959,132,1036,"San Tan Valley CDP, Arizona",1752,751,275,493,686,573,907,713,459,557,1038,1129,1054,1209,654,157,643
"G04065000","2014","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",102535,4217,3377,3520,4034,3834,4284,3235,5084,4009,6149,10346,11504,9370,5967,8291,15314,"Scottsdale city, Arizona",3025,1019,953,1000,1056,1118,1081,793,1165,1062,1289,1613,1453,1289,1132,1239,1803
"G04071510","2014","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",45919,2076,2049,1192,2096,2526,2078,2332,2061,2043,5134,5766,6315,5597,1714,1495,1445,"Surprise city, Arizona",2629,652,721,647,651,848,742,726,745,635,1160,1236,1089,1123,641,501,504
"G04073000","2014","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",65078,7228,2976,3785,4157,2614,3631,4138,2472,3073,5650,6629,6926,4675,2664,2288,2172,"Tempe city, Arizona",2817,1373,860,929,1168,945,1158,1305,797,1035,1124,1263,1601,1004,741,660,632
"G04077000","2014","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",204262,22407,18197,15778,16020,12974,13523,10647,12059,8790,13699,19174,20221,9415,5047,4201,2110,"Tucson city, Arizona",4392,2316,2311,1871,2142,1963,1538,1628,1854,1306,1711,1919,2161,1307,992,668,638
"G04085540","2014","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",33115,3214,1903,1949,3131,1157,1559,2112,2093,1362,2514,3551,3764,1905,974,1117,810,"Yuma city, Arizona",1541,912,685,633,888,646,705,667,689,600,700,969,904,509,388,482,346
"G05023290","2014","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",33016,2746,3169,2318,2722,2623,1665,1642,1007,1070,2055,2935,2163,2844,876,1188,1993,"Fayetteville city, Arkansas",2081,907,1059,880,1148,961,643,660,513,615,783,787,808,969,559,527,655
"G05024550","2014","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",34200,2942,3128,3689,2638,2091,1901,1619,1131,1473,3055,3408,2426,1059,1775,536,1329,"Fort Smith city, Arkansas",1440,927,939,1222,862,702,676,712,575,561,916,818,787,523,699,314,438
"G05035710","2014","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",27567,3357,1694,2163,1766,2173,1259,793,1927,1814,1798,2439,2142,1215,706,890,1431,"Jonesboro city, Arkansas",1427,989,694,868,596,1012,585,493,804,916,717,877,739,649,391,464,584
"G05041000","2014","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",77081,5473,4946,4940,5639,3487,4700,4840,3966,3427,5244,7434,8334,4644,3302,2899,3806,"Little Rock city, Arkansas",2480,1266,1015,1290,1413,879,1220,1287,966,987,1097,1280,1388,850,754,736,860
"G05050450","2014","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",26439,2691,2225,1767,2023,1964,2215,2192,933,983,1849,1953,1831,1611,1220,550,432,"North Little Rock city, Arkansas",1868,936,795,671,918,910,915,872,424,426,608,585,573,756,482,295,298
"G05066080","2014","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",25425,1878,1432,1565,1366,2012,1377,1469,1890,1776,2177,2643,2548,1453,850,658,331,"Springdale city, Arkansas",1610,956,648,796,598,740,725,776,923,673,801,937,1050,582,486,373,255
"G06000562","2014","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",30574,1788,1147,639,721,899,596,595,1092,841,2489,2152,4487,2696,2509,3936,3987,"Alameda city, California",1220,726,594,295,348,447,339,437,459,420,849,740,925,678,706,896,778
"G06000884","2014","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",27880,1950,1633,1843,1461,1253,1690,1572,867,872,1945,3492,3334,2433,1187,1410,938,"Alhambra city, California",1385,537,616,675,622,515,688,511,409,463,624,833,692,653,468,526,415
"G06002000","2014","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",99402,4439,5048,3631,4629,4494,5197,3390,4538,4711,7966,9035,13647,8689,5758,7611,6619,"Anaheim city, California",3185,922,1227,998,1125,1061,1081,933,1054,1103,1244,1289,1760,1375,1212,1371,1094
"G06002252","2014","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",34536,1729,1990,1789,1261,1280,1240,1895,1653,1590,3114,3264,3850,2943,3541,2055,1342,"Antioch city, California",2024,824,776,881,630,721,503,705,852,720,912,750,1006,918,1017,640,569
"G06002364","2014","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",23822,858,1373,1422,2036,1572,1285,1192,1173,1042,2294,2963,2387,1428,1054,951,792,"Apple Valley town, California",1644,495,629,639,877,632,581,471,599,422,913,1007,823,542,437,491,433
"G06002553","2014","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",40282,3632,3431,2552,1519,2522,2279,2625,1350,1123,2593,3859,3860,2841,1675,2348,2073,"Arden-Arcade CDP, California",2399,870,826,766,539,964,812,959,401,544,852,1005,880,717,584,789,570
