GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AC2YE001,AC2YE002,AC2YE003,AC2YE004,AC2YE005,AC2YE006,AC2YE007,AC2YE008,AC2YE009,AC2YE010,AC2YE011,AC2YE012,AC2YE013,AC2YE014,AC2YE015,AC2YE016,AC2YE017,NAME_M,AC2YM001,AC2YM002,AC2YM003,AC2YM004,AC2YM005,AC2YM006,AC2YM007,AC2YM008,AC2YM009,AC2YM010,AC2YM011,AC2YM012,AC2YM013,AC2YM014,AC2YM015,AC2YM016,AC2YM017
"G01007000","2015","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",93467,13917,8382,9062,7286,4860,5481,4724,5356,2969,7270,7670,7536,4448,1672,1577,1257,"Birmingham city, Alabama",2898,1823,1461,1512,1403,976,1182,1230,1145,893,1556,1415,1410,1234,638,680,431
"G01021184","2015","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",25709,2358,1777,2000,1562,1135,1557,1379,1268,1144,2167,2889,2294,1553,751,670,1205,"Dothan city, Alabama",771,333,410,402,289,286,335,273,236,264,358,528,350,294,179,165,251
"G01035896","2015","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",32767,923,813,569,1002,1355,1340,1215,1443,1402,2711,3007,3928,3800,2683,3333,3243,"Hoover city, Alabama",2053,458,371,353,540,558,515,561,560,641,1023,782,904,882,716,867,817
"G01037000","2015","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",83144,6807,6361,5011,5073,4597,4782,4244,3214,3149,5395,7684,7891,5853,4364,4831,3888,"Huntsville city, Alabama",2373,1486,1483,1302,1162,955,1344,1032,1111,1022,893,1510,1351,1108,1095,910,933
"G01050000","2015","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",77701,9397,5866,6160,5886,4505,3573,4387,4146,2486,6008,7186,5969,5618,1721,2432,2361,"Mobile city, Alabama",2772,1337,1150,1139,1322,1120,810,907,917,659,853,1219,928,1142,471,793,824
"G01051000","2015","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",80655,8234,5278,5834,5329,4199,5370,4435,4587,2747,5754,8183,7849,4765,2487,2517,3087,"Montgomery city, Alabama",2307,1467,1396,1358,1267,1046,1341,1024,1449,628,1255,1161,1213,938,803,761,895
"G01077256","2015","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",33270,4352,2328,1309,2325,1888,1998,1273,1504,1121,2817,2408,3556,2043,1434,1469,1445,"Tuscaloosa city, Alabama",1647,887,868,520,596,735,645,482,646,436,972,745,835,698,491,538,400
"G02003000","2015","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",104936,3503,2839,2405,3012,4364,3497,4289,4830,2954,6953,10761,14388,13552,8237,10192,9160,"Anchorage municipality, Alaska",1982,1114,921,731,924,1145,1018,1151,1175,810,1324,1526,2142,1786,1382,1462,1464
"G04004720","2015","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",25329,1588,738,1044,1067,1489,1439,1115,1468,1495,2403,3561,3709,2513,748,751,201,"Avondale city, Arizona",1223,653,268,436,403,552,606,466,592,656,684,957,721,652,328,363,205
"G04010670","2015","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",28703,766,1208,1397,1047,1710,1906,1273,1652,1744,3112,3648,4117,2269,1361,1032,461,"Casas Adobes CDP, Arizona",1624,352,543,410,427,608,697,456,531,588,830,789,1036,533,703,392,263
