GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFJ8E001,AFJ8E002,AFJ8E003,AFJ8E004,AFJ8E005,AFJ8E006,AFJ8E007,AFJ8E008,AFJ8E009,AFJ8E010,AFJ8E011,AFJ8E012,AFJ8E013,AFJ8E014,AFJ8E015,AFJ8E016,AFJ8E017,NAME_M,AFJ8M001,AFJ8M002,AFJ8M003,AFJ8M004,AFJ8M005,AFJ8M006,AFJ8M007,AFJ8M008,AFJ8M009,AFJ8M010,AFJ8M011,AFJ8M012,AFJ8M013,AFJ8M014,AFJ8M015,AFJ8M016,AFJ8M017
"G01007000","2016","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",90117,13274,6400,7517,5991,5619,5042,4562,4607,3036,7327,9533,6945,4474,2064,1657,2069,"Birmingham city, Alabama",3280,1837,1216,1518,1095,1145,1181,1015,943,857,1349,1422,1214,888,836,561,605
"G01021184","2016","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",26119,2837,1813,1834,1831,1342,1338,1517,1101,774,2043,2520,2808,1524,845,938,1054,"Dothan city, Alabama",1073,551,317,348,334,273,272,302,322,197,378,580,351,284,192,229,220
"G01035896","2016","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",32110,1051,1126,749,676,1616,951,1769,1083,1709,1881,2585,3795,2614,3415,2680,4410,"Hoover city, Alabama",1725,624,599,561,426,761,427,653,502,825,994,706,839,786,925,791,815
"G01037000","2016","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",80540,6574,5676,3873,5396,4453,3009,3492,2886,3565,5477,6921,7561,7226,4447,4874,5110,"Huntsville city, Alabama",2701,1376,1254,1067,1167,1125,764,1078,707,922,1331,1523,1118,1488,1082,1027,1035
"G01050000","2016","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",79188,9582,5613,6774,4826,4459,4706,3968,3505,4049,6091,6788,6828,4847,2556,2275,2321,"Mobile city, Alabama",2424,1658,1163,1239,1046,1190,1122,987,974,980,1234,1241,1082,1024,684,627,542
"G01051000","2016","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",80899,7921,5727,6494,4295,5478,5741,3200,3369,3563,6988,6376,7905,6277,2368,2527,2670,"Montgomery city, Alabama",1817,1559,1196,1307,1140,1377,1272,804,942,978,1267,1143,1369,1256,813,621,657
"G01077256","2016","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",36313,3990,2634,2413,2658,3002,2166,1474,1356,1622,3802,2352,3228,1582,918,1431,1685,"Tuscaloosa city, Alabama",1884,1057,1013,728,1027,891,874,562,672,580,1128,744,1040,642,365,566,577
"G02003000","2016","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",105249,2257,2797,2030,3008,3146,3199,2431,3515,4082,7600,11200,15469,12744,9651,11374,10746,"Anchorage municipality, Alaska",1864,632,1006,622,783,1027,885,871,1016,1187,1375,1649,1880,2052,1769,1586,1492
"G04004720","2016","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",25849,1541,967,506,1268,1019,1754,1431,1539,836,2368,3693,3818,1952,1538,1068,551,"Avondale city, Arizona",1421,704,478,411,739,566,651,846,585,482,957,928,971,859,862,419,244
"G04010670","2016","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",29473,1052,1237,900,1441,1092,1602,1220,1379,1258,2754,3717,3644,3395,1169,1991,1622,"Casas Adobes CDP, Arizona",1765,362,519,464,547,439,558,552,631,460,786,993,828,962,530,823,517
