        AF48E001:    Total
        AF48E002:    Less than $10,000
        AF48E003:    $10,000 to $14,999
        AF48E004:    $15,000 to $19,999
        AF48E005:    $20,000 to $24,999
        AF48E006:    $25,000 to $29,999
        AF48E007:    $30,000 to $34,999
        AF48E008:    $35,000 to $39,999
        AF48E009:    $40,000 to $44,999
        AF48E010:    $45,000 to $49,999
        AF48E011:    $50,000 to $59,999
        AF48E012:    $60,000 to $74,999
        AF48E013:    $75,000 to $99,999
        AF48E014:    $100,000 to $124,999
        AF48E015:    $125,000 to $149,999
        AF48E016:    $150,000 to $199,999
        AF48E017:    $200,000 or more
