GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHFCE001,AHFCE002,AHFCE003,AHFCE004,AHFCE005,AHFCE006,AHFCE007,AHFCE008,AHFCE009,AHFCE010,AHFCE011,AHFCE012,AHFCE013,AHFCE014,AHFCE015,AHFCE016,AHFCE017,NAME_M,AHFCM001,AHFCM002,AHFCM003,AHFCM004,AHFCM005,AHFCM006,AHFCM007,AHFCM008,AHFCM009,AHFCM010,AHFCM011,AHFCM012,AHFCM013,AHFCM014,AHFCM015,AHFCM016,AHFCM017
"G01007000","2017","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",90186,11377,8336,7932,6778,5974,6035,5166,3830,4014,6081,6435,8049,4050,2016,2113,2000,"Birmingham city, Alabama",3374,1494,1368,1687,1307,1495,1207,1359,1197,1171,1206,1178,1441,1028,849,639,511
"G01021184","2017","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",25192,2222,1656,1552,1483,1200,1697,1504,1494,922,1609,2255,2846,1777,1071,810,1094,"Dothan city, Alabama",875,343,306,297,290,236,340,280,324,222,236,407,405,310,316,198,309
"G01035896","2017","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",34058,1119,762,755,1515,660,1786,1054,1247,1117,2709,2889,3775,4175,3088,2956,4451,"Hoover city, Alabama",1330,671,421,487,620,316,883,600,539,523,926,902,1089,1182,986,865,1110
"G01037000","2017","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",84750,5648,6989,5833,4871,4581,4324,4201,2849,2674,4487,7554,7866,7063,4898,5542,5370,"Huntsville city, Alabama",2687,1275,1641,1196,1309,1000,1188,1157,940,1148,939,1393,1218,1368,1145,1322,1108
"G01050000","2017","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",78145,10139,5287,7481,4604,3790,4027,3496,3160,3517,5099,7298,7690,4328,3266,2041,2922,"Mobile city, Alabama",2673,1735,992,1494,1138,932,956,1174,767,1043,1157,1198,1489,1059,997,627,602
"G01051000","2017","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",78217,8806,5101,5342,4768,4260,4026,4299,4034,3756,5148,8370,7621,5160,2367,2493,2666,"Montgomery city, Alabama",2248,1481,1019,1124,1231,1045,950,1088,1171,1211,1115,1378,1415,1134,656,650,693
"G01077256","2017","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",36209,4485,2192,2199,2362,1868,887,1551,1577,1421,3910,3720,3475,2104,1607,1354,1497,"Tuscaloosa city, Alabama",1769,812,724,822,968,675,503,645,783,658,1195,1220,1009,767,555,554,560
"G02003000","2017","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",107373,3897,1871,2080,4157,4153,2720,3699,4667,3082,7780,13443,14033,12705,9102,10570,9414,"Anchorage municipality, Alaska",1962,1236,663,677,1218,1185,898,1088,1418,776,1374,1982,1831,1834,1565,1763,1350
"G04004720","2017","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",26223,1473,1041,1224,969,1308,2115,895,936,1357,3478,3048,2977,2258,998,1497,649,"Avondale city, Arizona",1632,659,497,685,479,653,945,514,440,613,1156,989,810,789,483,711,491
"G04007940","2017","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",18135,497,605,413,748,367,774,384,679,761,2018,1825,3747,2911,1243,715,448,"Buckeye city, Arizona",1433,314,365,258,363,353,497,272,340,484,721,681,967,794,584,348,432
"G04010670","2017","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",30011,1551,1029,712,1534,1005,1895,1242,1257,1131,2569,4159,4530,3519,1101,1945,832,"Casas Adobes CDP, Arizona",2003,560,535,351,586,523,754,504,431,602,848,1086,884,989,372,512,383
"G04012000","2017","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",91671,3381,1350,2122,2692,3066,3843,3710,3887,2769,6900,11266,10442,11302,6680,9015,9246,"Chandler city, Arizona",2678,885,594,785,965,834,873,1173,1095,963,1401,1553,1422,1652,1218,1380,1372
