        AH1OE001:    Total
        AH1OE002:    Less than $10,000
        AH1OE003:    $10,000 to $14,999
        AH1OE004:    $15,000 to $19,999
        AH1OE005:    $20,000 to $24,999
        AH1OE006:    $25,000 to $29,999
        AH1OE007:    $30,000 to $34,999
        AH1OE008:    $35,000 to $39,999
        AH1OE009:    $40,000 to $44,999
        AH1OE010:    $45,000 to $49,999
        AH1OE011:    $50,000 to $59,999
        AH1OE012:    $60,000 to $74,999
        AH1OE013:    $75,000 to $99,999
        AH1OE014:    $100,000 to $124,999
        AH1OE015:    $125,000 to $149,999
        AH1OE016:    $150,000 to $199,999
        AH1OE017:    $200,000 or more
