GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJCTE001,AJCTE002,AJCTE003,AJCTE004,AJCTE005,AJCTE006,AJCTE007,AJCTE008,AJCTE009,AJCTE010,AJCTE011,AJCTE012,AJCTE013,AJCTE014,AJCTE015,AJCTE016,AJCTE017,NAME_M,AJCTM001,AJCTM002,AJCTM003,AJCTM004,AJCTM005,AJCTM006,AJCTM007,AJCTM008,AJCTM009,AJCTM010,AJCTM011,AJCTM012,AJCTM013,AJCTM014,AJCTM015,AJCTM016,AJCTM017
"G01003076","2018","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",23305,4605,1045,1212,1535,816,1085,831,303,563,947,1189,2800,1752,1263,1417,1942,"Auburn city, Alabama",1912,1318,527,522,723,472,587,515,273,350,530,526,875,591,596,520,796
"G01007000","2018","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",87831,12100,7875,6929,5645,5361,5008,4014,3790,3212,7330,6221,9112,5715,1713,1616,2190,"Birmingham city, Alabama",3181,1898,1352,1268,1230,1330,1106,1071,1216,1048,1337,1200,1966,1246,694,559,633
"G01021184","2018","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",26031,2302,1637,1530,1206,1321,1364,1500,1333,1009,1838,2570,2554,2500,1202,1181,984,"Dothan city, Alabama",933,404,347,332,227,299,329,355,317,249,281,351,425,438,298,181,203
"G01035896","2018","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",31770,1165,1201,500,1230,1268,931,1531,812,715,2416,1651,4300,2933,3206,3893,4018,"Hoover city, Alabama",1447,629,668,344,600,569,498,748,438,408,811,493,942,735,710,868,895
"G01037000","2018","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",84848,6459,5687,4520,3554,2843,4229,4036,4481,3502,6106,8837,8833,6630,4016,4672,6443,"Huntsville city, Alabama",2592,1250,1350,1300,883,798,1255,1088,1420,1194,1312,1706,1587,1253,885,979,1189
"G01050000","2018","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",79748,9344,7230,6707,4312,4818,3798,4481,4362,2718,4829,7159,8706,4660,1925,2103,2596,"Mobile city, Alabama",2762,1710,1236,1273,1099,1462,1064,1019,1025,743,1119,1252,1326,1161,694,561,689
"G01051000","2018","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",77024,7693,4383,5993,4040,2905,3786,3823,3116,3469,5683,7435,9592,5534,2925,3587,3060,"Montgomery city, Alabama",2423,1231,1012,1412,1233,884,976,1081,845,1124,1361,1346,1632,1019,723,958,661
"G01077256","2018","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",36759,6064,2050,1524,2376,1856,1760,1560,1445,1495,2562,2757,3107,2654,1870,1657,2022,"Tuscaloosa city, Alabama",2281,1440,809,618,921,728,771,799,667,909,928,844,993,1115,823,578,615
"G02003000","2018","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",105285,3318,2578,2984,2446,3491,1916,4142,2958,3370,8233,12453,14662,12623,7913,10317,11881,"Anchorage municipality, Alaska",2132,824,854,928,808,1033,629,1151,839,910,1855,1884,1824,1781,1611,1557,1657
"G04004720","2018","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",27840,1330,760,1006,868,994,1454,1161,1591,1416,2813,2123,4652,3148,1651,1629,1244,"Avondale city, Arizona",1624,479,425,518,520,396,716,678,668,593,756,626,799,732,674,672,846
"G04007940","2018","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",21069,691,85,1157,767,733,1014,790,584,459,2616,2874,4155,2065,1066,1020,993,"Buckeye city, Arizona",1522,322,98,662,469,346,573,523,350,466,909,842,1170,832,594,552,478
"G04010670","2018","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",29825,1104,1624,876,1120,1061,1069,2251,1579,1451,1945,3965,4047,2982,2028,957,1766,"Casas Adobes CDP, Arizona",1996,488,712,415,561,480,358,820,552,520,607,973,1110,831,591,365,712
"G04012000","2018","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",91969,3440,2480,1901,3289,2462,3420,3186,2684,2828,5102,8591,14190,11559,6498,9697,10642,"Chandler city, Arizona",2478,873,918,776,956,869,917,870,806,699,998,1239,1594,1677,1350,1132,1399
"G04023620","2018","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",24569,2063,812,1573,921,736,839,1782,1010,635,2275,2349,2541,2127,1628,1763,1515,"Flagstaff city, Arizona",1717,690,476,790,507,465,448,859,553,392,826,770,891,645,603,571,460
