        AJY9E001:    Total
        AJY9E002:    Less than $10,000
        AJY9E003:    $10,000 to $14,999
        AJY9E004:    $15,000 to $19,999
        AJY9E005:    $20,000 to $24,999
        AJY9E006:    $25,000 to $29,999
        AJY9E007:    $30,000 to $34,999
        AJY9E008:    $35,000 to $39,999
        AJY9E009:    $40,000 to $44,999
        AJY9E010:    $45,000 to $49,999
        AJY9E011:    $50,000 to $59,999
        AJY9E012:    $60,000 to $74,999
        AJY9E013:    $75,000 to $99,999
        AJY9E014:    $100,000 to $124,999
        AJY9E015:    $125,000 to $149,999
        AJY9E016:    $150,000 to $199,999
        AJY9E017:    $200,000 or more
