GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G01003076","2019","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",26156,3906,2710,1262,1487,147,450,1686,1122,979,1377,1539,2083,1973,1574,1745,2116,"Auburn city, Alabama",2687,1314,1213,913,909,210,454,1045,725,619,778,756,1040,791,780,819,740
"G01007000","2019","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",93300,15364,6434,5964,5516,3961,7854,4169,5043,3968,7332,6175,7183,4390,3724,3396,2827,"Birmingham city, Alabama",3618,2028,1460,1435,1326,1271,1766,1301,1458,1182,1495,1381,1362,1345,986,1201,905
"G01021184","2019","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",27103,2527,1615,1838,1671,1374,1785,1173,1067,802,2211,2469,2805,1901,1243,1282,1340,"Dothan city, Alabama",1044,523,338,394,418,342,386,273,306,204,488,407,448,316,296,312,304
"G01035896","2019","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",32461,662,348,778,725,1488,1379,1202,333,946,1994,2661,4306,3868,2277,3962,5532,"Hoover city, Alabama",1606,358,187,634,452,677,657,758,264,448,608,919,1007,1078,802,797,1114
"G01037000","2019","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",88930,6088,5293,4848,5109,4613,5618,3135,4310,3276,5108,7830,9361,7573,5094,6210,5464,"Huntsville city, Alabama",2823,1423,1414,1350,1291,1427,1303,1112,1241,865,1263,1425,1917,1360,1241,1374,1253
"G01050000","2019","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",77628,7382,3953,5641,4477,4084,4842,3568,3529,3757,7466,8129,7508,5126,2211,2912,3043,"Mobile city, Alabama",2367,1403,1104,1203,1042,963,982,1082,1002,1294,1582,1550,1525,1090,619,663,782
"G01051000","2019","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",78225,6866,3185,3863,3498,4217,4107,3694,3865,4924,7825,8369,8066,6665,2686,3385,3010,"Montgomery city, Alabama",2045,1572,880,926,1066,1331,1169,1307,1164,1380,1762,2034,1493,1363,860,908,764
"G01077256","2019","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",36779,4597,1887,2642,1707,1038,3459,2657,1370,974,2137,3252,2199,2952,1157,2031,2720,"Tuscaloosa city, Alabama",2172,1325,903,1228,1159,560,1318,1157,704,600,859,1112,780,1135,428,684,863
"G02003000","2019","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",105198,4044,2878,2804,2045,2920,4010,2944,3884,3799,7196,11300,13751,12129,9340,11374,10780,"Anchorage municipality, Alaska",2489,1233,1050,1002,795,1155,1212,990,1026,1253,1408,2029,1826,1843,1732,1578,1717
"G04004720","2019","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",25339,1093,136,741,506,1178,1251,766,1492,780,1881,3216,4838,2576,2253,1371,1261,"Avondale city, Arizona",1647,601,145,478,323,575,531,380,784,490,680,968,1045,691,716,549,702
"G04007940","2019","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",21691,330,697,440,261,43,822,416,1100,761,963,2988,4688,2215,2531,1990,1446,"Buckeye city, Arizona",1691,238,391,408,225,71,483,301,596,489,431,1049,1077,1079,898,689,673
"G04010670","2019","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",29337,1102,738,759,657,951,1477,1346,1798,1454,2170,2891,4131,4185,2087,2059,1532,"Casas Adobes CDP, Arizona",2194,639,474,358,359,439,703,690,746,639,837,791,828,1238,694,676,556
"G04012000","2019","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",94035,2285,1636,2095,1954,1968,3220,3234,3479,2683,6706,11719,13208,11086,7771,9769,11222,"Chandler city, Arizona",2971,824,797,685,899,843,856,855,973,793,1545,2155,1761,1535,1398,1360,1472
"G04023620","2019","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",25609,2399,1479,785,566,919,616,2286,1031,629,2352,1860,2820,3093,1077,2230,1467,"Flagstaff city, Arizona",1576,906,699,515,300,532,453,1092,422,411,862,694,736,1047,509,629,548
"G04027400","2019","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",81235,2003,823,1088,1113,1860,1725,2090,1821,2529,4628,7448,11785,14067,8530,9475,10250,"Gilbert town, Arizona",2554,912,459,369,511,677,504,757,720,838,1137,1435,1651,1954,1158,1438,1475
"G04027820","2019","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",81065,6802,3683,2642,5005,2896,3514,2609,3779,3869,7371,8755,9993,7102,4294,5387,3364,"Glendale city, Arizona",3085,1577,1284,744,1146,977,984,729,1126,1054,1369,1400,1604,1290,1013,1261,771
"G04028380","2019","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",26158,998,262,438,833,540,846,320,899,1358,1968,2678,4259,3081,2877,3061,1740,"Goodyear city, Arizona",1654,553,221,514,566,394,607,241,708,667,639,1012,1230,824,924,786,565
"G04046000","2019","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",187111,7322,5796,6463,7599,6246,10078,9050,7582,8108,18074,22169,25887,16792,13036,11245,11664,"Mesa city, Arizona",4486,1418,1173,1399,1458,1349,1817,1682,1617,1715,2089,2187,2049,2339,1848,1584,1668
"G04054050","2019","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",66318,4152,1605,2054,1593,1790,2203,3166,2016,2509,4528,6952,8944,7857,6191,6026,4732,"Peoria city, Arizona",2428,1115,663,787,713,679,811,979,641,773,1207,1520,1367,1390,1129,968,941
"G04055000","2019","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",586878,32606,19303,23105,27768,24873,24078,28499,32662,25165,50680,60354,77616,52608,32093,33958,41510,"Phoenix city, Arizona",7653,3723,2669,3029,3573,3168,2631,3497,4053,3068,3725,4010,4781,3734,2994,2970,2739
"G04064210","2019","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",30387,573,214,421,840,1149,971,614,2096,1609,3285,3156,6289,4350,2195,1882,743,"San Tan Valley CDP, Arizona",2265,514,222,433,506,839,727,348,1073,793,1218,1133,1403,1405,898,900,581
"G04065000","2019","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",123791,4538,3157,3348,4783,3539,3564,4551,3417,4715,8374,11880,12647,11773,8384,11014,24107,"Scottsdale city, Arizona",3628,1382,833,928,1503,1096,1031,1306,896,1304,1431,2035,1760,1852,1633,1809,2137
"G04071510","2019","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",49127,1945,345,1132,1065,985,2467,2147,2169,1702,3708,6185,8995,4689,4586,4963,2044,"Surprise city, Arizona",2284,679,207,463,409,550,919,958,1013,591,1116,1223,1683,1136,1210,1394,633
"G04073000","2019","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",76669,6285,2472,2112,2776,2422,2757,2353,4283,3890,5633,7352,10278,8931,4879,5206,5040,"Tempe city, Arizona",2672,1511,984,956,1070,810,1029,927,1229,1293,1534,1815,1659,1648,1180,1056,1015
"G04077000","2019","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",217993,19944,11439,12651,15189,11627,14352,13324,11443,10560,17305,21334,25092,14306,7486,7015,4926,"Tucson city, Arizona",4317,2717,1698,2062,2334,2148,2332,2051,1851,1872,2092,2623,2445,1706,1511,1184,1160
"G04085540","2019","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",34971,3568,1954,1575,1893,1460,2019,2308,1717,1968,2594,2941,4571,3178,1500,968,757,"Yuma city, Arizona",2249,1334,997,706,852,687,1015,955,701,1273,796,811,1185,1180,663,502,442
"G05015190","2019","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",26319,2670,791,2044,1176,1395,1229,1145,2111,1008,1139,2587,3912,2140,704,717,1551,"Conway city, Arkansas",1523,1281,468,761,634,678,670,715,1043,539,426,891,914,943,495,520,607
"G05023290","2019","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",36705,3997,1434,3230,1899,2563,1906,2181,1182,2314,1828,2816,3905,2122,1717,1303,2308,"Fayetteville city, Arkansas",1807,1172,788,1055,998,931,820,1115,609,1164,776,1065,1178,669,808,714,805
"G05024550","2019","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",36210,2502,2185,2401,2766,3624,2211,1297,1457,1798,4221,2340,3594,2026,1561,1227,1000,"Fort Smith city, Arkansas",1790,1054,721,971,1054,1043,820,553,754,1085,1184,840,1056,826,652,643,529
"G05035710","2019","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",29688,2190,1494,2750,1645,3026,1912,709,1903,557,790,3036,2833,2505,1691,1114,1533,"Jonesboro city, Arkansas",1606,1079,716,1326,790,1390,735,362,956,481,477,1154,756,930,690,564,871
"G05041000","2019","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",80063,5886,3984,3704,3749,4036,3043,4742,3983,4014,5569,10637,7753,6499,3321,4339,4804,"Little Rock city, Arkansas",3316,1462,1305,1227,1254,1466,1119,1353,1284,1499,1269,1890,1570,1253,907,945,1052
"G05050450","2019","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",27903,2666,2721,882,1644,1813,1240,2745,1044,1151,2243,2187,1978,2904,955,1172,558,"North Little Rock city, Arkansas",2003,951,1104,513,890,841,644,1011,748,724,1107,823,579,1091,429,504,325
"G05060410","2019","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",24297,1157,780,751,603,840,1625,1085,1076,1116,1778,3351,3335,1844,1280,1362,2314,"Rogers city, Arkansas",1614,640,477,602,448,527,747,617,496,602,684,831,854,610,499,504,649
"G05066080","2019","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",26443,1819,785,1502,1784,1792,1615,1419,1685,1616,2495,2429,2080,1973,1215,892,1342,"Springdale city, Arkansas",1905,952,602,901,909,839,1021,873,822,763,860,971,731,854,579,436,746
