GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANY7E001,ANY7E002,ANY7E003,ANY7E004,ANY7E005,ANY7E006,ANY7E007,ANY7E008,ANY7E009,ANY7E010,ANY7E011,ANY7E012,ANY7E013,ANY7E014,ANY7E015,ANY7E016,ANY7E017,NAME_M,ANY7M001,ANY7M002,ANY7M003,ANY7M004,ANY7M005,ANY7M006,ANY7M007,ANY7M008,ANY7M009,ANY7M010,ANY7M011,ANY7M012,ANY7M013,ANY7M014,ANY7M015,ANY7M016,ANY7M017
"G01003076","2021","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",29136,4896,2233,1075,920,842,844,2545,677,788,2063,1651,2712,1553,1184,2882,2271,"Auburn city, Alabama",1766,1562,923,608,897,530,626,1510,562,449,1104,742,1003,690,640,1022,930
"G01007000","2021","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",87570,11225,6758,6355,6168,4931,6031,5118,4357,3465,7718,5754,7154,4493,2300,2721,3022,"Birmingham city, Alabama",3579,1849,1554,1553,1555,1187,1455,1215,1278,1291,1567,1438,1279,931,668,787,1014
"G01021184","2021","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",30301,2964,1971,1459,1693,2253,1971,1622,1191,1311,2510,2614,2964,1511,1274,1588,1405,"Dothan city, Alabama",1019,573,410,414,420,692,513,471,322,377,442,582,632,353,333,526,432
"G01035896","2021","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",36721,1737,834,1444,641,626,901,1051,1153,457,1710,3510,4525,4448,3503,4505,5676,"Hoover city, Alabama",2222,790,474,813,498,493,592,687,595,269,904,960,1414,1211,1146,1066,1168
"G01037000","2021","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",96551,6023,3768,3009,2352,3514,3602,5619,5182,3098,6376,7685,14064,8839,6196,7790,9434,"Huntsville city, Alabama",2703,1617,1072,1017,816,1285,1224,2235,1472,1431,1441,1543,2342,1664,1613,2139,1824
"G01050000","2021","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",77991,8044,4964,4979,4032,4906,4642,4747,3103,4497,5019,7751,6874,4885,3055,2911,3582,"Mobile city, Alabama",3003,1552,1195,1055,883,1161,1331,1113,900,1268,1093,1478,1255,1286,851,705,901
"G01051000","2021","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",81529,7580,6444,4736,4531,4862,4365,3795,3474,2361,6577,8115,10218,5626,3087,2832,2926,"Montgomery city, Alabama",2059,1759,1819,1409,1355,1314,1205,1366,996,897,1487,1692,1868,1167,936,837,943
"G01077256","2021","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",39266,5271,2683,1629,2554,2745,2380,1719,1142,1210,2339,3495,3391,2754,1569,1999,2386,"Tuscaloosa city, Alabama",2801,1811,1122,668,1118,994,997,811,796,632,988,1165,990,793,613,920,824
"G02003000","2021","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",109584,5229,2566,3080,2847,3391,3533,2897,3975,2687,5703,11536,14557,11607,10335,12487,13154,"Anchorage municipality, Alaska",2068,1772,944,965,850,1062,1032,1046,1404,889,1208,1922,2008,2156,1736,1927,1772
"G04004720","2021","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",26611,1879,1023,420,488,614,1084,866,1139,1262,1640,3782,3250,3649,2045,2666,804,"Avondale city, Arizona",1944,876,629,384,453,551,602,745,634,619,754,1179,922,1124,858,825,334
"G04007940","2021","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"1600000US0407940","0407940","Buckeye city, Arizona",30913,727,408,558,583,1039,572,882,1571,990,2338,5619,5333,3052,2591,2569,2081,"Buckeye city, Arizona",2250,655,296,491,490,728,274,782,681,714,985,1697,1543,1017,970,931,869
"G04010670","2021","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"1600000US0410670","0410670","Casas Adobes CDP, Arizona",31869,1095,371,737,949,955,1901,1381,1359,1362,2919,3585,5095,4689,1560,1910,2001,"Casas Adobes CDP, Arizona",1995,485,194,364,485,444,1002,667,630,520,979,1036,1280,1295,546,797,586
"G04012000","2021","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"1600000US0412000","0412000","Chandler city, Arizona",107668,3805,1676,2153,2077,1883,2695,2031,2710,3134,8867,9634,15817,14128,10829,11561,14668,"Chandler city, Arizona",2846,1256,743,786,790,848,905,618,769,998,1575,1750,2586,1872,1924,1584,2049
"G04023620","2021","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"1600000US0423620","0423620","Flagstaff city, Arizona",29435,2619,1611,1695,1213,808,1586,1189,863,583,1857,3567,3137,2785,1823,1881,2218,"Flagstaff city, Arizona",1984,1011,915,936,839,659,733,700,514,444,772,861,1065,774,675,643,816
"G04027400","2021","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"1600000US0427400","0427400","Gilbert town, Arizona",93472,2027,988,642,1164,2012,1439,2319,2533,2922,6059,7115,14284,11817,9329,12817,16005,"Gilbert town, Arizona",2773,752,610,349,433,891,536,1058,1003,1285,1395,1438,1959,2089,1604,2161,2017
"G04027820","2021","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"1600000US0427820","0427820","Glendale city, Arizona",90604,6617,3478,3234,3455,4261,4241,3226,3045,4919,6121,10935,10763,10293,5787,5957,4272,"Glendale city, Arizona",2635,1434,1281,1283,897,1527,1124,1117,809,1430,1315,2028,1851,1539,1282,1465,879
"G04028380","2021","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"1600000US0428380","0428380","Goodyear city, Arizona",33130,874,96,459,451,508,1641,1028,2439,1273,1948,2925,4909,4423,3788,3636,2732,"Goodyear city, Arizona",2366,449,164,333,403,416,1209,607,1340,882,925,1007,1320,1402,950,1036,841
"G04046000","2021","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"1600000US0446000","0446000","Mesa city, Arizona",199112,9205,5009,6446,7176,7473,8743,9682,9260,7654,16091,20525,29295,20227,14020,14266,14040,"Mesa city, Arizona",5108,1971,1217,1322,1347,1326,1864,1650,1755,1495,2242,2431,2469,1915,1858,1737,1809
"G04054050","2021","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"1600000US0454050","0454050","Peoria city, Arizona",75479,2106,1189,1858,2152,1895,2795,2065,3460,2200,4300,6755,9048,11225,6490,8058,9883,"Peoria city, Arizona",3016,710,547,868,727,607,1030,778,1290,859,1149,1572,1751,2059,1345,1669,1991
"G04055000","2021","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"1600000US0455000","0455000","Phoenix city, Arizona",602039,33768,18078,18688,23705,22785,26416,25216,25238,26696,44061,62074,82055,61098,38544,42114,51503,"Phoenix city, Arizona",7755,3694,3250,2347,2565,2652,3063,3029,2595,3461,3618,3971,5533,4462,2985,3712,3965
"G04058150","2021","AZ",,,"Arizona","04",,,"Queen Creek town","58150",,,,,,,,,,,,,,,,"1600000US0458150","0458150","Queen Creek town, Arizona",20981,174,179,259,182,139,313,525,56,306,826,1288,2624,4006,3415,3233,3456,"Queen Creek town, Arizona",1394,150,166,251,230,225,233,360,94,316,554,575,714,1396,1297,1111,1033
"G04064210","2021","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"1600000US0464210","0464210","San Tan Valley CDP, Arizona",31781,648,547,479,743,416,1207,1018,1506,1102,2387,3959,4173,5479,4441,2360,1316,"San Tan Valley CDP, Arizona",2994,446,411,351,561,331,553,776,833,653,979,1411,1353,1697,1481,1214,862
"G04065000","2021","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"1600000US0465000","0465000","Scottsdale city, Arizona",119122,5880,2003,1757,2849,3016,3162,2860,3895,3146,5903,11439,14003,13644,9289,10974,25302,"Scottsdale city, Arizona",3184,1426,821,746,938,1168,993,901,1245,1041,1407,2333,1794,1993,2027,1745,2324
"G04071510","2021","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"1600000US0471510","0471510","Surprise city, Arizona",55339,1309,1653,710,1465,910,1120,1645,2583,1962,4073,7946,10898,6731,5514,3898,2922,"Surprise city, Arizona",2555,674,944,380,646,547,431,683,927,882,1196,1422,1936,1446,1223,1081,889
"G04073000","2021","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",77306,3950,2810,2568,2375,2377,5088,3364,3201,2491,6272,7416,10283,7547,5513,6327,5724,"Tempe city, Arizona",2767,1178,1024,996,997,984,1306,1045,1118,1049,1706,1498,1725,1486,1313,1229,1162
"G04077000","2021","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",223068,17760,11176,10870,13246,11619,12208,11719,11245,11103,18191,22148,28441,14149,11666,9411,8116,"Tucson city, Arizona",4966,2579,1897,2220,2389,1520,1772,1844,2003,1996,2460,2811,3050,1916,1843,1737,1341
"G04085540","2021","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",36530,2720,866,658,2415,1332,1468,2312,2097,2235,4212,3703,4215,3389,2331,1040,1537,"Yuma city, Arizona",1990,943,448,375,956,742,653,926,973,871,1162,1233,1147,1156,987,510,702
"G05015190","2021","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"1600000US0515190","0515190","Conway city, Arkansas",25251,2835,871,901,558,2463,1356,1415,908,325,2339,2839,2839,1534,783,1879,1406,"Conway city, Arkansas",1367,808,469,623,329,1035,753,702,645,243,955,992,1205,622,498,684,742
