GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AP2FE001,AP2FE002,AP2FE003,AP2FE004,AP2FE005,AP2FE006,AP2FE007,AP2FE008,AP2FE009,AP2FE010,AP2FE011,AP2FE012,AP2FE013,AP2FE014,AP2FE015,AP2FE016,AP2FE017,NAME_M,AP2FM001,AP2FM002,AP2FM003,AP2FM004,AP2FM005,AP2FM006,AP2FM007,AP2FM008,AP2FM009,AP2FM010,AP2FM011,AP2FM012,AP2FM013,AP2FM014,AP2FM015,AP2FM016,AP2FM017
"G01003076","2022","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",31076,5556,868,2353,974,819,1611,587,643,683,2460,2322,2329,2867,1981,2350,2673,"Auburn city, Alabama",1683,1460,510,842,509,475,810,461,428,526,933,814,774,776,759,582,702
"G01007000","2022","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",88889,10039,8137,5121,6957,4596,5510,4606,2675,2921,8131,6996,9561,3866,2905,3265,3603,"Birmingham city, Alabama",3067,1923,1829,1412,1575,1391,1277,1328,840,1015,2017,1428,1886,1074,997,931,985
"G01021184","2022","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",28281,1993,1887,1270,1440,1157,1031,1279,1736,1397,2124,2102,3856,2282,1229,1732,1766,"Dothan city, Alabama",1133,415,421,415,410,329,285,412,486,348,503,472,767,519,298,395,369
"G01035896","2022","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",37442,526,733,384,527,1636,805,592,1160,2258,2619,2570,4709,3449,4144,4392,6938,"Hoover city, Alabama",1977,443,513,348,365,1132,396,386,797,1151,1007,1036,1212,1033,1059,1010,1375
"G01037000","2022","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",95683,5529,2943,3414,3010,3491,4341,3712,4034,4072,7566,8909,11586,9163,6615,6451,10847,"Huntsville city, Alabama",2781,1524,1021,1056,926,1534,1267,1234,1195,1298,1581,1898,1827,1782,1274,1221,1549
"G01050000","2022","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",77479,7391,5117,4358,5294,3801,3486,3023,3140,3090,5391,7255,7478,6550,3110,4207,4788,"Mobile city, Alabama",2920,1766,1282,1103,1445,1412,852,963,907,947,1153,1330,1270,1434,825,1027,991
"G01051000","2022","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",80462,7053,3890,3734,3276,4467,3062,3819,3974,3654,7172,6880,10392,7765,3621,4031,3672,"Montgomery city, Alabama",2339,1648,1222,1299,1398,1618,910,1387,1259,1118,2009,1430,2205,1578,1147,1038,1009
"G01077256","2022","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",41602,4313,2359,1893,2500,2041,1990,1776,2481,1995,2482,3959,3225,1859,2154,3378,3197,"Tuscaloosa city, Alabama",2064,1419,1094,977,1219,1070,798,692,771,684,920,1304,1255,693,850,1277,847
"G02003000","2022","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",109856,4978,1542,2129,2571,1749,2357,2866,4260,2610,6531,9567,13282,14828,9433,14903,16250,"Anchorage municipality, Alaska",2351,1453,718,863,977,709,880,968,1364,1090,1412,1667,1808,2109,1671,2242,2236
"G04004720","2022","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",31844,1711,670,717,783,397,1978,1668,1831,2033,2675,3116,3308,3320,2767,3258,1612,"Avondale city, Arizona",2233,1064,707,601,596,280,1084,1004,1172,895,1064,1342,1144,1140,1022,1081,775
