        AQP5E001:    Total
        AQP5E002:    Less than $10,000
        AQP5E003:    $10,000 to $14,999
        AQP5E004:    $15,000 to $19,999
        AQP5E005:    $20,000 to $24,999
        AQP5E006:    $25,000 to $29,999
        AQP5E007:    $30,000 to $34,999
        AQP5E008:    $35,000 to $39,999
        AQP5E009:    $40,000 to $44,999
        AQP5E010:    $45,000 to $49,999
        AQP5E011:    $50,000 to $59,999
        AQP5E012:    $60,000 to $74,999
        AQP5E013:    $75,000 to $99,999
        AQP5E014:    $100,000 to $124,999
        AQP5E015:    $125,000 to $149,999
        AQP5E016:    $150,000 to $199,999
        AQP5E017:    $200,000 or more
