GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSLE001,NAME_M,AKSLM001
"G01003076","2019","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",66254,"Auburn city, Alabama",30
"G01007000","2019","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",210080,"Birmingham city, Alabama",1405
"G01021184","2019","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",68522,"Dothan city, Alabama",688
"G01035896","2019","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",85772,"Hoover city, Alabama",38
"G01037000","2019","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",201594,"Huntsville city, Alabama",1872
"G01050000","2019","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",188710,"Mobile city, Alabama",45
"G01051000","2019","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",198525,"Montgomery city, Alabama",23
"G01077256","2019","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",101133,"Tuscaloosa city, Alabama",28
"G02003000","2019","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",288000,"Anchorage municipality, Alaska",0
"G04004720","2019","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",87917,"Avondale city, Arizona",55
