GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANLSE001,NAME_M,ANLSM001
"G01003076","2021","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",78552,"Auburn city, Alabama",41
"G01007000","2021","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",196410,"Birmingham city, Alabama",428
"G01021184","2021","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",71283,"Dothan city, Alabama",967
"G01035896","2021","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",92588,"Hoover city, Alabama",36
"G01037000","2021","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",215482,"Huntsville city, Alabama",1705
"G01050000","2021","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",184960,"Mobile city, Alabama",43
"G01051000","2021","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",198659,"Montgomery city, Alabama",36
"G01077256","2021","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",100606,"Tuscaloosa city, Alabama",45
"G02003000","2021","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",288121,"Anchorage municipality, Alaska",
"G04004720","2021","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",90562,"Avondale city, Arizona",41
"G04007940","2021","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"1600000US0407940","0407940","Buckeye city, Arizona",101314,"Buckeye city, Arizona",27
"G04010670","2021","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"1600000US0410670","0410670","Casas Adobes CDP, Arizona",73450,"Casas Adobes CDP, Arizona",5386
"G04012000","2021","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"1600000US0412000","0412000","Chandler city, Arizona",279445,"Chandler city, Arizona",66
"G04023620","2021","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"1600000US0423620","0423620","Flagstaff city, Arizona",76984,"Flagstaff city, Arizona",28
"G04027400","2021","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"1600000US0427400","0427400","Gilbert town, Arizona",273138,"Gilbert town, Arizona",51
"G04027820","2021","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"1600000US0427820","0427820","Glendale city, Arizona",249627,"Glendale city, Arizona",56
"G04028380","2021","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"1600000US0428380","0428380","Goodyear city, Arizona",101744,"Goodyear city, Arizona",50
"G04046000","2021","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"1600000US0446000","0446000","Mesa city, Arizona",509492,"Mesa city, Arizona",71
"G04054050","2021","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"1600000US0454050","0454050","Peoria city, Arizona",194910,"Peoria city, Arizona",51
"G04055000","2021","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"1600000US0455000","0455000","Phoenix city, Arizona",1624539,"Phoenix city, Arizona",144
"G04058150","2021","AZ",,,"Arizona","04",,,"Queen Creek town","58150",,,,,,,,,,,,,,,,"1600000US0458150","0458150","Queen Creek town, Arizona",69311,"Queen Creek town, Arizona",4398
"G04064210","2021","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"1600000US0464210","0464210","San Tan Valley CDP, Arizona",103399,"San Tan Valley CDP, Arizona",9531
"G04065000","2021","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"1600000US0465000","0465000","Scottsdale city, Arizona",242754,"Scottsdale city, Arizona",38
"G04071510","2021","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"1600000US0471510","0471510","Surprise city, Arizona",149191,"Surprise city, Arizona",33
"G04073000","2021","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",184109,"Tempe city, Arizona",40
"G04077000","2021","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",543215,"Tucson city, Arizona",103
"G04085540","2021","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",97097,"Yuma city, Arizona",28
"G05015190","2021","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"1600000US0515190","0515190","Conway city, Arkansas",65126,"Conway city, Arkansas",27
"G05023290","2021","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"1600000US0523290","0523290","Fayetteville city, Arkansas",95231,"Fayetteville city, Arkansas",28
"G05024550","2021","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"1600000US0524550","0524550","Fort Smith city, Arkansas",89574,"Fort Smith city, Arkansas",22
"G05035710","2021","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"1600000US0535710","0535710","Jonesboro city, Arkansas",79330,"Jonesboro city, Arkansas",26
"G05041000","2021","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"1600000US0541000","0541000","Little Rock city, Arkansas",201984,"Little Rock city, Arkansas",56
"G05060410","2021","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"1600000US0560410","0560410","Rogers city, Arkansas",71114,"Rogers city, Arkansas",29
"G05066080","2021","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"1600000US0566080","0566080","Springdale city, Arkansas",87255,"Springdale city, Arkansas",2676
"G06000562","2021","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"1600000US0600562","0600562","Alameda city, California",76352,"Alameda city, California",46
