GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,LJCE001,LJCE002,LJCE003,LJCE004,LJCE005,LJCE006,LJCE007,LJCE008,LJCE009,LJCE010,NAME_M,LJCM001,LJCM002,LJCM003,LJCM004,LJCM005,LJCM006,LJCM007,LJCM008,LJCM009,LJCM010
"G01007000","2011","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",211458,50140,156177,751,2594,0,1121,675,0,675,"Birmingham city, Alabama",468,4133,4695,530,1008,190,945,459,190,459
"G01021184","2011","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",66384,42748,20539,285,652,17,930,1213,71,1142,"Dothan city, Alabama",742,1338,1172,112,307,32,360,381,79,348
"G01035896","2011","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",80553,59020,7241,525,5355,0,7346,1066,0,1066,"Hoover city, Alabama",2772,4717,2457,606,1467,190,3268,706,190,706
"G01037000","2011","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",182354,114080,55038,1070,3313,28,2734,6091,765,5326,"Huntsville city, Alabama",766,4722,4066,425,1096,48,1489,2074,577,1718
"G01050000","2011","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",194887,89656,98966,302,2286,112,1720,1845,120,1725,"Mobile city, Alabama",96,4189,3881,397,1204,192,1002,840,149,835
"G01051000","2011","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",213132,83403,120140,1045,4839,0,1299,2406,433,1973,"Montgomery city, Alabama",3100,2723,2031,703,582,190,1147,940,621,837
"G01077256","2011","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",,,,,,,,,,,"Tuscaloosa city, Alabama",,,,,,,,,,
"G02003000","2011","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",295570,196444,16294,19194,23872,6145,3140,30481,2778,27703,"Anchorage municipality, Alaska",0,2566,1734,2718,1647,440,1247,3668,1365,3311
"G04004720","2011","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,
"G04010670","2011","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",67496,61269,874,233,2104,58,1495,1463,335,1128,"Casas Adobes CDP, Arizona",5518,5195,493,246,1192,119,993,829,325,727
