GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OJFE001,OJFE002,OJFE003,OJFE004,OJFE005,OJFE006,OJFE007,OJFE008,OJFE009,OJFE010,NAME_M,OJFM001,OJFM002,OJFM003,OJFM004,OJFM005,OJFM006,OJFM007,OJFM008,OJFM009,OJFM010
"G01007000","2012","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",212835,47736,156390,117,2715,132,2948,2797,202,2595,"Birmingham city, Alabama",1168,3432,3391,156,1198,175,1770,1060,184,1038
"G01021184","2012","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",68104,42431,23371,50,712,0,375,1165,150,1015,"Dothan city, Alabama",974,1451,997,53,236,184,314,385,151,373
"G01035896","2012","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",81627,60744,12290,0,4563,74,2846,1110,38,1072,"Hoover city, Alabama",2503,4267,3281,184,1226,133,2176,661,61,656
"G01037000","2012","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",183076,113590,58439,527,3884,253,1556,4827,0,4827,"Huntsville city, Alabama",681,3902,3606,335,1298,234,995,1245,184,1245
"G01050000","2012","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",194823,85239,103503,1004,2417,44,540,2076,227,1849,"Mobile city, Alabama",35,3866,4308,665,1277,87,407,1159,176,1163
"G01051000","2012","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",205285,78369,115936,77,4977,96,3182,2648,712,1936,"Montgomery city, Alabama",36,2488,2263,113,811,158,1383,1047,777,813
"G01077256","2012","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",93351,52784,37621,286,1892,52,171,545,45,500,"Tuscaloosa city, Alabama",33,3100,2977,295,796,88,332,454,77,448
"G02003000","2012","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",298610,196090,18866,19165,27691,5977,4087,26734,1324,25410,"Anchorage municipality, Alaska",0,2016,1412,2368,1936,658,1402,3157,818,3120
"G04004720","2012","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",78274,57783,9485,1283,2723,218,4743,2039,498,1541,"Avondale city, Arizona",69,4003,3107,795,1709,351,1722,934,315,807
"G04010670","2012","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",71976,61753,1387,1161,2591,0,2902,2182,302,1880,"Casas Adobes CDP, Arizona",5133,4873,1019,1018,1213,198,1346,1042,290,997
"G04012000","2012","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",245642,190170,12157,4051,20086,592,7282,11304,1555,9749,"Chandler city, Arizona",62,5793,3141,1893,4006,665,2153,2867,811,2799
"G04023620","2012","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",67472,50596,1906,7870,1348,82,2202,3468,1612,1856,"Flagstaff city, Arizona",26,3378,796,2807,702,140,1182,1882,1934,691
"G04027400","2012","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",221136,187591,5792,1646,12334,560,4775,8438,1471,6967,"Gilbert town, Arizona",55,5516,2441,993,3222,550,2376,1919,795,1718
"G04027820","2012","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",232118,181779,15421,3620,7510,258,18108,5422,954,4468,"Glendale city, Arizona",101,4865,3395,1924,2245,307,4723,1541,571,1408
"G04028380","2012","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",69631,58187,4955,734,1623,0,2276,1856,353,1503,"Goodyear city, Arizona",59,3420,2565,647,822,198,1498,1042,425,944
"G04046000","2012","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",452068,375765,14982,9780,8021,1138,29623,12759,2348,10411,"Mesa city, Arizona",71,6329,3293,2907,2252,827,5532,2596,1138,2358
"G04054050","2012","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",159761,135820,6417,616,7662,459,3368,5419,678,4741,"Peoria city, Arizona",90,4190,2145,493,2547,593,1456,1791,486,1807
"G04055000","2012","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",1488759,1141686,105152,29472,51432,2772,117054,41191,9213,31978,"Phoenix city, Arizona",90,13593,7479,4368,5432,1284,9896,4708,2576,4329
"G04064210","2012","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",82760,68821,2604,1941,2301,302,4718,2073,868,1205,"San Tan Valley CDP, Arizona",7537,7604,1329,1742,1305,507,2742,1267,698,852
"G04065000","2012","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",223517,201917,5342,1320,9901,399,2826,1812,214,1598,"Scottsdale city, Arizona",41,4651,2171,960,2673,448,1758,709,220,662
"G04071510","2012","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",121276,100905,10938,1021,2554,322,2778,2758,536,2222,"Surprise city, Arizona",52,5379,4939,933,1360,329,1431,1279,409,1190
"G04073000","2012","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",166862,120196,6835,4372,12331,532,16287,6309,1079,5230,"Tempe city, Arizona",77,5059,2229,1881,2562,483,5403,1535,780,1369
"G04077000","2012","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",524278,384306,27562,11165,13327,755,64664,22499,5692,16807,"Tucson city, Arizona",79,6523,2855,2204,2087,394,6918,3701,1938,2919
"G04085540","2012","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",95424,66806,3295,885,2121,656,18851,2810,1213,1597,"Yuma city, Arizona",40,3814,1197,399,483,746,3848,955,721,662
"G05023290","2012","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",76892,63768,4702,930,1948,213,3340,1991,305,1686,"Fayetteville city, Arkansas",35,2460,1089,449,791,308,1862,906,487,780
"G05024550","2012","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",87437,67162,7562,1910,5251,209,1197,4146,318,3828,"Fort Smith city, Arkansas",29,1215,1181,606,567,321,943,1154,389,1171
"G05035710","2012","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",70183,54205,13398,144,804,0,826,806,0,806,"Jonesboro city, Arkansas",23,836,514,165,448,184,673,368,184,368
"G05041000","2012","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",196530,103201,82170,1036,7063,0,863,2197,27,2170,"Little Rock city, Arkansas",40,4189,4305,646,1335,184,623,884,50,879
"G05066080","2012","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",76480,48349,2168,326,2141,4425,16831,2240,80,2160,"Springdale city, Arkansas",3140,4717,1115,281,1033,301,4013,1067,131,1055
"G06000562","2012","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",75632,37726,5179,521,23429,704,2841,5232,582,4650,"Alameda city, California",43,3065,1721,403,2544,603,1656,1784,647,1627
"G06000884","2012","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",84322,22519,1465,153,40841,141,15856,3347,2098,1249,"Alhambra city, California",39,3358,1183,198,4032,174,4349,1506,1334,776
"G06002000","2012","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",343241,233546,7450,1057,52130,2313,37487,9258,2302,6956,"Anaheim city, California",58,9955,2164,604,6033,1570,6942,1949,842,1728
