GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SBME001,SBME002,SBME003,SBME004,SBME005,SBME006,SBME007,SBME008,SBME009,SBME010,NAME_M,SBMM001,SBMM002,SBMM003,SBMM004,SBMM005,SBMM006,SBMM007,SBMM008,SBMM009,SBMM010
"G01007000","2013","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",211933,50047,154377,307,1704,0,3722,1776,354,1422,"Birmingham city, Alabama",903,3880,3596,318,720,192,1428,802,320,744
"G01021184","2013","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",67296,42739,21638,256,981,0,420,1262,83,1179,"Dothan city, Alabama",389,1589,1436,144,143,192,405,457,71,459
"G01035896","2013","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",84128,59310,16897,590,4211,0,1918,1202,0,1202,"Hoover city, Alabama",36,3491,3273,725,1496,192,1495,729,192,729
"G01037000","2013","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",186416,117148,58720,804,3813,156,2061,3714,379,3335,"Huntsville city, Alabama",1101,3835,3943,445,1196,212,1211,1195,406,1098
"G01050000","2013","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",194879,88827,99171,144,2829,0,970,2938,335,2603,"Mobile city, Alabama",67,4503,4241,139,1482,192,719,1405,370,1320
"G01051000","2013","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",201335,72867,118085,123,3863,0,3535,2862,1042,1820,"Montgomery city, Alabama",22,2629,2197,161,1273,192,1473,1334,1159,779
"G01077256","2013","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",95334,46629,43538,130,2680,0,1362,995,0,995,"Tuscaloosa city, Alabama",27,2989,2709,141,299,192,1967,453,192,453
"G02003000","2013","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",300950,197183,17842,22764,24675,6800,5114,26572,1570,25002,"Anchorage municipality, Alaska",0,2477,1425,2262,2387,288,2001,4104,1118,4071
"G04004720","2013","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",78817,57766,9396,994,2874,89,5493,2205,388,1817,"Avondale city, Arizona",40,3565,2595,606,1133,145,2295,929,299,864
"G04010670","2013","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",69653,60364,758,373,1885,0,3681,2592,941,1651,"Casas Adobes CDP, Arizona",6178,5762,500,446,1315,203,1126,1213,567,1054
"G04012000","2013","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",249139,190254,13132,2571,23219,778,8950,10235,1254,8981,"Chandler city, Arizona",59,6212,3232,1596,3669,615,2482,2895,732,2747
"G04023620","2013","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",68661,49444,2273,6560,1236,277,5498,3373,501,2872,"Flagstaff city, Arizona",32,2916,612,2129,538,355,2081,1123,325,1061
"G04027400","2013","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",229989,195583,5516,883,17852,180,2901,7074,1293,5781,"Gilbert town, Arizona",73,3974,1292,548,3936,153,1171,1468,641,1362
"G04027820","2013","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",234618,188693,12116,6230,7911,300,10724,8644,2126,6518,"Glendale city, Arizona",73,4990,2854,3033,2419,281,2803,1897,1061,1591
"G04028380","2013","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",72862,52065,7188,1291,4692,130,3921,3575,30,3545,"Goodyear city, Arizona",30,3741,2637,811,1709,163,1922,1595,49,1597
"G04046000","2013","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",457595,391780,15821,10262,8813,1827,16768,12324,2176,10148,"Mesa city, Arizona",72,7000,3304,3299,2312,779,4836,2126,719,2150
"G04054050","2013","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",162617,143391,3241,1132,5501,413,3216,5723,392,5331,"Peoria city, Arizona",124,3495,1137,642,1853,538,1486,2353,283,2370
"G04055000","2013","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",1513350,1134127,104192,31862,44936,2643,145151,50439,12581,37858,"Phoenix city, Arizona",101,14963,7103,5559,4434,1265,12329,5779,3160,4659
"G04064210","2013","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",93346,78427,5297,884,918,1360,3854,2606,285,2321,"San Tan Valley CDP, Arizona",5452,5652,2418,1169,439,434,2286,1474,281,1334
"G04065000","2013","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",226909,200920,5017,2008,9298,44,4458,5164,1343,3821,"Scottsdale city, Arizona",41,4044,1896,1155,2330,76,2196,1818,967,1524
"G04071510","2013","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",123569,105634,6797,738,2672,183,3821,3724,223,3501,"Surprise city, Arizona",86,3081,2335,529,1596,243,1664,1314,220,1300
"G04073000","2013","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",168231,115657,9080,4476,12949,774,18535,6760,872,5888,"Tempe city, Arizona",36,6119,2876,2276,2601,508,5885,1825,697,1669
"G04077000","2013","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",526141,379631,27614,15974,16250,1296,61572,23804,6916,16888,"Tucson city, Arizona",91,9152,2384,3320,2127,622,7900,3725,2547,2787
"G04085540","2013","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",91915,63405,4019,456,1825,0,18806,3404,1704,1700,"Yuma city, Arizona",46,3862,588,274,486,203,3723,1115,918,575
"G05023290","2013","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",78967,61939,8570,520,2150,0,3431,2357,746,1611,"Fayetteville city, Arkansas",38,2639,1900,345,1086,192,1897,970,717,598
"G05024550","2013","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",87654,68212,7669,695,5219,0,970,4889,155,4734,"Fort Smith city, Arkansas",25,1287,993,403,885,192,777,1193,200,1165
"G05035710","2013","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",71547,54265,12844,477,1083,0,1042,1836,0,1836,"Jonesboro city, Arkansas",26,834,1397,182,296,192,532,1411,192,1411
"G05041000","2013","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",197357,102255,81757,641,5656,182,2522,4344,0,4344,"Little Rock city, Arkansas",33,4862,4595,425,1265,300,1913,1589,192,1589
"G05050450","2013","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",,,,,,,,,,,"North Little Rock city, Arkansas",,,,,,,,,,
"G05066080","2013","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",73795,47016,2434,1257,1669,292,19935,1192,69,1123,"Springdale city, Arkansas",2170,4875,1295,786,1166,472,4351,1271,123,1272
"G06000562","2013","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",76413,35112,6541,130,23309,614,5719,4988,632,4356,"Alameda city, California",34,3128,1776,118,3583,497,2872,1381,523,1343
"G06000884","2013","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",84566,17806,1068,316,41535,64,21100,2677,1130,1547,"Alhambra city, California",44,2856,704,343,4727,105,4778,1014,741,769
"G06002000","2013","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",345015,246909,9707,1114,54741,1678,20374,10492,1710,8782,"Anaheim city, California",57,8762,2563,720,6597,1752,4381,2362,912,2264
"G06002252","2013","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",107098,52108,23652,970,10961,775,10173,8459,3058,5401,"Antioch city, California",41,4170,4213,802,2695,542,3691,2512,1464,2122
"G06002364","2013","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",70923,56546,3822,377,3080,0,4252,2846,1108,1738,"Apple Valley town, California",30,3195,1667,516,1693,203,1942,1452,985,855
"G06002553","2013","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",92438,61609,11019,1484,5579,243,6369,6135,957,5178,"Arden-Arcade CDP, California",5867,4963,3176,1025,1564,258,2099,1692,626,1641
"G06003526","2013","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",363630,247768,29040,3237,27287,536,44932,10830,3358,7472,"Bakersfield city, California",51,9105,3895,1298,3386,639,7000,2408,1448,1882
"G06003666","2013","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",76633,28450,723,1561,10951,0,33751,1197,939,258,"Baldwin Park city, California",25,4624,766,1488,2828,203,4988,749,675,292
"G06004982","2013","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",77594,29263,11308,595,8392,522,23725,3789,2022,1767,"Bellflower city, California",36,3557,3205,714,2211,692,3926,1290,958,829
"G06006000","2013","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",116774,70246,10254,499,23997,487,3913,7378,1025,6353,"Berkeley city, California",35,3848,2556,245,3239,437,1827,1706,567,1594
"G06008786","2013","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",82885,50447,4244,99,22416,289,4014,1376,410,966,"Buena Park city, California",37,4991,2089,171,4107,382,2149,595,402,580
"G06008954","2013","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",104717,76706,3018,188,10348,67,9712,4678,489,4189,"Burbank city, California",41,3392,1615,180,2422,109,3254,1647,352,1624
"G06010046","2013","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",66076,47988,464,0,9053,0,5405,3166,493,2673,"Camarillo city, California",42,3610,337,203,2799,203,2533,1328,653,1238
"G06011194","2013","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",110977,94491,2363,0,7131,467,2544,3981,271,3710,"Carlsbad city, California",45,3354,1515,203,2231,665,1521,1257,316,1218
"G06011390","2013","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",66747,54596,3433,291,2151,315,720,5241,497,4744,"Carmichael CDP, California",5533,5121,2419,175,956,299,494,2636,455,2618
"G06011530","2013","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",92597,27425,21781,698,25193,1112,10600,5788,515,5273,"Carson city, California",41,4221,4032,794,3722,869,3626,2588,401,2503
"G06013014","2013","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",88075,73572,1837,715,3397,321,2786,5447,876,4571,"Chico city, California",26,2412,855,578,1460,353,1582,1729,536,1508
"G06013210","2013","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",81001,52386,3669,177,8353,56,8447,7913,1881,6032,"Chino city, California",59,3579,1232,146,1799,79,3014,2287,1191,1809
"G06013214","2013","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",76575,37444,1931,56,28881,423,4090,3750,752,2998,"Chino Hills city, California",40,4481,1066,93,4101,706,1895,1487,739,1250
"G06013392","2013","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",256765,183472,10761,1189,32162,598,16004,12579,3746,8833,"Chula Vista city, California",64,8394,2699,912,6362,681,2863,3551,1820,3169
"G06013588","2013","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",85288,70432,2920,2076,3595,46,2284,3935,547,3388,"Citrus Heights city, California",30,2986,1423,1137,1597,79,1363,1248,337,1178
"G06014218","2013","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",99758,70519,3185,638,11178,501,9569,4168,1156,3012,"Clovis city, California",49,3602,1300,431,2606,672,3014,1394,639,1254
"G06015044","2013","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",97872,37036,30259,571,503,0,27972,1531,990,541,"Compton city, California",41,5426,4682,940,516,203,4893,808,687,377
"G06016000","2013","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",125892,87069,4960,842,9969,0,14250,8802,1306,7496,"Concord city, California",55,5411,2023,522,1808,203,5047,2407,876,2263
"G06016350","2013","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",159507,113725,9006,970,19927,364,10596,4919,1523,3396,"Corona city, California",48,5054,2950,687,3890,383,2383,1501,897,1172
"G06016532","2013","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",112184,76144,1118,376,11754,1071,17318,4403,1161,3242,"Costa Mesa city, California",49,4238,564,362,2771,768,3900,1339,589,1209
"G06017918","2013","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",104747,25447,3714,305,55900,249,14147,4985,2395,2590,"Daly City city, California",42,4376,1321,399,4377,361,5627,2793,2708,850
"G06018100","2013","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",66197,43798,1765,38,13955,127,2650,3864,765,3099,"Davis city, California",40,2120,997,61,1650,123,961,1186,601,976
"G06019766","2013","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",113240,83815,6280,499,5990,54,13592,3010,1653,1357,"Downey city, California",32,4933,3481,599,2147,92,3187,1059,976,619
"G06020802","2013","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",137967,90389,221,254,1609,0,43452,2042,1095,947,"East Los Angeles CDP, California",10520,9837,216,372,604,203,7019,951,765,609
"G06021712","2013","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",102207,73696,5855,202,3061,717,10561,8115,1472,6643,"El Cajon city, California",33,4821,2389,150,1523,441,3323,2511,908,2174
"G06022020","2013","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",161029,76985,18427,392,43231,2975,8698,10321,1899,8422,"Elk Grove city, California",81,6354,3896,269,5773,1860,2935,2075,1023,1887
"G06022230","2013","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",115685,66096,1028,253,35486,0,10831,1991,1251,740,"El Monte city, California",91,4885,1071,264,4401,203,3097,1071,901,528
"G06022804","2013","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",148728,119407,4063,1199,8288,310,10440,5021,938,4083,"Escondido city, California",53,4532,1836,975,3062,269,2691,1631,628,1456
"G06023182","2013","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",109302,47581,16492,752,16242,1789,17722,8724,988,7736,"Fairfield city, California",75,4426,3038,524,3238,798,3958,2081,713,1872
"G06024638","2013","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",73099,49922,4105,108,12403,204,1818,4539,634,3905,"Folsom city, California",29,2971,1297,129,2426,203,535,1600,354,1550
"G06024680","2013","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",203008,105540,22012,1169,14667,1157,50190,8273,1705,6568,"Fontana city, California",41,8697,5699,1006,4563,1283,7190,2456,654,2283
"G06026000","2013","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",224904,62417,7183,1074,120731,1311,15711,16477,4926,11551,"Fremont city, California",70,5579,2388,485,7123,729,4647,3916,1994,3244
"G06027000","2013","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",509965,268855,42836,6867,68125,961,98891,23430,9284,14146,"Fresno city, California",156,12635,2264,1942,5261,624,11332,5398,4525,3041
"G06028000","2013","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",138979,75660,4014,305,32258,492,20162,6088,866,5222,"Fullerton city, California",37,5156,1717,216,5467,343,5372,2634,889,2483
"G06029000","2013","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",175115,74672,1752,767,61583,1645,30235,4461,1347,3114,"Garden Grove city, California",91,6398,955,525,5833,1045,5815,1277,753,1054
"G06030000","2013","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",196000,141375,3339,475,31805,105,11058,7843,1480,6363,"Glendale city, California",81,5539,1389,408,4688,172,3589,1823,697,1725
"G06032548","2013","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",86204,36391,18796,159,5637,931,13865,10425,616,9809,"Hawthorne city, California",42,4015,3026,264,2206,1312,3345,3093,581,3048
"G06033000","2013","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",151582,55033,15394,1379,37828,4158,27073,10717,2732,7985,"Hayward city, California",48,5326,3325,1474,4395,1457,5092,2496,1450,2075
"G06033182","2013","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",81734,58863,5150,525,1791,0,11554,3851,1484,2367,"Hemet city, California",59,3683,2115,410,959,203,3517,1449,877,1213
"G06033434","2013","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",92159,76847,4217,478,809,138,5594,4076,1371,2705,"Hesperia city, California",52,3067,2423,375,583,163,1644,1521,848,1044
"G06036000","2013","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",197577,155576,1808,224,23476,1065,8526,6902,707,6195,"Huntington Beach city, California",39,4623,880,156,3899,878,2665,1951,470,1910
"G06036448","2013","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",83546,42321,1845,899,1635,777,34123,1946,497,1449,"Indio city, California",43,4912,1128,937,717,1236,4947,966,393,808
"G06036546","2013","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",111544,31645,45315,123,762,0,30942,2757,860,1897,"Inglewood city, California",29,5378,5127,132,439,203,5262,1083,658,853
"G06036770","2013","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",236724,122292,3932,523,91945,15,7229,10788,1253,9535,"Irvine city, California",54,8989,1736,644,8438,28,2409,2684,533,2560
