GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAA6E001,AAA6E002,AAA6E003,AAA6E004,AAA6E005,AAA6E006,AAA6E007,AAA6E008,AAA6E009,AAA6E010,NAME_M,AAA6M001,AAA6M002,AAA6M003,AAA6M004,AAA6M005,AAA6M006,AAA6M007,AAA6M008,AAA6M009,AAA6M010
"G01007000","2014","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",212653,51751,154281,413,1617,23,1968,2600,358,2242,"Birmingham city, Alabama",923,3784,4085,336,655,37,1140,1281,411,1209
"G01021184","2014","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",69400,42496,24772,104,538,0,422,1068,80,988,"Dothan city, Alabama",1142,1322,1366,71,182,189,295,343,77,309
"G01035896","2014","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",84352,64794,11914,0,3433,0,2975,1236,80,1156,"Hoover city, Alabama",35,3351,3048,189,1518,189,2300,876,132,811
"G01037000","2014","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",187592,117137,58918,461,4196,170,2036,4674,140,4534,"Huntsville city, Alabama",678,4019,4072,377,1095,135,1442,1620,134,1635
"G01050000","2014","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",194670,85101,101500,458,2823,0,2326,2462,34,2428,"Mobile city, Alabama",39,4045,4307,267,1650,189,2272,1697,64,1691
"G01051000","2014","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",200486,69942,120378,359,5732,58,1415,2602,236,2366,"Montgomery city, Alabama",27,2119,1931,270,797,95,891,969,203,965
"G01077256","2014","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",96116,49611,42277,122,2368,0,355,1383,0,1383,"Tuscaloosa city, Alabama",32,2968,2879,147,719,189,472,638,189,638
"G02003000","2014","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",301010,194958,17041,21093,27805,6629,5122,28362,1727,26635,"Anchorage municipality, Alaska",0,2661,2011,2372,1667,623,2006,4067,1128,4023
"G04004720","2014","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",79621,58729,8253,758,3691,0,4274,3916,389,3527,"Avondale city, Arizona",87,4028,3022,424,1436,200,1793,1368,373,1271
"G04010670","2014","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",72867,58435,1328,724,992,41,6011,5336,2482,2854,"Casas Adobes CDP, Arizona",5846,4806,754,738,586,107,2679,1828,1488,1085
"G04012000","2014","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",254275,196801,12129,5102,20254,294,8897,10798,1217,9581,"Chandler city, Arizona",43,5619,3515,1909,3357,233,3600,1927,701,1824
"G04023620","2014","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",68786,52626,2053,6566,2721,0,2292,2528,469,2059,"Flagstaff city, Arizona",23,2341,506,2192,537,200,1114,1049,273,1014
"G04027400","2014","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",239282,194359,7108,3730,17164,356,6845,9720,1405,8315,"Gilbert town, Arizona",48,5348,2735,1309,3646,276,2850,1772,797,1575
"G04027820","2014","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",237529,182397,13931,2839,13440,367,12933,11622,1824,9798,"Glendale city, Arizona",63,5983,3447,1109,3679,383,4114,3380,829,3351
"G04028380","2014","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",75676,60436,7876,952,2609,174,1085,2544,374,2170,"Goodyear city, Arizona",52,3582,3277,816,1136,207,983,1099,371,1066
"G04046000","2014","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",464682,406265,15288,7689,8467,1569,13687,11717,1909,9808,"Mesa city, Arizona",96,7263,2786,2666,1900,1127,3212,2537,746,2401
"G04054050","2014","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",166955,141299,6488,583,7416,57,5411,5701,1014,4687,"Peoria city, Arizona",105,4154,2381,530,2953,93,2289,2087,1150,1686
"G04055000","2014","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",1537045,1122320,102038,32233,57181,4750,168750,49773,14123,35650,"Phoenix city, Arizona",99,18031,8112,5114,5736,1560,14924,5619,3021,5203
"G04064210","2014","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",94390,80498,3747,3448,2009,527,1283,2878,645,2233,"San Tan Valley CDP, Arizona",7636,6519,1918,2689,1704,589,793,1415,634,1300
"G04065000","2014","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",230502,203489,2873,2946,9719,0,5351,6124,712,5412,"Scottsdale city, Arizona",49,4461,1199,2536,2351,200,2194,1506,622,1411
"G04071510","2014","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",126278,105253,7346,1185,2278,124,6500,3592,1012,2580,"Surprise city, Arizona",40,4891,2632,1165,1227,152,4128,1158,884,1036
"G04073000","2014","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",172836,122827,10474,5447,12215,824,15291,5758,656,5102,"Tempe city, Arizona",78,5932,2696,2549,2262,752,3986,1513,566,1432
"G04077000","2014","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",527948,390699,24531,14654,16829,1608,55297,24330,6969,17361,"Tucson city, Arizona",105,7605,2679,2577,2038,690,6048,3541,2152,2765
"G04085540","2014","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",93399,67779,2925,416,1480,0,16543,4256,772,3484,"Yuma city, Arizona",27,3869,945,352,777,200,3376,1472,568,1336
"G05023290","2014","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",80614,66892,5151,510,1562,12,2858,3629,194,3435,"Fayetteville city, Arkansas",34,2431,1504,298,802,25,1987,1343,223,1274
"G05024550","2014","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",87362,66198,9023,702,4808,0,1926,4705,860,3845,"Fort Smith city, Arkansas",41,1461,602,465,827,190,1088,1446,742,1268
"G05035710","2014","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",72214,53915,13322,453,1081,668,421,2354,113,2241,"Jonesboro city, Arkansas",23,1028,1683,850,220,1126,348,1326,220,1281
"G05041000","2014","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",197701,104537,81462,272,4521,57,2018,4834,298,4536,"Little Rock city, Arkansas",40,4331,4269,214,1342,96,1475,1469,344,1433
"G05050450","2014","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",66813,33691,29729,355,847,0,320,1871,374,1497,"North Little Rock city, Arkansas",30,3529,3461,435,548,190,384,892,468,847
"G05066080","2014","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",78122,54629,541,239,2398,4424,13142,2749,724,2025,"Springdale city, Arkansas",2267,5018,624,252,1274,2038,4426,1953,881,1728
"G06000562","2014","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",77661,39547,4175,90,23967,719,2539,6624,1353,5271,"Alameda city, California",34,3252,1255,133,3405,489,1538,1879,862,1747
"G06000884","2014","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",85585,18449,1587,374,43917,262,18290,2706,593,2113,"Alhambra city, California",66,3338,825,450,4490,311,3500,1156,408,1063
"G06002000","2014","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",346961,240418,6943,549,62641,794,22372,13244,1787,11457,"Anaheim city, California",140,7659,1778,374,6332,571,5603,2975,882,2837
"G06002252","2014","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",108953,51135,23209,747,11208,1437,11450,9767,2814,6953,"Antioch city, California",82,5002,3851,794,3538,1460,3721,2451,1570,2063
"G06002364","2014","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",71586,60526,3545,310,3148,41,2008,2008,362,1646,"Apple Valley town, California",41,2623,1580,451,1560,67,1051,866,295,789
"G06002553","2014","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",99903,66654,7812,275,7467,90,12078,5527,1620,3907,"Arden-Arcade CDP, California",7240,6287,2257,216,2262,116,4701,1697,1335,1251
"G06003526","2014","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",368748,259615,26666,6158,22915,596,35299,17499,3793,13706,"Bakersfield city, California",55,7410,3369,3057,3199,395,5889,3832,1218,3486
"G06003666","2014","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",77134,20465,2462,212,16304,327,35509,1855,1116,739,"Baldwin Park city, California",47,3326,1634,260,3096,489,4515,1092,784,590
"G06004982","2014","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",78246,26514,9640,251,11311,159,26760,3611,2241,1370,"Bellflower city, California",47,3121,2331,257,2671,200,3941,1602,1109,1253
"G06006000","2014","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",118851,72378,10058,536,21796,82,4932,9069,1308,7761,"Berkeley city, California",30,3572,2354,321,2818,140,1703,2121,1468,1660
"G06008786","2014","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",83114,49863,2280,726,24612,0,2773,2860,802,2058,"Buena Park city, California",43,4427,1655,614,3682,200,1252,1192,406,1027
"G06008954","2014","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",105366,74271,1149,776,10489,0,11441,7240,1914,5326,"Burbank city, California",30,4118,766,678,2437,200,3140,2560,1045,2308
"G06010046","2014","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",66932,53249,1408,164,6484,0,2605,3022,658,2364,"Camarillo city, California",39,2948,751,185,2099,200,1418,1456,607,1316
"G06011194","2014","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",112310,96417,343,131,8469,0,1100,5850,467,5383,"Carlsbad city, California",52,3590,367,150,2145,200,647,2467,507,2285
"G06011390","2014","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",66493,54942,3418,449,2820,258,1081,3525,400,3125,"Carmichael CDP, California",5265,5116,1572,391,1234,312,619,1130,315,1048
"G06011530","2014","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",93272,27836,20520,99,23732,2274,15206,3605,615,2990,"Carson city, California",36,4299,4306,165,4393,1564,3369,1450,508,1277
"G06013014","2014","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",89187,74917,1711,482,2709,187,5359,3822,321,3501,"Chico city, California",42,2397,809,307,1203,268,1752,1371,284,1355
"G06013210","2014","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",84743,37633,6203,651,7497,385,25355,7019,2221,4798,"Chino city, California",76,3747,2215,351,1492,332,3688,1493,1056,1216
"G06013214","2014","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",77005,32640,4225,164,25789,0,9532,4655,1575,3080,"Chino Hills city, California",40,4284,2763,272,3834,200,4095,1531,864,1388
"G06013392","2014","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",260977,176481,10652,199,39570,1242,18087,14746,3757,10989,"Chula Vista city, California",51,8478,3221,165,6561,811,3918,3370,1485,2832
"G06013588","2014","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",86147,73036,3097,160,2500,97,3840,3417,829,2588,"Citrus Heights city, California",33,2479,1358,178,812,117,1618,1141,642,945
"G06014218","2014","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",102190,68887,4462,1748,12094,532,11125,3342,915,2427,"Clovis city, California",37,5132,2272,1109,2988,579,3530,940,614,819
"G06015044","2014","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",98596,43354,31877,254,804,460,19420,2427,1855,572,"Compton city, California",35,5006,5227,327,598,564,3510,1490,1359,458
"G06016000","2014","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",127511,93582,4491,758,12592,106,8745,7237,2078,5159,"Concord city, California",52,4957,1991,630,2535,175,3067,2229,1302,1771
"G06016350","2014","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",161498,108631,10263,227,21221,820,12455,7881,1666,6215,"Corona city, California",59,5178,2496,274,3488,706,2660,1755,1042,1644
"G06016532","2014","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",112793,67025,2462,123,10330,664,27365,4824,887,3937,"Costa Mesa city, California",50,4959,1554,199,2592,597,4639,1293,549,1170
"G06017918","2014","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",106099,21455,3113,0,60677,722,16165,3967,765,3202,"Daly City city, California",36,4046,1410,200,5456,600,4848,1477,520,1212
"G06018100","2014","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",66733,38895,2249,0,17268,117,4057,4147,213,3934,"Davis city, California",37,2121,977,200,1462,188,1501,1144,233,1088
"G06019766","2014","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",114168,59116,3687,263,10765,1133,34580,4624,3320,1304,"Downey city, California",37,4562,1506,246,3093,1686,5143,1718,1731,610
"G06020802","2014","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",117267,55657,761,734,1711,39,57152,1213,971,242,"East Los Angeles CDP, California",7153,6268,580,985,665,63,5917,655,579,264
"G06021712","2014","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",103075,73709,7354,355,4523,1638,7261,8235,1540,6695,"El Cajon city, California",66,4662,2288,299,2353,2069,2567,3147,1654,2592
"G06022020","2014","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",163560,79022,17451,3345,45696,625,3848,13573,3034,10539,"Elk Grove city, California",61,6061,3763,2863,5048,656,1355,2708,1229,2878
"G06022230","2014","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",116617,66916,785,692,34597,387,11648,1592,377,1215,"El Monte city, California",56,5326,583,508,4115,367,3330,796,273,718
"G06022804","2014","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",150252,119782,4380,913,10064,152,9035,5926,1173,4753,"Escondido city, California",47,4785,1852,1021,2893,242,2537,2186,845,1942
"G06023182","2014","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",111139,53687,14203,651,19094,1374,14699,7431,626,6805,"Fairfield city, California",54,4164,2557,580,3441,981,3390,1857,399,1836
"G06024638","2014","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",75366,50413,4966,164,12453,695,3354,3321,473,2848,"Folsom city, California",32,3290,1235,215,2644,907,1478,1105,322,1067
"G06024680","2014","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",204953,81353,15249,1805,15230,1216,80584,9516,2594,6922,"Fontana city, California",43,7882,3407,1429,4598,1459,7931,2724,1316,2551
