GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACK3E001,ACK3E002,ACK3E003,ACK3E004,ACK3E005,ACK3E006,ACK3E007,ACK3E008,ACK3E009,ACK3E010,NAME_M,ACK3M001,ACK3M002,ACK3M003,ACK3M004,ACK3M005,ACK3M006,ACK3M007,ACK3M008,ACK3M009,ACK3M010
"G01007000","2015","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",214911,49826,156354,438,1394,0,4626,2273,298,1975,"Birmingham city, Alabama",2144,3905,4422,413,738,192,2072,1287,403,1266
"G01021184","2015","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",67536,42298,22489,238,770,140,178,1423,157,1266,"Dothan city, Alabama",296,1148,1123,181,163,227,169,484,172,467
"G01035896","2015","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",84839,60365,17378,0,4505,0,1055,1536,211,1325,"Hoover city, Alabama",44,3643,3721,192,2473,192,1388,937,300,909
"G01037000","2015","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",189114,117924,59235,259,4785,47,1839,5025,247,4778,"Huntsville city, Alabama",348,4237,3835,226,1269,80,1112,1762,299,1606
"G01050000","2015","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",194305,89161,93089,372,4854,0,1403,5426,439,4987,"Mobile city, Alabama",64,4538,4491,269,1261,192,960,2041,420,1971
"G01051000","2015","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",200586,70322,119588,232,4575,16,1624,4229,694,3535,"Montgomery city, Alabama",59,2817,2624,172,1174,33,1287,1335,486,1269
"G01077256","2015","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",98338,52144,42061,128,2577,275,644,509,0,509,"Tuscaloosa city, Alabama",39,3014,2909,126,643,449,771,347,192,347
"G02003000","2015","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",298695,188025,18385,19466,29106,5556,9587,28570,2129,26441,"Anchorage municipality, Alaska",0,2294,1519,2343,2220,1761,2764,3898,1379,3968
"G04004720","2015","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",80683,60327,10505,313,2243,73,5097,2125,265,1860,"Avondale city, Arizona",34,3790,2801,195,1080,102,1862,1002,282,912
"G04010670","2015","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",65265,55162,847,752,2082,603,1867,3952,420,3532,"Casas Adobes CDP, Arizona",4808,4556,465,517,799,756,873,1521,333,1490
"G04012000","2015","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",260833,199992,12847,3978,28715,0,5432,9869,1140,8729,"Chandler city, Arizona",52,6301,3134,1620,4932,201,1633,2392,573,2337
"G04023620","2015","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",70317,55560,1749,4520,1830,183,3320,3155,431,2724,"Flagstaff city, Arizona",23,2170,701,1628,592,218,1382,986,468,1034
"G04027400","2015","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",247523,204014,7024,4009,16558,276,7688,7954,828,7126,"Gilbert town, Arizona",79,5674,2473,2844,3181,303,2304,2221,557,2114
"G04027820","2015","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",240114,193269,12775,1738,12331,468,8996,10537,2786,7751,"Glendale city, Arizona",68,4851,2582,987,2441,349,2084,2548,1718,1737
"G04028380","2015","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",79003,61361,7878,303,4700,103,1973,2685,412,2273,"Goodyear city, Arizona",30,3236,2889,252,2125,122,1116,1102,519,1011
"G04046000","2015","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",471833,397988,17601,10504,10340,2110,16931,16359,2754,13605,"Mesa city, Arizona",63,6410,3457,3351,2503,1132,3057,3054,1338,2954
"G04054050","2015","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",171242,146359,6167,1808,4752,522,6187,5447,501,4946,"Peoria city, Arizona",64,5227,2857,1213,1441,448,3934,1752,358,1729
"G04055000","2015","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",1563001,1119488,110408,31203,51845,2672,196022,51363,13578,37785,"Phoenix city, Arizona",125,16311,7628,4881,5545,1300,13099,5245,3010,4441
"G04064210","2015","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",82797,71208,1631,2296,954,0,2392,4316,1946,2370,"San Tan Valley CDP, Arizona",7215,6872,1211,2668,594,201,1208,2128,1537,1705
"G04065000","2015","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",236844,200629,3831,5212,9212,599,12182,5179,231,4948,"Scottsdale city, Arizona",39,6753,1401,4918,2047,811,5026,1733,215,1736
"G04071510","2015","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",128442,110910,7720,267,1605,280,2959,4701,521,4180,"Surprise city, Arizona",81,4186,3302,447,760,448,1415,1736,467,1676
"G04073000","2015","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",175826,124518,9759,3355,14658,821,16560,6155,1060,5095,"Tempe city, Arizona",32,6080,2862,1517,2573,724,4779,1631,676,1390
"G04077000","2015","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",531674,386958,27290,17754,16623,641,61278,21130,4522,16608,"Tucson city, Arizona",124,8456,2971,4802,1694,582,7765,2882,1504,2394
"G04085540","2015","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",94145,67688,2868,498,727,0,19880,2484,860,1624,"Yuma city, Arizona",37,4411,1091,394,498,201,4121,987,541,755
"G05023290","2015","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",82832,64520,6403,318,3305,0,3976,4310,497,3813,"Fayetteville city, Arkansas",28,2522,1094,346,1116,190,2131,1534,577,1516
"G05024550","2015","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",88195,62947,9447,1301,5210,0,5777,3513,855,2658,"Fort Smith city, Arkansas",20,2533,479,754,681,190,2410,990,750,979
"G05035710","2015","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",73906,54103,12712,1473,1282,0,1813,2523,0,2523,"Jonesboro city, Arkansas",22,1674,1701,1216,270,190,947,1362,190,1362
"G05041000","2015","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",197986,100467,84068,37,7412,59,2860,3083,1000,2083,"Little Rock city, Arkansas",42,4968,4971,59,1034,98,2032,1190,797,886
"G05050450","2015","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",,,,,,,,,,,"North Little Rock city, Arkansas",,,,,,,,,,
"G05066080","2015","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",80454,55848,1537,259,1239,5227,14993,1351,640,711,"Springdale city, Arkansas",3051,5391,1003,236,930,539,4207,647,403,450
"G06000562","2015","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",78614,39158,6085,342,24025,758,2309,5937,1161,4776,"Alameda city, California",58,3966,2153,263,4147,493,1097,1806,765,1738
"G06000884","2015","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",85572,19318,1508,42,43279,243,19292,1890,457,1433,"Alhambra city, California",78,2951,1036,68,3374,324,3571,1062,393,922
"G06002000","2015","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",350738,252059,8238,818,48515,1362,31181,8565,1702,6863,"Anaheim city, California",52,8284,2858,433,5706,1081,5765,2080,638,1953
"G06002252","2015","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",110542,45776,21411,1404,11135,2698,19878,8240,3596,4644,"Antioch city, California",43,5145,5233,1527,4113,2428,4689,2194,1770,1522
