GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AE2CE001,AE2CE002,AE2CE003,AE2CE004,AE2CE005,AE2CE006,AE2CE007,AE2CE008,AE2CE009,AE2CE010,NAME_M,AE2CM001,AE2CM002,AE2CM003,AE2CM004,AE2CM005,AE2CM006,AE2CM007,AE2CM008,AE2CM009,AE2CM010
"G01007000","2016","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",213434,52557,152114,490,1429,0,3462,3382,657,2725,"Birmingham city, Alabama",1446,4677,4691,413,689,195,1620,1690,631,1610
"G01021184","2016","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",67714,41231,23682,201,977,0,729,894,75,819,"Dothan city, Alabama",288,1226,1051,164,124,195,586,313,83,293
"G01035896","2016","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",84943,60222,14217,381,5477,69,2493,2084,401,1683,"Hoover city, Alabama",123,2831,2800,568,1606,112,1996,1085,646,983
"G01037000","2016","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",196225,118960,61834,1148,5452,250,4032,4549,311,4238,"Huntsville city, Alabama",2817,4980,4787,745,1565,82,1718,1178,278,1159
"G01050000","2016","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",192895,89571,96103,289,3555,20,590,2767,53,2714,"Mobile city, Alabama",44,4460,4166,253,1353,33,464,1091,85,1096
"G01051000","2016","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",200024,66047,120280,339,5469,0,3477,4412,142,4270,"Montgomery city, Alabama",22,2027,2512,201,1247,195,1314,2097,190,2133
"G01077256","2016","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",99556,50247,45012,34,2518,0,1145,600,0,600,"Tuscaloosa city, Alabama",48,3032,3103,63,764,195,849,352,195,352
"G02003000","2016","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",298192,184841,16102,23916,27142,7669,7935,30587,1142,29445,"Anchorage municipality, Alaska",0,2303,1868,2789,2741,230,2536,4037,938,3905
"G04004720","2016","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",82875,52485,8007,2811,3049,142,13444,2937,378,2559,"Avondale city, Arizona",36,4842,2676,1720,2220,190,3837,1173,305,1075
"G04010670","2016","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",70589,56299,1887,949,1930,0,5206,4318,724,3594,"Casas Adobes CDP, Arizona",5147,5006,1115,561,1102,204,2185,1736,567,1732
