GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGXGE001,AGXGE002,AGXGE003,AGXGE004,AGXGE005,AGXGE006,AGXGE007,AGXGE008,AGXGE009,AGXGE010,NAME_M,AGXGM001,AGXGM002,AGXGM003,AGXGM004,AGXGM005,AGXGM006,AGXGM007,AGXGM008,AGXGM009,AGXGM010
"G01007000","2017","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",212744,52427,151314,380,2474,271,2718,3160,201,2959,"Birmingham city, Alabama",1671,5140,5049,392,805,457,1663,1356,276,1307
"G01021184","2017","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",67526,43454,21741,71,674,0,99,1487,62,1425,"Dothan city, Alabama",580,1325,1182,91,203,200,98,514,107,476
"G01035896","2017","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",84937,63947,12888,109,5581,0,612,1800,476,1324,"Hoover city, Alabama",66,3189,3340,145,1785,200,568,999,649,783
"G01037000","2017","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",195369,119757,61312,421,5429,0,3022,5428,593,4835,"Huntsville city, Alabama",1502,4664,3548,300,1144,200,1515,1607,430,1621
"G01050000","2017","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",190273,81651,99489,313,3073,0,2076,3671,239,3432,"Mobile city, Alabama",44,4151,4295,265,1131,200,1168,1510,311,1459
"G01051000","2017","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",199525,67441,120350,311,5906,51,2034,3432,676,2756,"Montgomery city, Alabama",34,2187,2535,466,793,100,964,1303,520,1187
"G01077256","2017","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",100296,49185,46562,755,1861,115,162,1656,631,1025,"Tuscaloosa city, Alabama",38,3438,3181,909,1001,137,288,1082,957,558
"G02003000","2017","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",294356,182307,14810,22906,31646,7791,7077,27819,1618,26201,"Anchorage municipality, Alaska",0,2690,1511,4057,2025,477,1855,4431,1027,4262
"G04004720","2017","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",84034,62317,7312,1827,1480,577,7240,3281,677,2604,"Avondale city, Arizona",49,4338,2613,1671,699,586,2573,1086,540,946
"G04007940","2017","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",68431,44922,3115,1216,3620,286,12758,2514,963,1551,"Buckeye city, Arizona",80,5692,1488,910,2607,267,4856,1146,594,1014
