GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G01003076","2018","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",65737,48691,9784,0,5671,0,221,1370,99,1271,"Auburn city, Alabama",21,2648,2680,201,1267,201,300,817,169,798
"G01007000","2018","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",209294,56509,141377,361,2946,206,3933,3962,1256,2706,"Birmingham city, Alabama",935,4280,4503,472,1141,315,2026,1686,1259,1175
"G01021184","2018","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",67814,43412,22262,53,603,0,27,1457,151,1306,"Dothan city, Alabama",636,1549,1378,45,221,201,43,461,151,468
"G01035896","2018","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",85115,60576,14801,198,4687,43,2769,2041,721,1320,"Hoover city, Alabama",42,4077,3830,181,1416,70,3191,1219,903,839
"G01037000","2018","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",199808,114924,62225,1300,6221,0,7016,8122,838,7284,"Huntsville city, Alabama",2075,4946,4451,842,1672,201,2343,2306,653,2387
"G01050000","2018","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",189570,79694,102401,579,2758,85,1308,2745,169,2576,"Mobile city, Alabama",33,4338,4507,575,1268,140,1040,1218,210,1200
"G01051000","2018","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",198218,60070,123862,245,6702,0,4087,3252,521,2731,"Montgomery city, Alabama",21,2309,2120,240,596,201,1561,1166,523,1025
"G01077256","2018","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",101111,54470,42341,300,2710,0,185,1105,107,998,"Tuscaloosa city, Alabama",34,3981,4158,309,749,201,264,665,174,628
"G02003000","2018","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",291538,181491,16679,22022,28273,6105,5340,31628,2490,29138,"Anchorage municipality, Alaska",0,2378,1301,2604,2295,1105,2146,3505,1147,3471
"G04004720","2018","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",85828,58546,10346,814,3117,123,9411,3471,539,2932,"Avondale city, Arizona",47,4193,3325,577,1726,217,3490,1312,472,1203
