GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKSME001,AKSME002,AKSME003,AKSME004,AKSME005,AKSME006,AKSME007,AKSME008,AKSME009,AKSME010,NAME_M,AKSMM001,AKSMM002,AKSMM003,AKSMM004,AKSMM005,AKSMM006,AKSMM007,AKSMM008,AKSMM009,AKSMM010
"G01003076","2019","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"16000US0103076","Auburn city, Alabama",,,,,,,,,,,"Auburn city, Alabama",,,,,,,,,,
"G01007000","2019","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",210080,58595,142107,1323,3497,0,1877,2681,134,2547,"Birmingham city, Alabama",1405,4823,4861,1016,1145,206,1129,1264,149,1262
"G01021184","2019","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",68522,40302,24139,77,847,21,1739,1397,128,1269,"Dothan city, Alabama",688,1966,1357,60,224,35,1538,408,128,405
"G01035896","2019","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",85772,61453,16972,0,3659,0,1978,1710,90,1620,"Hoover city, Alabama",38,3900,3511,206,1174,206,2050,1360,165,1340
"G01037000","2019","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",201594,120229,65522,607,3498,132,7133,4473,283,4190,"Huntsville city, Alabama",1872,5201,4481,485,1358,138,2410,1406,283,1368
"G01050000","2019","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",188710,73758,104747,511,3487,61,1305,4841,496,4345,"Mobile city, Alabama",45,4761,5290,478,1316,99,1293,2145,421,2063
"G01051000","2019","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",198525,62981,120428,591,6933,0,3446,4146,444,3702,"Montgomery city, Alabama",23,2908,3008,425,768,206,1499,1579,503,1478
"G01077256","2019","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",101133,50849,46061,0,2808,0,233,1182,205,977,"Tuscaloosa city, Alabama",28,3538,3507,206,764,206,298,583,252,452
"G02003000","2019","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",288000,180389,15207,25556,25976,8041,6490,26341,860,25481,"Anchorage municipality, Alaska",0,2683,1761,2517,2250,511,2340,4051,546,3894
"G04004720","2019","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",87917,61927,9896,1072,1707,602,9326,3387,1103,2284,"Avondale city, Arizona",55,4206,3823,879,1149,805,3217,1200,802,877
"G04007940","2019","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"16000US0407940","Buckeye city, Arizona",79624,61615,6149,718,510,171,7492,2969,1037,1932,"Buckeye city, Arizona",33,4367,2460,551,330,307,4109,1454,826,1006
"G04010670","2019","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",70840,59608,1104,1600,1726,0,3018,3784,521,3263,"Casas Adobes CDP, Arizona",6052,5521,512,1220,974,218,1604,1811,559,1622
"G04012000","2019","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",261149,180690,14417,6305,30649,122,14471,14495,3203,11292,"Chandler city, Arizona",77,6302,3722,3278,5459,162,4677,3354,2685,2961
"G04023620","2019","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",75044,58558,1242,3846,2628,308,3364,5098,253,4845,"Flagstaff city, Arizona",25,2307,491,1615,510,419,1298,1534,305,1521
"G04027400","2019","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",254115,212599,8450,2989,13059,77,6538,10403,1298,9105,"Gilbert town, Arizona",49,5907,3074,1613,3153,142,2720,2771,978,2395
"G04027820","2019","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",252384,190046,20321,6871,9797,100,16940,8309,2212,6097,"Glendale city, Arizona",54,6940,4819,3571,2346,126,4096,2453,1445,1935
"G04028380","2019","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",86843,65235,7234,1371,4010,0,5648,3345,379,2966,"Goodyear city, Arizona",36,5164,3286,1681,1832,218,2761,1198,269,1159
"G04046000","2019","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",517981,421882,28816,16396,13304,1903,19830,15850,2914,12936,"Mesa city, Arizona",99,9341,5111,4734,4935,2134,4598,2987,1213,2461
"G04054050","2019","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",175960,143477,6275,820,8800,190,7093,9305,945,8360,"Peoria city, Arizona",52,4586,1932,386,2399,237,2380,2810,557,2646
"G04055000","2019","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",1680988,1289208,122763,34465,67512,5668,96681,64691,14327,50364,"Phoenix city, Arizona",76,17283,10745,5924,6887,2573,11206,6547,3555,6224
"G04064210","2019","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",100732,82250,4771,5672,1198,0,3981,2860,669,2191,"San Tan Valley CDP, Arizona",9421,8381,3161,3080,1065,218,2523,1679,807,1423
"G04065000","2019","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",258064,228165,5238,3567,12995,249,1416,6434,536,5898,"Scottsdale city, Arizona",42,4033,1720,1692,2933,330,783,2003,369,1998
"G04071510","2019","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",141674,121534,8080,1349,3090,243,3934,3444,320,3124,"Surprise city, Arizona",43,4392,3144,1841,1340,221,2003,1143,242,1114
"G04073000","2019","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",195816,144455,14782,3601,18138,204,8049,6587,1450,5137,"Tempe city, Arizona",50,5866,3813,1911,3272,269,2961,2032,1022,1807
"G04077000","2019","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",548082,394079,28528,20580,17344,1733,50570,35248,5441,29807,"Tucson city, Arizona",61,9011,2827,4222,2949,428,7810,5509,2415,5375
"G04085540","2019","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",98296,83857,2340,1690,1942,210,4250,4007,407,3600,"Yuma city, Arizona",47,2482,947,969,426,181,1570,1397,342,1336
