GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANLTE001,ANLTE002,ANLTE003,ANLTE004,ANLTE005,ANLTE006,ANLTE007,ANLTE008,ANLTE009,ANLTE010,NAME_M,ANLTM001,ANLTM002,ANLTM003,ANLTM004,ANLTM005,ANLTM006,ANLTM007,ANLTM008,ANLTM009,ANLTM010
"G01003076","2021","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",78552,52763,14844,47,6941,0,887,3070,1161,1909,"Auburn city, Alabama",41,4377,4806,108,816,216,633,1583,939,1163
"G01007000","2021","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",196410,42132,139691,248,2414,46,5916,5963,3315,2648,"Birmingham city, Alabama",428,4114,4978,211,997,78,2613,2191,1892,903
"G01021184","2021","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",71283,40305,25251,322,1072,0,790,3543,1192,2351,"Dothan city, Alabama",967,945,1370,320,236,216,515,747,420,579
"G01035896","2021","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",92588,63759,16520,1198,6697,0,1540,2874,1366,1508,"Hoover city, Alabama",36,4414,4038,1361,2194,216,1292,1327,904,1018
"G01037000","2021","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",215482,132836,52568,1024,4160,373,2963,21558,6672,14886,"Huntsville city, Alabama",1705,5356,5174,869,1282,390,1400,3596,1995,3054
"G01050000","2021","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",184960,75277,97051,95,4521,0,1492,6524,2346,4178,"Mobile city, Alabama",43,4942,5260,111,1951,216,1010,2091,1101,1621
"G01051000","2021","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",198659,55540,126268,69,6102,0,3256,7424,3391,4033,"Montgomery city, Alabama",36,2692,2698,65,1303,216,1480,2206,1644,1393
"G01077256","2021","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",100606,45360,46188,0,2908,0,1626,4524,2249,2275,"Tuscaloosa city, Alabama",45,3919,4251,216,761,216,1163,1529,1125,1120
"G02003000","2021","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",288121,164330,14744,19194,27525,9011,10260,43057,8546,34511,"Anchorage municipality, Alaska",,2092,1876,2699,2164,827,2520,4358,1996,4077
"G04004720","2021","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",90562,27980,11819,1521,2385,41,13829,32987,28801,4186,"Avondale city, Arizona",41,4913,4659,1056,1125,75,3688,5837,6090,1597
"G04007940","2021","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"1600000US0407940","0407940","Buckeye city, Arizona",101314,54009,7095,2269,1799,47,16246,19849,17774,2075,"Buckeye city, Arizona",27,7185,3409,1723,1123,80,6093,5551,5732,1096
"G04010670","2021","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"1600000US0410670","0410670","Casas Adobes CDP, Arizona",73450,53618,1160,826,2855,0,5287,9704,6272,3432,"Casas Adobes CDP, Arizona",5386,4719,1225,754,1351,224,2657,1810,1794,1666
"G04012000","2021","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"1600000US0412000","0412000","Chandler city, Arizona",279445,168572,15264,5575,27479,642,19241,42672,30786,11886,"Chandler city, Arizona",66,6983,3337,2371,3666,726,4773,5061,4881,2250
"G04023620","2021","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"1600000US0423620","0423620","Flagstaff city, Arizona",76984,46417,882,11638,1069,114,7807,9057,4969,4088,"Flagstaff city, Arizona",28,2535,458,2615,637,192,2305,2205,1962,1372
"G04027400","2021","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"1600000US0427400","0427400","Gilbert town, Arizona",273138,187256,9675,1187,16491,233,17920,40376,24814,15562,"Gilbert town, Arizona",51,7889,3423,590,3424,385,4271,5999,5213,3890
"G04027820","2021","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"1600000US0427820","0427820","Glendale city, Arizona",249627,120356,19729,2957,14017,460,21959,70149,60418,9731,"Glendale city, Arizona",56,7256,4686,1534,3351,410,4433,6392,6300,2299
"G04028380","2021","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"1600000US0428380","0428380","Goodyear city, Arizona",101744,55140,7020,3930,2441,14,9610,23589,18060,5529,"Goodyear city, Arizona",50,6242,2893,3751,1172,32,3916,6897,6449,3058
"G04046000","2021","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"1600000US0446000","0446000","Mesa city, Arizona",509492,332983,19750,9995,14780,828,48827,82329,56889,25440,"Mesa city, Arizona",71,10716,4465,2372,3339,1146,8215,7940,7229,3933
"G04054050","2021","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"1600000US0454050","0454050","Peoria city, Arizona",194910,132133,9131,3066,8910,27,10335,31308,19582,11726,"Peoria city, Arizona",51,6939,3872,3089,2922,51,3117,4957,3890,4159
"G04055000","2021","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"1600000US0455000","0455000","Phoenix city, Arizona",1624539,759648,120500,35501,66630,2867,219657,419736,352211,67525,"Phoenix city, Arizona",144,17584,9214,5841,7202,1431,16082,20381,20237,6981
"G04058150","2021","AZ",,,"Arizona","04",,,"Queen Creek town","58150",,,,,,,,,,,,,,,,"1600000US0458150","0458150","Queen Creek town, Arizona",69311,55237,2838,60,1648,1310,1311,6907,4519,2388,"Queen Creek town, Arizona",4398,5420,1553,72,1024,1594,912,2677,2023,1950
"G04064210","2021","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"1600000US0464210","0464210","San Tan Valley CDP, Arizona",103399,69015,2776,1217,3022,796,6496,20077,15113,4964,"San Tan Valley CDP, Arizona",9531,7092,2481,1172,1732,793,3187,6647,6485,2079
"G04065000","2021","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"1600000US0465000","0465000","Scottsdale city, Arizona",242754,195141,4040,892,11452,549,7123,23557,16400,7157,"Scottsdale city, Arizona",38,5983,1719,624,3612,397,1820,3489,3141,1945
"G04071510","2021","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"1600000US0471510","0471510","Surprise city, Arizona",149191,107736,5971,719,3981,47,8649,22088,16312,5776,"Surprise city, Arizona",33,6266,2320,628,2200,88,3786,5251,4683,2226
"G04073000","2021","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",184109,110626,8219,4649,14870,1450,17938,26357,16213,10144,"Tempe city, Arizona",40,5533,2416,2007,2979,1708,4045,4865,4065,2450
"G04077000","2021","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",543215,278866,27723,15874,15720,104,77313,127615,97787,29828,"Tucson city, Arizona",103,8984,3700,3683,2183,128,7446,8745,9039,3783
"G04085540","2021","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",97097,35794,2188,1332,2044,0,16709,39030,35429,3601,"Yuma city, Arizona",28,3664,965,656,595,224,3848,4821,4573,1264
