GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APKGE001,APKGE002,APKGE003,APKGE004,APKGE005,APKGE006,APKGE007,APKGE008,APKGE009,APKGE010,NAME_M,APKGM001,APKGM002,APKGM003,APKGM004,APKGM005,APKGM006,APKGM007,APKGM008,APKGM009,APKGM010
"G01003076","2022","AL",,,"Alabama","01",,,"Auburn city","03076",,,,,,,,,,,,,,,,"1600000US0103076","0103076","Auburn city, Alabama",80009,55040,11489,118,6892,0,2521,3949,1033,2916,"Auburn city, Alabama",20,2985,3014,152,996,208,1685,1782,783,1548
"G01007000","2022","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"1600000US0107000","0107000","Birmingham city, Alabama",196353,43953,139595,181,3644,23,4549,4408,2409,1999,"Birmingham city, Alabama",868,3859,4683,158,1539,43,1904,1206,1076,687
"G01021184","2022","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"1600000US0121184","0121184","Dothan city, Alabama",70524,41639,22927,285,912,0,875,3886,1763,2123,"Dothan city, Alabama",678,1545,1320,237,284,208,504,910,644,670
"G01035896","2022","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"1600000US0135896","0135896","Hoover city, Alabama",92427,68014,14330,788,4444,0,372,4479,2870,1609,"Hoover city, Alabama",45,3743,3790,1217,1570,208,326,2099,1766,842
"G01037000","2022","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"1600000US0137000","0137000","Huntsville city, Alabama",222363,131321,63536,1361,4505,287,5411,15942,6468,9474,"Huntsville city, Alabama",2301,4493,5198,889,1130,287,2309,2949,2202,2393
"G01050000","2022","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"1600000US0150000","0150000","Mobile city, Alabama",183282,76031,95133,338,3614,252,2246,5668,3137,2531,"Mobile city, Alabama",41,4766,4909,217,1087,358,1004,1692,1500,816
"G01051000","2022","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"1600000US0151000","0151000","Montgomery city, Alabama",196986,52121,127957,393,6959,70,2196,7290,2610,4680,"Montgomery city, Alabama",20,2165,2731,529,856,110,1018,2455,1171,2176
"G01077256","2022","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"1600000US0177256","0177256","Tuscaloosa city, Alabama",110598,56017,47231,143,3207,0,1125,2875,639,2236,"Tuscaloosa city, Alabama",27,3704,4003,228,1362,208,1303,1430,632,1264
"G02003000","2022","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"1600000US0203000","0203000","Anchorage municipality, Alaska",287145,165167,15453,22335,29175,9019,5689,40307,9163,31144,"Anchorage municipality, Alaska",,2408,2720,2817,2247,1034,1929,5027,2075,4591
"G04004720","2022","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"1600000US0404720","0404720","Avondale city, Arizona",91618,29380,12587,625,2946,193,25904,19983,17871,2112,"Avondale city, Arizona",37,4623,4236,495,1416,326,5054,3923,3836,1234
"G04007940","2022","AZ",,,"Arizona","04",,,"Buckeye city","07940",,,,,,,,,,,,,,,,"1600000US0407940","0407940","Buckeye city, Arizona",105567,60961,8847,2308,2481,0,17763,13207,9733,3474,"Buckeye city, Arizona",29,7889,5761,2182,1353,228,5320,3217,2732,1749
"G04010670","2022","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"1600000US0410670","0410670","Casas Adobes CDP, Arizona",75513,51393,1090,366,2257,0,5827,14580,10929,3651,"Casas Adobes CDP, Arizona",5229,4164,688,491,1018,228,2276,3505,2968,1828
"G04012000","2022","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"1600000US0412000","0412000","Chandler city, Arizona",280684,157302,21251,2718,37579,207,12415,49212,31637,17575,"Chandler city, Arizona",99,7794,5403,1200,5297,315,2876,6573,5467,4018
"G04023620","2022","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"1600000US0423620","0423620","Flagstaff city, Arizona",75902,47422,2543,6598,2253,865,6627,9594,4659,4935,"Flagstaff city, Arizona",28,2846,1243,2515,830,979,2430,2258,1560,1830
"G04027400","2022","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"1600000US0427400","0427400","Gilbert town, Arizona",275359,194090,11271,2235,20825,116,9485,37337,24725,12612,"Gilbert town, Arizona",67,7026,3589,1184,4394,194,2432,5594,5219,2634
"G04027820","2022","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"1600000US0427820","0427820","Glendale city, Arizona",252141,124677,13193,5868,10967,218,31155,66063,55646,10417,"Glendale city, Arizona",49,9172,3437,2820,2910,290,7192,9334,9598,3199
"G04028380","2022","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"1600000US0428380","0428380","Goodyear city, Arizona",105404,62848,6270,1992,3119,0,17224,13951,10870,3081,"Goodyear city, Arizona",39,4755,2073,1576,1223,228,4334,3296,3259,1118
"G04044410","2022","AZ",,,"Arizona","04",,,"Maricopa city","44410",,,,,,,,,,,,,,,,"1600000US0444410","0444410","Maricopa city, Arizona",66287,32845,7242,1878,1950,449,8091,13832,6524,7308,"Maricopa city, Arizona",26,4582,2882,1385,1710,458,3408,4432,3427,2988
"G04046000","2022","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"1600000US0446000","0446000","Mesa city, Arizona",512523,338460,20146,7555,10966,634,40109,94653,67966,26687,"Mesa city, Arizona",86,9559,4755,2544,2743,742,7165,9760,9574,4744
"G04054050","2022","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"1600000US0454050","0454050","Peoria city, Arizona",197862,134424,8461,1260,11525,192,15644,26356,17106,9250,"Peoria city, Arizona",44,7024,2552,823,3281,197,3868,5724,4217,4014
"G04055000","2022","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"1600000US0455000","0455000","Phoenix city, Arizona",1644403,768943,118160,39034,63805,3818,230309,420334,357374,62960,"Phoenix city, Arizona",76,18639,10817,6454,6913,1413,16758,19661,18303,7110
"G04058150","2022","AZ",,,"Arizona","04",,,"Queen Creek town","58150",,,,,,,,,,,,,,,,"1600000US0458150","0458150","Queen Creek town, Arizona",69345,50321,1707,1457,2336,0,4157,9367,5132,4235,"Queen Creek town, Arizona",2928,4123,1460,1295,1178,228,1993,2795,1948,2023
"G04064210","2022","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"1600000US0464210","0464210","San Tan Valley CDP, Arizona",117415,73847,7624,7654,2889,39,7828,17534,11002,6532,"San Tan Valley CDP, Arizona",9778,7898,3379,4886,1432,84,2976,6168,5966,2658
"G04065000","2022","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"1600000US0465000","0465000","Scottsdale city, Arizona",243027,190684,5826,1654,11908,562,5001,27392,19041,8351,"Scottsdale city, Arizona",100,6308,3021,1383,2964,503,1633,5888,5014,2278
"G04071510","2022","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"1600000US0471510","0471510","Surprise city, Arizona",154194,103364,9750,2676,5254,1111,11749,20290,8912,11378,"Surprise city, Arizona",41,6973,3916,2951,2324,993,4845,4777,3545,3290
"G04073000","2022","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",185939,110020,14418,6875,17252,1813,11176,24385,15297,9088,"Tempe city, Arizona",56,7111,3925,2953,3424,1235,3739,4839,3854,2585
"G04077000","2022","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",546598,277654,26556,15256,21761,1166,73197,131008,105861,25147,"Tucson city, Arizona",95,9522,4234,4350,2669,517,8594,9090,8929,3447
"G04085540","2022","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",98517,39127,2362,743,1491,0,27528,27266,24407,2859,"Yuma city, Arizona",50,4683,953,407,557,228,4942,4466,4353,981
