GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MF9E001,MF9E002,MF9E003,MF9E004,MF9E005,MF9E006,MF9E007,MF9E008,MF9E009,MF9E010,MF9E011,MF9E012,MF9E013,MF9E014,MF9E015,MF9E016,MF9E017,MF9E018,MF9E019,MF9E020,MF9E021,MF9E022,MF9E023,MF9E024,NAME_M,MF9M001,MF9M002,MF9M003,MF9M004,MF9M005,MF9M006,MF9M007,MF9M008,MF9M009,MF9M010,MF9M011,MF9M012,MF9M013,MF9M014,MF9M015,MF9M016,MF9M017,MF9M018,MF9M019,MF9M020,MF9M021,MF9M022,MF9M023,MF9M024
"G01007000","2011","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",43785,41384,1461,797,1677,2242,2204,2684,3338,2983,4785,2925,4360,2272,2561,702,664,2478,859,1495,424,174,299,2401,"Birmingham city, Alabama",2625,2615,488,444,668,765,676,881,983,804,964,777,1270,875,741,319,359,902,452,718,417,215,328,678
"G01021184","2011","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",10403,9803,268,249,250,205,614,972,917,668,986,590,772,671,936,367,722,226,179,113,10,53,35,600,"Dothan city, Alabama",848,823,116,116,138,93,229,232,298,206,260,188,251,207,322,181,388,128,88,90,18,51,22,195
"G01035896","2011","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Hoover city, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G01037000","2011","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",31327,29808,455,509,463,752,423,1431,2407,2855,3619,2234,2125,2780,2071,1226,1485,1897,1318,823,94,96,745,1519,"Huntsville city, Alabama",2329,2300,299,291,366,359,279,676,832,820,1163,702,692,851,785,648,574,747,695,465,160,97,386,575
"G01050000","2011","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",31373,29421,1324,513,1173,1056,1174,612,1428,1442,1909,2624,3756,2179,3728,1759,1104,1081,974,780,77,301,427,1952,"Mobile city, Alabama",2199,2239,528,293,508,431,472,357,559,669,551,826,870,692,970,756,534,545,467,372,92,241,351,602
"G01051000","2011","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",31470,29716,904,567,508,555,531,483,1710,3293,3442,3418,2337,1406,2013,1543,1993,1850,957,1180,101,669,256,1754,"Montgomery city, Alabama",2854,2637,562,639,360,281,249,332,614,1224,1188,1312,764,777,862,699,1002,799,641,620,113,535,299,662
"G01077256","2011","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",15071,14517,564,60,0,175,205,611,778,1133,1804,1011,1065,937,2313,1078,315,684,586,632,250,45,271,554,"Tuscaloosa city, Alabama",1682,1709,316,124,190,111,177,346,407,466,693,553,559,435,800,567,272,460,515,407,247,80,188,404
"G02003000","2011","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",43342,41368,115,0,212,218,472,858,886,742,367,469,865,758,1185,1823,1370,4912,6920,8121,4137,5610,1328,1974,"Anchorage municipality, Alaska",2554,2646,133,149,283,260,293,575,537,534,290,337,539,431,592,794,612,1164,1616,1529,1127,1235,527,695
"G04004720","2011","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"Avondale city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04010670","2011","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",10575,10150,52,0,167,53,0,0,73,31,164,261,639,873,1116,641,858,1307,2177,1167,49,130,392,425,"Casas Adobes CDP, Arizona",1391,1398,86,229,275,101,229,229,123,52,162,198,425,490,463,375,510,520,933,607,83,100,162,296
"G04012000","2011","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",31516,30477,0,62,0,0,0,0,0,482,184,720,334,2944,1813,2726,2316,5627,4877,4959,1812,1192,429,1039,"Chandler city, Arizona",3285,3169,229,76,229,229,229,229,229,503,245,582,266,1092,726,1047,869,1109,1273,1311,788,618,368,657
"G04023620","2011","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",11477,11334,123,0,63,87,0,42,168,95,288,263,910,1102,642,967,251,2081,1074,2198,393,587,0,143,"Flagstaff city, Arizona",1459,1478,153,229,79,121,229,66,194,112,207,271,545,752,398,570,197,673,489,651,327,462,229,149
"G04027400","2011","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",20878,19444,0,167,0,336,0,0,0,0,144,284,266,1198,747,1034,454,1778,2589,6131,2715,1148,453,1434,"Gilbert town, Arizona",3593,3434,229,278,229,485,229,229,229,229,150,205,237,646,384,630,374,691,1476,2075,1338,842,447,1005
"G04027820","2011","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",32569,31724,279,248,524,0,115,226,1330,2449,3044,3479,1945,2568,1541,2132,1045,2684,2434,3788,1019,751,123,845,"Glendale city, Arizona",2376,2364,278,209,491,229,144,217,719,676,1120,1097,684,867,596,827,433,950,762,1120,447,542,147,416
"G04028380","2011","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2011","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",65906,64673,137,84,274,164,31,235,316,2703,3915,5364,8366,6893,4490,5053,4072,5903,5326,7302,1860,1113,1072,1233,"Mesa city, Arizona",3378,3368,141,105,226,151,54,181,251,1063,1259,1151,1679,1444,1344,1297,1077,1371,1509,1663,721,541,560,581
"G04054050","2011","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",15623,14598,0,87,0,74,114,457,44,255,1016,378,885,1055,700,718,1087,2243,1145,2318,249,936,837,1025,"Peoria city, Arizona",2721,2536,229,144,229,127,192,490,73,274,848,287,649,670,761,513,822,958,677,800,185,744,819,596
"G04055000","2011","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",232517,225551,1316,1407,1235,2351,1454,3987,7188,11521,14020,20638,14941,20531,17289,15224,14075,25452,15226,23208,7514,5086,1888,6966,"Phoenix city, Arizona",7694,7796,562,601,560,762,930,890,1704,2256,1892,2720,2105,2575,1994,2127,2170,2501,3077,3789,1694,1626,852,1280
"G04064210","2011","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2011","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",34734,33112,259,0,202,213,302,141,220,43,445,985,570,2062,1636,1799,2686,5557,3421,6486,1531,3184,1370,1622,"Scottsdale city, Arizona",3063,3025,321,229,220,206,489,143,313,68,476,517,547,1017,879,933,1464,1779,1404,1683,696,1620,665,872
"G04071510","2011","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2011","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",33771,32722,77,56,190,0,71,0,489,915,672,2159,2254,3253,2508,2192,1398,4050,3459,4379,2752,1230,618,1049,"Tempe city, Arizona",2448,2388,126,94,310,229,118,229,456,692,517,943,1004,1172,950,863,620,1239,1090,1147,921,624,334,736
