GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PF8E001,PF8E002,PF8E003,PF8E004,PF8E005,PF8E006,PF8E007,PF8E008,PF8E009,PF8E010,PF8E011,PF8E012,PF8E013,PF8E014,PF8E015,PF8E016,PF8E017,PF8E018,PF8E019,PF8E020,PF8E021,PF8E022,PF8E023,PF8E024,NAME_M,PF8M001,PF8M002,PF8M003,PF8M004,PF8M005,PF8M006,PF8M007,PF8M008,PF8M009,PF8M010,PF8M011,PF8M012,PF8M013,PF8M014,PF8M015,PF8M016,PF8M017,PF8M018,PF8M019,PF8M020,PF8M021,PF8M022,PF8M023,PF8M024
"G01007000","2012","AL",,,"Alabama","01",,,"Birmingham city","07000",,,,,,,,,,,,,,,,"16000US0107000","Birmingham city, Alabama",45889,43606,2082,1618,1594,1781,1881,1757,2446,3250,2602,4665,4239,3715,2685,1241,2433,2341,714,1203,1015,271,73,2283,"Birmingham city, Alabama",2448,2331,615,571,692,525,656,699,714,1021,812,898,957,1130,853,405,881,961,350,524,463,200,124,661
"G01021184","2012","AL",,,"Alabama","01",,,"Dothan city","21184",,,,,,,,,,,,,,,,"16000US0121184","Dothan city, Alabama",10195,9523,242,220,437,255,442,498,747,797,1044,755,779,556,755,621,481,237,253,102,10,241,51,672,"Dothan city, Alabama",821,805,120,104,138,131,133,156,172,222,415,215,219,160,184,255,329,139,128,73,17,276,31,198
"G01035896","2012","AL",,,"Alabama","01",,,"Hoover city","35896",,,,,,,,,,,,,,,,"16000US0135896","Hoover city, Alabama",10743,10593,0,0,0,80,130,0,0,139,0,512,438,1370,1252,1266,1012,804,1004,1187,421,510,468,150,"Hoover city, Alabama",1486,1480,184,184,184,98,151,184,184,227,184,462,275,671,522,485,566,408,677,657,336,419,325,173
"G01037000","2012","AL",,,"Alabama","01",,,"Huntsville city","37000",,,,,,,,,,,,,,,,"16000US0137000","Huntsville city, Alabama",30557,28956,369,457,264,562,399,1537,1962,2677,2207,3528,2958,2285,1901,1290,778,2484,1622,838,143,350,345,1601,"Huntsville city, Alabama",1937,1961,286,214,188,395,249,639,820,890,633,970,857,685,749,750,388,822,810,498,197,311,267,588
"G01050000","2012","AL",,,"Alabama","01",,,"Mobile city","50000",,,,,,,,,,,,,,,,"16000US0150000","Mobile city, Alabama",34850,33317,1470,1019,634,917,1135,1172,1799,1374,2859,2889,3780,3373,2535,2627,1889,1989,799,810,109,37,101,1533,"Mobile city, Alabama",2335,2329,657,408,245,451,485,521,619,546,1012,878,965,1011,839,887,924,661,450,382,127,61,119,545
"G01051000","2012","AL",,,"Alabama","01",,,"Montgomery city","51000",,,,,,,,,,,,,,,,"16000US0151000","Montgomery city, Alabama",35000,32686,722,512,826,460,1132,1353,1177,1814,3355,2141,3474,2508,3114,1956,1881,2883,1270,851,397,423,437,2314,"Montgomery city, Alabama",2376,2303,403,345,351,330,499,711,572,713,1103,573,1079,914,834,806,712,1109,612,365,369,188,425,670
"G01077256","2012","AL",,,"Alabama","01",,,"Tuscaloosa city","77256",,,,,,,,,,,,,,,,"16000US0177256","Tuscaloosa city, Alabama",16200,15358,208,357,22,118,516,856,1946,1381,1540,1137,790,1132,999,727,677,1153,578,436,222,308,255,842,"Tuscaloosa city, Alabama",1834,1927,158,225,38,115,345,512,736,641,702,648,434,600,438,460,441,544,383,335,284,224,202,544
"G02003000","2012","AK",,,"Alaska","02",,,"Anchorage municipality","03000",,,,,,,,,,,,,,,,"16000US0203000","Anchorage municipality, Alaska",42215,41443,120,45,60,255,236,275,509,620,312,543,380,567,483,1689,2432,3776,5964,8403,5321,7276,2177,772,"Anchorage municipality, Alaska",2614,2530,144,73,105,304,262,196,408,327,288,417,383,470,318,711,761,1019,1161,1602,1029,1511,653,382
"G04004720","2012","AZ",,,"Arizona","04",,,"Avondale city","04720",,,,,,,,,,,,,,,,"16000US0404720","Avondale city, Arizona",9987,9627,0,244,89,42,75,0,31,309,197,91,532,499,311,1007,509,2004,1347,1872,309,159,0,360,"Avondale city, Arizona",1381,1391,198,228,145,69,89,198,52,267,178,108,340,291,236,541,321,941,824,648,266,145,198,248
"G04010670","2012","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",10076,9946,98,0,0,57,0,0,0,104,0,512,690,974,860,679,864,1725,1070,1108,222,170,813,130,"Casas Adobes CDP, Arizona",1186,1216,160,198,198,96,198,198,198,120,198,318,500,496,390,326,421,598,524,606,177,123,304,126
"G04012000","2012","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",33602,32476,111,237,0,26,42,40,332,165,100,469,714,949,1561,2428,3338,3905,3797,8691,2732,1560,1279,1126,"Chandler city, Arizona",2296,2168,135,292,198,45,69,65,284,192,165,432,351,515,619,808,1073,1095,1228,1467,899,646,603,545
"G04023620","2012","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",12743,12533,0,59,126,73,0,54,254,91,347,575,504,423,673,626,1027,1339,1164,3355,1038,626,179,210,"Flagstaff city, Arizona",1307,1273,198,102,138,121,198,93,227,124,341,361,406,318,384,507,507,577,500,881,535,358,273,210
"G04027400","2012","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",22122,21089,0,0,0,0,0,59,0,42,100,350,372,964,992,1451,807,1949,2129,7102,2880,1421,471,1033,"Gilbert town, Arizona",2143,1978,198,198,198,198,198,71,198,69,118,239,233,575,685,689,490,722,806,1444,888,563,334,965
"G04027820","2012","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",35819,34970,179,372,340,114,361,647,313,2405,2337,3534,1674,3147,2294,2321,2645,5125,2682,3014,665,353,448,849,"Glendale city, Arizona",2478,2363,205,414,272,108,232,367,255,738,956,1013,812,871,748,830,871,1090,852,864,294,223,352,413
"G04028380","2012","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"Goodyear city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04046000","2012","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",66500,64643,91,138,172,266,478,266,0,2049,3187,6624,4812,7266,5378,4276,3785,7148,4770,8221,2885,2344,487,1857,"Mesa city, Arizona",3093,3185,110,137,122,183,428,224,198,818,853,1210,1071,1090,1095,1190,1056,1332,959,1588,892,812,330,518
"G04054050","2012","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",17334,16784,152,46,0,75,94,90,35,274,41,745,198,689,976,1065,768,3111,1745,3348,1543,1297,492,550,"Peoria city, Arizona",2020,2006,200,77,198,89,155,108,58,258,67,518,201,341,474,576,411,891,585,1254,1043,546,331,240
"G04055000","2012","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",245419,239313,807,572,1327,1488,1442,2681,5975,10627,14682,21049,16770,19549,17046,20954,15548,30375,16274,24176,8502,7843,1626,6106,"Phoenix city, Arizona",6222,6184,360,293,554,490,531,842,1103,1543,1819,2602,2132,2613,2187,2576,1812,2829,2147,2807,1590,1687,669,1149
"G04064210","2012","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,"San Tan Valley CDP, Arizona",,,,,,,,,,,,,,,,,,,,,,,,
"G04065000","2012","AZ",,,"Arizona","04",,,"Scottsdale city","65000",,,,,,,,,,,,,,,,"16000US0465000","Scottsdale city, Arizona",34761,33895,69,52,0,217,55,179,83,168,337,324,671,1059,770,2513,1901,5110,5604,6123,2372,3260,3028,866,"Scottsdale city, Arizona",2395,2303,112,86,198,198,94,175,98,195,246,336,363,604,428,1004,802,1254,1472,1090,705,945,987,375
"G04071510","2012","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",10518,10294,0,83,0,0,0,0,278,416,42,208,326,271,121,139,565,2263,1517,2588,995,377,105,224,"Surprise city, Arizona",1359,1315,198,96,198,198,198,198,286,284,71,207,239,293,118,120,303,967,724,897,757,271,86,205
"G04073000","2012","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",36812,36267,39,121,106,111,0,101,281,519,906,975,2844,2491,3372,4499,2292,4928,3451,5409,1917,978,927,545,"Tempe city, Arizona",2496,2535,66,146,171,135,198,129,244,434,517,477,1207,835,1118,1200,805,1229,978,1195,772,527,428,287
